surface_form,word,label,origin,label_note
꿀,가꿀르,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,거꿀로,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,거꿀재비로,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,건더꿀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,까꿀래미,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,까꿀루,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,까꿀르,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꺼꿀로,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꺼꿀루,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꺼꿀르,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꺼꿀잽이로,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꺼꿀제비,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,께꿀새,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꼬꿀시,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꽃꿀,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,꿀구기,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀꺽,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
꿀,꿀꺽꿀꺽,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
꿀,꿀꺽상어과,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀꾸기,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀꾸리,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀꾹,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀꿀이죽,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
꿀,꿀꿍새,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀내,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,꿀다래미,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀단지,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,꿀뎅이,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀두래미,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀따,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀떠덕,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀떡,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,꿀떡겉,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀떡꿀떡,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
꿀,꿀뗑이,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀똑,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀뚜라미,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀뚜래미,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀뚝,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀뚝같,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀뚝새,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀럭꿀럭,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀렁꿀렁,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
꿀,꿀레,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀리,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
꿀,꿀림방,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀맛,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,꿀무리하,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀물,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,꿀발이,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀밤,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
꿀,꿀밤나무,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
꿀,꿀밤묵,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
꿀,꿀방망치,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀방맹이,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀뱀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀벅지,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
꿀,꿀벌,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
꿀,꿀벌과,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
꿀,꿀벌상과,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,꿀벌이,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,꿀부,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀불,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀뷰,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀빨기새류,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,꿀빰,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀빰나무,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀석꿀석,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀쉬,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀썩꿀썩,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀아재비,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀위키,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀주머니쥐,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,꿀쭉하,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀쭘하,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀찜하,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀찜허,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀치,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,꿀통,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,꿀풀,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
꿀,꿀풀과,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
꿀,꿀풀목,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,난장꿀림,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,너꿀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,넝꿀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,농꿀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,눈꿀하,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,다짜꿀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,덩꿀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,도투리꿀밤,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,돌꿀밤,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,떡갈풀꿀밤,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,떡꿀밤,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,떡꿀밤나무,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,똥꿀내,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,멀꿀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,모짜꿀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,미꿀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,미꿀락지,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,버꿀레기,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,벌꿀,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,부꿀레기,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,부추꿀밤,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,산꿀밤,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,새꿀밤,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,속새꿀밤,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,속수리꿀밤,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,양봉꿀벌,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,엉꿀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,연꿀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,엽꿀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,영꿀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,잠꿀게,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,재래꿀벌,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
꿀,제비꿀,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,지꿀이,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,찰꿀밤,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,찰꿀밤나무,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,참꿀밤,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,턱꿀밤,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,통영꿀빵,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
꿀,프놈꿀렌,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,물잼방이,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,붉은잼자리,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,세계잼버리,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
잼,스카드잼,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,씨잼,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,아잼,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,오투잼,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,월귤잼,same,kiwi_morpheme,표면형과 뜻이 같다. 박힌 것이 아니라 사전이 의도한 대상이다
잼,이그잼,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,이그잼플,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼겨지,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼구,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼궈지,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼기,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼기지,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼물통,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼백지기,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼뱅이,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼버리,misfire,kiwi_morpheme,향과 무관한 낱말 안에 표면형이 박혔다. 오탐 근거가 된다
잼,잼위키,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼자리,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼재,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼재리,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼재리뜨개,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼주리,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
잼,잼키,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
이불,구이불알,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
이불,까래이불,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
이불,까랭이불,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
이불,떠이불키,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
이불,모개이불,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
이불,모게이불,rare,kiwi_morpheme,방언·고어·전문어·고유명사라 검색창에 들어올 일이 없다
