번호,갈래,문장,향수,채점 조건 C,생성에 쓴 자료,perfume_id,sentence_no,어색한가_YN,규칙위반_YN,설명이안됨_YN,메모
1,A,차분한 라벤더에 바닐라 같은 달콤함이 섞인 향을 찾고 있어. 너무 달지 않게 은은한 매콤함도 있으면 해.,Tom Ford / Lavender Extreme,"aromatic, lavender, vanilla","aromatic(100), lavender(92), vanilla(71), warm spicy(57), sweet(50)",54381,3,,,,
2,A,시원한 바다 느낌이 중심이지만 차갑기만 하진 않았으면 해. 나무와 따뜻한 꽃 향이 같이 나면 좋겠어.,Kenzo / Kenzo Homme Marine,"woody, marine, yellow floral","woody(100), marine(98), yellow floral(86), aromatic(65), powdery(52)",80042,3,,,,
3,A,포근하고 차분한 향이면 좋겠어. 보송한 느낌이 중심이고 나무와 살냄새가 은근하게 오래 남았으면 해.,Initio Parfums Prives / Blessed Baraka,"amber, powdery, woody","amber(100), powdery(97), woody(76), musky(69), animalic(35)",30991,3,,,,
4,A,레몬이나 오렌지처럼 상큼한 향이 확실했으면 좋겠어. 허브와 풋풋한 풀 냄새도 은은하게 나면 해.,Guerlain / Aqua Allegoria Pamplelune,"citrus, aromatic, fresh spicy","citrus(100), aromatic(48), fresh spicy(36), green(28), woody(21)",57,1,,,,
5,A,불 피운 벽난로처럼 훈연된 향이 진했으면 좋겠어. 나무 냄새와 톡 쏘는 매콤함이 같이 느껴지면 좋아.,Afnan / Supremacy Incense,"amber, smoky, fresh spicy","amber(100), smoky(84), fresh spicy(54), woody(48), warm spicy(46)",64372,3,,,,
6,A,달달하고 포근한 향을 찾고 있어. 부드러운 꽃 향과 화장품 분 같은 느낌이 나고 너무 가볍지는 않았으면 해.,Perris Monte Carlo / Vanille de Tahiti,"vanilla, sweet, floral","vanilla(100), sweet(82), floral(75), powdery(68), woody(63)",61811,2,,,,
7,A,오래된 가죽 가방 같은 묵직한 향을 찾고 있어. 연기 냄새와 나무 향이 섞이고 부드럽게 마무리되면 좋겠어.,Francesca Bianchi / The Lover's Tale,"leather, powdery, woody","leather(100), powdery(68), woody(56), smoky(53), musky(50)",51499,2,,,,
8,A,깨끗하고 부드러운 꽃향을 찾고 있어. 흰 꽃이 중심이고 피부에 자연스럽게 붙는 포근함과 장미도 원해.,Avon / Today Tomorrow Always Forever,"white floral, musky, floral","white floral(100), musky(80), floral(53), soft spicy(52), rose(50)",14694,2,,,,
9,A,자연스럽고 상쾌한 향이면 좋겠어. 마른 나무와 초록 잎 향이 강하고 살짝 알싸한 느낌도 있었으면 해.,Hermès / Un Jardin en Méditerranée,"aromatic, woody, citrus","aromatic(100), woody(100), citrus(98), green(78), fresh spicy(73)",19,3,,,,
10,A,깔끔한 감귤 향과 꽃다발 같은 향이 같이 났으면 좋겠어. 너무 달지 않고 공기가 맑아지는 듯한 산뜻함이 있으면 해.,Maison Martin Margiela / Flying,"citrus, white floral, floral","citrus(100), white floral(79), floral(42), ozonic(38), fresh spicy(35)",41188,2,,,,
11,A,장미 향이 진하고 다른 꽃향도 풍성했으면 좋겠어. 달콤한 과일과 깊은 나무 냄새도 같이 느껴지면 해.,Sisley / Izia La Nuit,"rose, floral, fruity","rose(100), floral(98), fruity(78), woody(73), patchouli(67)",64679,1,,,,
12,A,라벤더 향이 진하고 달콤한 바닐라 느낌이 있었으면 좋겠어. 보송한 분냄새와 포근한 살냄새도 원해.,Caron / Pour Un Homme de Caron,"lavender, vanilla, aromatic","lavender(100), vanilla(86), aromatic(58), powdery(50), musky(44)",3166,1,,,,
13,A,깔끔한 향신료 느낌이 중심이면 좋겠어. 레몬 같은 상큼함과 라벤더의 편안한 향도 살짝 있었으면 해.,Guess / Guess Seductive Noir Homme,"fresh spicy, aromatic, fruity","fresh spicy(100), aromatic(45), fruity(44), lavender(43), citrus(42)",56993,3,,,,
14,A,진한 단향에 가죽 냄새가 확실히 있었으면 좋겠어. 캐러멜처럼 눅진하고 포근한 체취 느낌도 같이 원해.,L'Artisan Parfumeur / Dzing!,"sweet, leather, caramel","sweet(100), leather(88), caramel(67), musky(50), animalic(46)",1953,1,,,,
15,A,화장대의 분가루처럼 보송하고 부드러운 향이면 좋겠어. 은은한 바닐라와 따뜻한 느낌도 있었으면 해.,Carner Barcelona / Besos,"powdery, musky, iris","powdery(100), musky(87), iris(77), vanilla(47), amber(39)",44281,3,,,,
16,B,사계절 편하게 쓸 라벤더 향을 원해. 향이 차분하게 변하면서 마지막에는 살짝 포근한 가루 느낌이 나면 좋겠어.,Tom Ford / Lavender Extreme,"aromatic, lavender, vanilla",Beautiful development / Calming and soothing aromatherapy qualities / Year-round wearability / Best lavender fragrance / Versatile and perfectly unisex appeal / Impressive performa,54381,3,,,,
17,B,휴양지에서 쓸 독특한 여름 향을 원해. 바다처럼 시원하고 짭짤하면서 선크림 같은 부드러운 꽃향도 괜찮아.,Kenzo / Kenzo Homme Marine,"woody, marine, yellow floral",Excellent value for the price / Fresh and uplifting for hot weather / Strong projection and noticeable sillage / Unique tropical marine scent profile / Unique ylang-ylang and salty,80042,3,,,,
18,B,남녀 모두 쓸 수 있는 독특한 나무 향을 원해. 따뜻한 나무와 어두운 과일 향이 섞여 몽환적이면 좋겠어.,Initio Parfums Prives / Blessed Baraka,"amber, powdery, woody","Mysterious and magical wood scent / Intoxicating, seductive, and highly sexy scent / Niche and unisex fragrance / Very high quality and well-blended / Sweet dark berry note adds a ",30991,3,,,,
