term,candidate_term,note_type,source_org,source_title,source_url,source_type,evidence_type,evidence_summary,supports_relation,retrieved_at,version
Woody Notes,Woody,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,PRIMARY_DESCRIPTOR_DEFINITION,IFRA defines Woody by explicitly describing woody notes as a large odor family that includes sandalwood and cedarwood facets.,SAME_CONCEPT,2026-09-01,v0.2
Woody Notes,Woody,,IFF,Fragrance Ingredients Compendium,https://www.iff.com/scent/ingredients-compendium/,OFFICIAL_WEB,OLFACTIVE_FAMILY,"IFF labels ingredient entries with Woody under its Olfactive Family field, confirming category-level use rather than one ingredient identity.",SAME_CONCEPT,2026-09-01,v0.2
Green Notes,Green,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,PRIMARY_DESCRIPTOR_DEFINITION,IFRA calls Green a broad descriptor and uses the expression green notes within the definition.,SAME_CONCEPT,2026-09-01,v0.2
Green Notes,Green,,IFF,Fragrance Ingredients Compendium,https://www.iff.com/scent/ingredients-compendium/,OFFICIAL_WEB,OLFACTIVE_FAMILY,IFF uses Green as an Olfactive Family label for fragrance ingredients.,SAME_CONCEPT,2026-09-01,v0.2
Floral Notes,Floral,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,PRIMARY_DESCRIPTOR_DEFINITION,IFRA states that floral notes belong to the large floral family and can represent single or multi-faceted flower character.,SAME_CONCEPT,2026-09-01,v0.2
Floral Notes,Floral,,IFF,Fragrance Ingredients Compendium,https://www.iff.com/scent/ingredients-compendium/,OFFICIAL_WEB,OLFACTIVE_FAMILY,IFF uses Floral as an Olfactive Family label for fragrance ingredients.,SAME_CONCEPT,2026-09-01,v0.2
Citruses,Citrus,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,PRIMARY_DESCRIPTOR_DEFINITION,"IFRA defines Citrus notes through the smell of fruit from the citrus family, including orange, lemon and grapefruit.",SAME_CONCEPT,2026-09-01,v0.2
Citruses,Citrus,,IFF,Fragrance Ingredients Compendium,https://www.iff.com/scent/ingredients-compendium/,OFFICIAL_WEB,OLFACTIVE_FAMILY,IFF uses Citrus as an Olfactive Family label; the P0 form differs only by plural labeling at the scent-category level.,SAME_CONCEPT,2026-09-01,v0.2
Black Currant,Blackcurrant,,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,INGREDIENT_DESCRIPTOR_LINK,IFRA contains 20 Blackcurrant descriptor rows and 6 Cassis principal-name variants whose descriptors include Blackcurrant.,SAME_CONCEPT,2026-09-01,v0.2
Black Currant,Blackcurrant / Cassis,,IFF,Damascone Delta,https://www.iff.com/scent/ingredients-compendium/damascone-delta/,OFFICIAL_WEB,OLFACTIVE_DESCRIPTION,IFF explicitly pairs Blackcurrant with cassis in the olfactive description of Damascone Delta.,SAME_CONCEPT,2026-09-01,v0.2
