task_type,query_id,resolution_type,primary_expression_type,bridge_evaluation_text,anonymous_item_id,target_type,target_feature,feature_definition,bridge_status,top_accords_json,top_notes_json,middle_notes_json,base_notes_json,flat_notes_json,context_json,displayed_feature_glossary_json,r1_rating,r2_rating,adj_rating,r1_abstain_cause,r2_abstain_cause,adj_abstain_cause,r1_missed_allowed_targets_json,r2_missed_allowed_targets_json,adj_missed_allowed_targets_json,r1_outside_target_candidates_json,r2_outside_target_candidates_json,adj_outside_target_candidates_json,adjudication_note
ABSTAIN_CAUSE,SQ0061,PURE,NATURAL_ENVIRONMENT,비 온 뒤의 숲의 냄새,SQ0061-A01,,,,ABSTAIN,,,,,,,,,,,,,,,,,,,,
ABSTAIN_CAUSE,SQ0032,PURE,NATURAL_ENVIRONMENT,여름에 어울리는 숲 속에 온 듯한 향,SQ0032-A01,,,,ABSTAIN,,,,,,,,,,,,,,,,,,,,
RETRIEVAL,SQ0032,PURE,NATURAL_ENVIRONMENT,여름에 어울리는 숲 속에 온 듯한 향,SQ0032-C01,,,,,"[{""name"": ""fruity"", ""strength"": 100.0}, {""name"": ""tropical"", ""strength"": 97.0}, {""name"": ""sweet"", ""strength"": 45.0}, {""name"": ""citrus"", ""strength"": 44.0}, {""name"": ""vanilla"", ""strength"": 29.0}]","[""Mango"", ""Mandarin""]","[""Guava""]","[""Vanilla"", ""Sandalwood""]",[],"{""seasons"": {""summer"": {""vote_eligible"": true, ""share"": 0.8095238095238095}}, ""dayparts"": {}}","[{""feature_type"": ""ACCORD"", ""feature_name"": ""fruity"", ""definition"": ""Fruity notes belong to the non-citrus fruit family. This is a very large family that includes many fruit notes such as banana, apple and mango. Some fruit fragrance materials have smells that are not one fruit but multi-faceted, with a complex fruity character."", ""aliases"": [], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""ACCORD"", ""feature_name"": ""tropical"", ""definition"": """", ""aliases"": [], ""source"": """"}, {""feature_type"": ""ACCORD"", ""feature_name"": ""sweet"", ""definition"": """", ""aliases"": [], ""source"": """"}, {""feature_type"": ""ACCORD"", ""feature_name"": ""citrus"", ""definition"": ""Citrus notes are given by the smell of fruit from the citrus family – such as orange, lemon or grapefruit."", ""aliases"": [], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""ACCORD"", ""feature_name"": ""vanilla"", ""definition"": """", ""aliases"": [], ""source"": """"}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Mango"", ""definition"": """", ""aliases"": [""Mango""], ""source"": """"}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Mandarin"", ""definition"": """", ""aliases"": [""Mandarin""], ""source"": """"}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Vanilla"", ""definition"": """", ""aliases"": [""Vanilla""], ""source"": """"}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Sandalwood"", ""definition"": """", ""aliases"": [""Sandalowood"", ""Sandalwood""], ""source"": """"}]",,,,,,,,,,,,,
RETRIEVAL,SQ0032,PURE,NATURAL_ENVIRONMENT,여름에 어울리는 숲 속에 온 듯한 향,SQ0032-C02,,,,,"[{""name"": ""citrus"", ""strength"": 100.0}, {""name"": ""white floral"", ""strength"": 92.0}, {""name"": ""green"", ""strength"": 83.0}, {""name"": ""aromatic"", ""strength"": 73.0}, {""name"": ""fresh"", ""strength"": 58.0}]","[""Lemon"", ""Mint"", ""Bergamot"", ""Cardamom""]","[""Lily of the Valley"", ""Jasmine"", ""Pear"", ""Ylang-Ylang""]","[""Musk"", ""Amber"", ""Moss"", ""Patchouli""]",[],"{""seasons"": {""summer"": {""vote_eligible"": true, ""share"": 0.8775510204081632}}, ""dayparts"": {}}","[{""feature_type"": ""ACCORD"", ""feature_name"": ""citrus"", ""definition"": ""Citrus notes are given by the smell of fruit from the citrus family – such as orange, lemon or grapefruit."", ""aliases"": [], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""ACCORD"", ""feature_name"": ""white floral"", ""definition"": """", ""aliases"": [], ""source"": """"}, {""feature_type"": ""ACCORD"", ""feature_name"": ""green"", ""definition"": ""Green is a broad descriptor that refers simply to those natural smell that are green – such as the distinctive scent of cut grass, hedgerow fruits flowers, and those green notes and many green materials that help impart natural smells in a more complex accord or mix of scents."", ""aliases"": [], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""ACCORD"", ""feature_name"": ""aromatic"", ""definition"": ""Aromatic notes are complex notes that are sometimes also described as having a diffusive aroma. They may be recognized in cooking as culinary herbs and spices, but they have a full fragrance quality."", ""aliases"": [], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""ACCORD"", ""feature_name"": ""fresh"", ""definition"": """", ""aliases"": [], ""source"": """"}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Lemon"", ""definition"": """", ""aliases"": [""Lemon""], ""source"": """"}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Bergamot"", ""definition"": """", ""aliases"": [""Bergamot""], ""source"": """"}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Muguet"", ""definition"": ""dsm-firmenich explicitly describes muguet as lily-of-the-valley and presents a molecule collection for constructing the note."", ""aliases"": [""Lily of the Valley"", ""Lily-of-the-Valley""], ""source"": ""scent_term_evidence_v0.3 SAME_CONCEPT""}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Pear"", ""definition"": """", ""aliases"": [""Pear""], ""source"": """"}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Musk-Like"", ""definition"": ""IFRA's Musk-Like entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: These materials belong to an important fragrance note – while they are not obtained from animals, they are created to have an animal-like quality, often powdery and sometimes warm and sweet."", ""aliases"": [""Musk""], ""source"": ""scent_term_evidence_v0.3 SAME_CONCEPT""}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Amber"", ""definition"": ""Amber is used to describe a complex note in fragrances that are a mixture of warm, woody and sweet notes that impart a rich and comforting character."", ""aliases"": [""Amber""], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Patchouli"", ""definition"": """", ""aliases"": [""Patchouli""], ""source"": """"}]",,,,,,,,,,,,,
RETRIEVAL,SQ0032,PURE,NATURAL_ENVIRONMENT,여름에 어울리는 숲 속에 온 듯한 향,SQ0032-C03,,,,,"[{""name"": ""citrus"", ""strength"": 100.0}, {""name"": ""marine"", ""strength"": 96.0}, {""name"": ""aquatic"", ""strength"": 91.0}, {""name"": ""ozonic"", ""strength"": 73.0}, {""name"": ""aromatic"", ""strength"": 64.0}]",[],[],[],"[""Melon"", ""Sea water"", ""Mandarin Orange"", ""Neroli"", ""Iris""]","{""seasons"": {""summer"": {""vote_eligible"": true, ""share"": 0.8070175438596491}}, ""dayparts"": {}}","[{""feature_type"": ""ACCORD"", ""feature_name"": ""citrus"", ""definition"": ""Citrus notes are given by the smell of fruit from the citrus family – such as orange, lemon or grapefruit."", ""aliases"": [], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""ACCORD"", ""feature_name"": ""marine"", ""definition"": ""Marine covers smells that you expect to fine at the seashore – they tend to be fresh and sometimes ozonic, and often sea water-like."", ""aliases"": [], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""ACCORD"", ""feature_name"": ""aquatic"", ""definition"": """", ""aliases"": [], ""source"": """"}, {""feature_type"": ""ACCORD"", ""feature_name"": ""ozonic"", ""definition"": ""Ozonic notes are fresh-smelling materials that don’t have a more specific note but may remind you of a fresh windy day. Sometimes they have a weak, almost chlorine-like smell."", ""aliases"": [], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""ACCORD"", ""feature_name"": ""aromatic"", ""definition"": ""Aromatic notes are complex notes that are sometimes also described as having a diffusive aroma. They may be recognized in cooking as culinary herbs and spices, but they have a full fragrance quality."", ""aliases"": [], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Melon"", ""definition"": """", ""aliases"": [""Melon""], ""source"": """"}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Iris"", ""definition"": """", ""aliases"": [""Iris""], ""source"": """"}]",,,,,,,,,,,,,
RETRIEVAL,SQ0032,PURE,NATURAL_ENVIRONMENT,여름에 어울리는 숲 속에 온 듯한 향,SQ0032-C04,,,,,"[{""name"": ""powdery"", ""strength"": 100.0}, {""name"": ""soft spicy"", ""strength"": 88.0}, {""name"": ""fruity"", ""strength"": 63.0}, {""name"": ""white floral"", ""strength"": 46.0}, {""name"": ""tropical"", ""strength"": 37.0}]",[],[],[],"[""Carrot"", ""Orcanox™"", ""Monoi Oil"", ""Banana Flower"", ""Tahitian Vanilla"", ""Tyger Lily""]","{""seasons"": {""summer"": {""vote_eligible"": true, ""share"": 0.875}}, ""dayparts"": {}}","[{""feature_type"": ""ACCORD"", ""feature_name"": ""powdery"", ""definition"": ""Powdery fragrance ingredients are from a larger complex group that impart a warm, sometimes sweet or musky powdery smell."", ""aliases"": [], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""ACCORD"", ""feature_name"": ""soft spicy"", ""definition"": """", ""aliases"": [], ""source"": """"}, {""feature_type"": ""ACCORD"", ""feature_name"": ""fruity"", ""definition"": ""Fruity notes belong to the non-citrus fruit family. This is a very large family that includes many fruit notes such as banana, apple and mango. Some fruit fragrance materials have smells that are not one fruit but multi-faceted, with a complex fruity character."", ""aliases"": [], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""ACCORD"", ""feature_name"": ""white floral"", ""definition"": """", ""aliases"": [], ""source"": """"}, {""feature_type"": ""ACCORD"", ""feature_name"": ""tropical"", ""definition"": """", ""aliases"": [], ""source"": """"}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Carrot"", ""definition"": """", ""aliases"": [""Carrot""], ""source"": """"}]",,,,,,,,,,,,,
RETRIEVAL,SQ0032,PURE,NATURAL_ENVIRONMENT,여름에 어울리는 숲 속에 온 듯한 향,SQ0032-C05,,,,,"[{""name"": ""coconut"", ""strength"": 100.0}, {""name"": ""sweet"", ""strength"": 72.0}, {""name"": ""marine"", ""strength"": 71.0}, {""name"": ""green"", ""strength"": 58.0}, {""name"": ""floral"", ""strength"": 53.0}]","[""Coconut"", ""Palm Leaf"", ""Sea Notes"", ""Citruses""]","[""Coconut Milk"", ""Passion Flower"", ""Nectarine""]","[""Driftwood"", ""Musk""]",[],"{""seasons"": {""summer"": {""vote_eligible"": true, ""share"": 0.8461538461538461}}, ""dayparts"": {}}","[{""feature_type"": ""ACCORD"", ""feature_name"": ""coconut"", ""definition"": """", ""aliases"": [], ""source"": """"}, {""feature_type"": ""ACCORD"", ""feature_name"": ""sweet"", ""definition"": """", ""aliases"": [], ""source"": """"}, {""feature_type"": ""ACCORD"", ""feature_name"": ""marine"", ""definition"": ""Marine covers smells that you expect to fine at the seashore – they tend to be fresh and sometimes ozonic, and often sea water-like."", ""aliases"": [], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""ACCORD"", ""feature_name"": ""green"", ""definition"": ""Green is a broad descriptor that refers simply to those natural smell that are green – such as the distinctive scent of cut grass, hedgerow fruits flowers, and those green notes and many green materials that help impart natural smells in a more complex accord or mix of scents."", ""aliases"": [], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""ACCORD"", ""feature_name"": ""floral"", ""definition"": ""Floral notes belong to the large floral family that includes notes such as rose, jasmin, narcissus and others. Some fragrance materials have smells that are not one flower but multi-faceted, with a complex flowery character."", ""aliases"": [], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Coconut"", ""definition"": """", ""aliases"": [""Coconut""], ""source"": """"}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Citrus"", ""definition"": ""Citrus notes are given by the smell of fruit from the citrus family – such as orange, lemon or grapefruit."", ""aliases"": [""Citrus"", ""Citruses""], ""source"": ""IFRA primary descriptor definition""}, {""feature_type"": ""CANONICAL_NOTE"", ""feature_name"": ""Musk-Like"", ""definition"": ""IFRA's Musk-Like entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: These materials belong to an important fragrance note – while they are not obtained from animals, they are created to have an animal-like quality, often powdery and sometimes warm and sweet."", ""aliases"": [""Musk""], ""source"": ""scent_term_evidence_v0.3 SAME_CONCEPT""}]",,,,,,,,,,,,,
ABSTAIN_CAUSE,SQ0136,PURE,CLEAN_FABRIC_ROUTINE,빨래향 같이 자연스러운 향,SQ0136-A01,,,,ABSTAIN,,,,,,,,,,,,,,,,,,,,
ABSTAIN_CAUSE,SQ0105,PURE,TEMPERATURE_TEXTURE_ATMOSPHERE,따뜻한 햇살을 받으며 침대 위에 누워있는 듯한 느낌의 향수,SQ0105-A01,,,,ABSTAIN,,,,,,,,,,,,,,,,,,,,
CONCEPT,SQ0012,PURE,CLEAN_FABRIC_ROUTINE,샤워하고 나온듯한 따뜻하고 포근한 느낌의 향기,SQ0012-T01,ACCORD,soapy,,MAPPED,,,,,,,,,,,,,,,,,,,,
