query_id,arm,perfume_id,sentence_no,sentence,batch,raw_response,parsed,status,error,attempts,prompt_tokens,completion_tokens,latency_seconds,model_name,prompt_version,prompt_sha256,run_timestamp
A-6-1,A,6,1,하얀 꽃 향이 진하면서 깨끗한 비누처럼 밝은 느낌이 있었으면 좋겠어. 나무 향과 보송한 분냄새도 은근히 원해.,1,"{
  ""scent_preference"": [
    ""white flowers"",
    ""woody"",
    ""clean""
  ],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""진한 하얀 꽃 향"",
    ""비누처럼 밝은 느낌"",
    ""보송한 분냄새도 은근히""
  ]
}","{""scent_preference"": [""white flowers"", ""woody"", ""clean""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""진한 하얀 꽃 향"", ""비누처럼 밝은 느낌"", ""보송한 분냄새도 은근히""]}",ok,,1,643,118,2.215,gpt-5.4-nano,15_stage1_llm_prompt_v1,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T11:46:40.526031+00:00
A-6-2,A,6,2,단정하고 클래식한 향을 찾고 있어. 꽃 향과 깨끗한 세탁물 같은 느낌이 나고 포근한 분 향이 남았으면 좋겠어.,1,"{
  ""scent_preference"": [
    ""floral"",
    ""clean""
  ],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""단정하고 클래식한 향"",
    ""꽃 향"",
    ""깨끗한 세탁물 같은 느낌"",
    ""포근한 분 향이 남았으면 좋겠어""
  ]
}","{""scent_preference"": [""floral"", ""clean""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""단정하고 클래식한 향"", ""꽃 향"", ""깨끗한 세탁물 같은 느낌"", ""포근한 분 향이 남았으면 좋겠어""]}",ok,,1,640,122,2.755,gpt-5.4-nano,15_stage1_llm_prompt_v1,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T11:46:43.281081+00:00
A-6-3,A,6,3,꽃다발 같은 향에 숲의 나무 냄새가 섞였으면 좋겠어. 상쾌하면서도 화장품 파우더처럼 보송한 느낌도 있으면 해.,1,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""flower bouquet-like scent"",
    ""mixed with forest tree smell"",
    ""fresh feel"",
    ""dry, powdery feel like cosmetics powder""
  ]
}","{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""flower bouquet-like scent"", ""mixed with forest tree smell"", ""fresh feel"", ""dry, powdery feel like cosmetics powder""]}",ok,,1,645,100,1.463,gpt-5.4-nano,15_stage1_llm_prompt_v1,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T11:46:44.743973+00:00
A-19-1,A,19,1,나무와 허브 향이 진하면서 레몬처럼 상큼했으면 좋겠어. 초록 잎과 톡 쏘는 향신료 느낌도 원해.,4,"{
  ""scent_preference"": [""woody"", ""herbal"", ""citrus"", ""lemon"", ""spices""],
  ""context"": {""season"": [], ""daypart"": [], ""gender"": []},
  ""performance"": {""intensity"": """", ""longevity"": """"},
  ""avoid"": [],
  ""additional_requirements"": [""나무와 허브 향이 진하게"", ""레몬처럼 상큼"", ""초록 잎 느낌"", ""톡 쏘는 향신료 느낌""]
}","{""scent_preference"": [""woody"", ""herbal"", ""citrus"", ""lemon"", ""spices""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""나무와 허브 향이 진하게"", ""레몬처럼 상큼"", ""초록 잎 느낌"", ""톡 쏘는 향신료 느낌""]}",ok,,1,639,112,2.361,gpt-5.4-nano,15_stage1_llm_prompt_v1,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T11:46:47.104849+00:00
A-19-2,A,19,2,숲속 허브 정원을 걷는 듯한 향을 찾고 있어. 나무와 풀 냄새가 풍성하고 감귤 향도 선명하면 좋겠어.,4,"{
  ""scent_preference"": [""herbal"", ""woody"", ""citrus""],
  ""context"": {""season"": [], ""daypart"": [], ""gender"": []},
  ""performance"": {""intensity"": """", ""longevity"": """"},
  ""avoid"": [],
  ""additional_requirements"": [""숲속 허브 정원을 걷는 듯한 향"", ""나무와 풀 냄새가 풍성"", ""감귤 향이 선명""]
}","{""scent_preference"": [""herbal"", ""woody"", ""citrus""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""숲속 허브 정원을 걷는 듯한 향"", ""나무와 풀 냄새가 풍성"", ""감귤 향이 선명""]}",ok,,1,641,104,1.79,gpt-5.4-nano,15_stage1_llm_prompt_v1,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T11:46:48.895114+00:00
A-19-3,A,19,3,자연스럽고 상쾌한 향이면 좋겠어. 마른 나무와 초록 잎 향이 강하고 살짝 알싸한 느낌도 있었으면 해.,4,"{
  ""scent_preference"": [
    ""woody"",
    ""green"",
    ""fresh""
  ],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""마른 나무 향이 강하게"",
    ""초록 잎 향이 강하게"",
    ""살짝 알싸한 느낌""
  ]
}","{""scent_preference"": [""woody"", ""green"", ""fresh""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""마른 나무 향이 강하게"", ""초록 잎 향이 강하게"", ""살짝 알싸한 느낌""]}",ok,,1,639,115,2.907,gpt-5.4-nano,15_stage1_llm_prompt_v1,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T11:46:51.801916+00:00
A-28-1,A,28,1,따뜻하게 매콤한 향이 강하고 잘 익은 과일처럼 달콤했으면 좋겠어. 나무 향도 묵직하게 받쳐주면 해.,4,"{
  ""scent_preference"": [""warm spicy"", ""sweet fruit"", ""woody""],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": ""HIGH"",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [""잘 익은 과일처럼 달콤했으면 좋겠어""]
}","{""scent_preference"": [""warm spicy"", ""sweet fruit"", ""woody""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": ""HIGH"", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""잘 익은 과일처럼 달콤했으면 좋겠어""]}",ok,,1,640,95,2.371,gpt-5.4-nano,15_stage1_llm_prompt_v1,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T11:46:54.173225+00:00
A-28-2,A,28,2,가을겨울에 쓸 향으로 향신료 느낌이 진했으면 좋겠어. 과일의 단맛과 따뜻한 나무 냄새도 같이 원해.,4,"{
  ""scent_preference"": [""Spice"", ""fruity"", ""wood""],
  ""context"": {
    ""season"": [""autumn"", ""winter""],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [""향신료 느낌이 진했으면 좋겠어"", ""과일의 단맛"", ""따뜻한 나무 냄새""]
}","{""scent_preference"": [""Spice"", ""fruity"", ""wood""], ""context"": {""season"": [""autumn"", ""winter""], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""향신료 느낌이 진했으면 좋겠어"", ""과일의 단맛"", ""따뜻한 나무 냄새""]}",ok,,1,640,112,1.75,gpt-5.4-nano,15_stage1_llm_prompt_v1,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T11:46:55.924565+00:00
A-28-3,A,28,3,달콤한 과일에 따뜻한 향신료를 더한 듯한 향을 찾고 있어. 깊은 나무 향까지 느껴지면 좋겠어.,4,"{
  ""scent_preference"": [""fruity"", ""warm spice"", ""woody""],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": []
}","{""scent_preference"": [""fruity"", ""warm spice"", ""woody""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": []}",ok,,1,638,78,1.393,gpt-5.4-nano,15_stage1_llm_prompt_v1,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T11:46:57.318048+00:00
A-57-1,A,57,1,레몬이나 오렌지처럼 상큼한 향이 확실했으면 좋겠어. 허브와 풋풋한 풀 냄새도 은은하게 나면 해.,3,"{
  ""scent_preference"": [""citrus"", ""herbal""],
  ""context"": {""season"": [], ""daypart"": [], ""gender"": []},
  ""performance"": {""intensity"": """", ""longevity"": """"},
  ""avoid"": [],
  ""additional_requirements"": [""레몬이나 오렌지처럼 상큼한 향"", ""허브와 풋풋한 풀 냄새가 은은하게""]
}","{""scent_preference"": [""citrus"", ""herbal""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""레몬이나 오렌지처럼 상큼한 향"", ""허브와 풋풋한 풀 냄새가 은은하게""]}",ok,,1,640,95,1.375,gpt-5.4-nano,15_stage1_llm_prompt_v1,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T11:46:58.692919+00:00
