query_id,query_text,source,source_row,review_status,split_status,memo
SQ0001,내가 원하는 무드는 차분하고 댄디한 느낌을 원함. 이런 내 스타일에 맞춰서 향수를 추천해줘. 향이 오래갔으면 좋겠음,survey_2026_08,2,UNREVIEWED,UNASSIGNED,
SQ0002,시트러스 향처럼 시원하고 깔끔한 향,survey_2026_08,3,UNREVIEWED,UNASSIGNED,
SQ0003,향이 별로 안강했으면 좋겠어. 향에 민감해서 다른 향수 냄새를 맡으면 두통이 와. 그리고 자연스러운 향이 났으면 좋겠어. 너무 꾸민 티가 안나게. 그리고 가격대도 취준생 입장에서 부담스럽지 않아야해.,survey_2026_08,4,UNREVIEWED,UNASSIGNED,
SQ0004,나에게 어울리는 향수를 추천해줘 나는 자연 스럽고 산뜻한 느낌을 원해,survey_2026_08,5,UNREVIEWED,UNASSIGNED,
SQ0005,운동하고 뿌리면 좋은 비싸지 않은 남자 향수 추천해줘.,survey_2026_08,6,UNREVIEWED,UNASSIGNED,
SQ0006,남성이 쓸만한 여름에 어울리면서도 시트러스 향이 강한 향수를 추천해주세요. 은은한 향이면서도 지속력이 6시간 이상이었으면 좋겠어요.,survey_2026_08,7,UNREVIEWED,UNASSIGNED,
SQ0007,"계절별로 향수를 추천해주세요. 여름에는 시트러스 계열의 향수 제품을 추천해주고, 봄, 가을에는 화이트 머스크 계열의 향수 제품, 겨울에는 우디 계열의 향수 제품을 추천해주세요.",survey_2026_08,8,UNREVIEWED,UNASSIGNED,
SQ0008,여름에 사용할건데 시트러스 계열인데 지속성이 발향력이 좋은 녀석을 찾고있어. 내 성별은 남성이고 남성 스킨향이 조금 덜 났으면 좋겠어. 그리고 가격대는 30만원 이하로 추천해줘.,survey_2026_08,9,UNREVIEWED,UNASSIGNED,
SQ0009,진한 꽃 냄새가 아닌 달달하고 은은한 향 / 편안하고 생기 넘치는 향,survey_2026_08,10,UNREVIEWED,UNASSIGNED,
SQ0010,바디워시느낌이 나는 향수를 추천해주세요,survey_2026_08,11,UNREVIEWED,UNASSIGNED,
SQ0011,너무 비싸지 않지만 남들이 쓰는 흔한 향수 말고 힙하면서 노트는 단순하거나 리니어하지 않고 복잡하면서도 탑에서 오는 존재감이 뚜렷하고 베이스는 바닐라나 럼 같은 쪽 말고 우드나 그나마 앰버 정도로 가되 너무 싼티나는 인공적인 향은 아니었으면 좋겠네,survey_2026_08,12,UNREVIEWED,UNASSIGNED,
SQ0012,샤워하고 나온듯한 따뜻하고 포근한 느낌의 향기를 추천해줘,survey_2026_08,13,UNREVIEWED,UNASSIGNED,
SQ0013,"음,, 클린웜코튼과 같은 샤워하고 나온 향기로운 냄새를 좋아하기도 하고, 포맨트 블랙처럼 무난한 향을 좋아하기도 해.",survey_2026_08,14,UNREVIEWED,UNASSIGNED,
SQ0014,꽃냄새와 우드의 중간 계열이고 가볍지 않은 조금 무거운 향이 났으면 해. 무거운 향이지만 달달한 냄새로,survey_2026_08,15,UNREVIEWED,UNASSIGNED,
SQ0015,여름 향수 추천해줘,survey_2026_08,16,UNREVIEWED,UNASSIGNED,
SQ0016,"달달한 플로럴한 계열이 좋은데 남자가 사용할 거라 너무 여성스러운 느낌이 안 났으면 좋겠고, 또 너무 과한 시트러스 때문에 세제 냄새는 안 났으면 좋겠어.",survey_2026_08,17,UNREVIEWED,UNASSIGNED,
SQ0017,싸가지 없어 보이지만 능력이 좋아서 재수없는 와중에 내사람이 되면 따뜻하고 유머있게 변하는 사람이 쓸만한 향수 추천해줘,survey_2026_08,18,UNREVIEWED,UNASSIGNED,
SQ0018,"중성적인 향, 너무 강하지 않게, 산뜻하고 가벼운 느낌의 향수를 추천해줘.",survey_2026_08,19,UNREVIEWED,UNASSIGNED,
SQ0019,"상큼한 향 그리고, 맡으면 시원해지는 향수 추천해줘",survey_2026_08,20,UNREVIEWED,UNASSIGNED,
SQ0020,아로마티카 같이 허브 향이 나는 향수를 추천해줘.,survey_2026_08,21,UNREVIEWED,UNASSIGNED,
SQ0021,꽃향기가 나면서도 시원한 느낌을 원해. 여자에게 이 남자 조금 신경 쓰는 남자라는 인상을 주고 싶어!,survey_2026_08,22,UNREVIEWED,UNASSIGNED,
SQ0022,"나 향수를 잘 모르는데, 깔끔한 스타일의 향을 필요로 해. 최대 15만원 안팎",survey_2026_08,23,UNREVIEWED,UNASSIGNED,
SQ0023,"나 비누향 엄청 좋아하는데 은은하면서 포근한, 부담스럽지 않은 향수를 추천해줘. 나는 20대 후반의 남자이고, 과한 향은 어지러워 하는 편이야. 특히 목욕탕 스킨 냄새는 진짜 싫어해.",survey_2026_08,24,UNREVIEWED,UNASSIGNED,
SQ0024,이 편지는 영국에서 최초로 시작되어 일년에 한바퀴를 돌면서 받는 사람에게 행운을 주었고 지금은 당신에게로 옮겨진 이 편지는 4일 안에 당신 곁을 떠나야 합니다. 이 편지를 포함해서 7통을 행운이 필요한 사람에게 보내 주셔야 합니다. 복사를 해도 좋습니다. 혹 미신이라 하실지 모르지만 사실입니다. 영국에서 HGXWCH이라는 사람은 1930년에 이 편지를 받았습니다. 그는 비서에게 복사해서 보내라고 했습니다. 며칠 뒤에 복권이 당첨되어 20억을 받았습니다. 어떤 이는 이 편지를 받았으나 96시간 이내 자신의 손에서 떠나야 한다는 사실을 잊었습니다. 그는 곧 사직되었습니다. 나중에야 이 사실을 알고 7통의 편지를 보냈는데 다시 좋은 직장을 얻었습니다. 미국의 케네디 대통령은 이 편지를 받았지만 그냥 버렸습니다. 결국 9일 후 그는 암살당했습니다. 기억해 주세요. 이 편지를 보내면 7년의 행운이 있을 것이고 그렇지 않으면 3년의 불행이 있을 것입니다. 그리고 이 편지를 버리거나 낙서를 해서는 절대로 안됩니다. 7통입니다. 이 편지를 받은 사람은 행운이 깃들 것입니다. 힘들겠지만 좋은 게 좋다고 생각하세요. 7년의 행운을 빌면서... 가 연상되는 향수가 뭐가 있을까?,survey_2026_08,25,UNREVIEWED,UNASSIGNED,
SQ0025,내가 쓰는 향수랑 비슷한 향이 나는 다른 향수가 궁금하다,survey_2026_08,26,UNREVIEWED,UNASSIGNED,
SQ0026,플로럴? 꽃 냄새는 별로고 좀 포근하고 딱 맡았을 때 와 진짜 어른 여자<< 같은 느낌이 되고싶은데 어떤 향수가 좋을까요?,survey_2026_08,27,UNREVIEWED,UNASSIGNED,
SQ0027,직장에서 매일 쓸거고 신중하게 결정한 다음에 변경하지 않을것임. 남자 향수 추천 해봐라. 취향은 딱히 없고 무난하면 됨.,survey_2026_08,28,UNREVIEWED,UNASSIGNED,
SQ0028,난 평소 클로에 EDP를 좋아하는데 비슷한 향수 추천해줘,survey_2026_08,29,UNREVIEWED,UNASSIGNED,
SQ0029,꽃향은 좋은데 로즈는 싫어,survey_2026_08,30,UNREVIEWED,UNASSIGNED,
SQ0030,"나는 가벼우면서도 중성적인 향을 원해. 너무 달달하지 않고, 시원하면서도 너무 남성적이지 않은 향이 좋다. 참고로 기존에 사용하는 향수로는 조르지오 아르마니의 프리베 테 울롱 , 조말론 와일드 블루벨을 사용한다. 가격은 신경쓰지 말고 다양한 가격대 별로 추천해줘.",survey_2026_08,31,UNREVIEWED,UNASSIGNED,
SQ0031,나는 쎈 향은 안 좋아하는데 향수 추천해줘,survey_2026_08,32,UNREVIEWED,UNASSIGNED,
SQ0032,여름에 어울리는 숲 속에 온 듯한 향을 추천해줘,survey_2026_08,33,UNREVIEWED,UNASSIGNED,
SQ0033,라이트한 시트러스향이 있으면 좋겠고 너무 달달한 향이 안나면 좋겠어. 잔향은 조오금 오래가는 편이 좋을거같아,survey_2026_08,34,UNREVIEWED,UNASSIGNED,
SQ0034,우디향이나 코튼 향 좋아합니다,survey_2026_08,35,UNREVIEWED,UNASSIGNED,
SQ0035,전체적으로는 달달한 향이면 좋겠고 캐주얼룩에도 어울리면 좋겠어. 여름에 쓸 거니까 너무 과하게 달지 않은 향으로 추천해줘. 여름을 중심으로 4계절 내내 쓸 수 있으면 좋겠어. 우디향과 레이어드 할 거니까 조합까지 생각해서.,survey_2026_08,36,UNREVIEWED,UNASSIGNED,
SQ0036,넵!,survey_2026_08,37,UNREVIEWED,UNASSIGNED,
SQ0037,여름이니까 가벼운 향을 추천받고 싶어. 약간 비누향도 좋고. 여성스러운 느낌이면좋겠어. 가격은 5만원 아래로. 향이 오래 가면 좋겠다.,survey_2026_08,38,UNREVIEWED,UNASSIGNED,
SQ0038,"자연계열 향수 좋아하고 특히 우디계열 좋아해. 바닐라처럼 달거나 파우더리한 향은 선호하지 않아. 좋아하는 향은 톰포드 오우드, 조말론 씨 솔트 앤 베르가못 좋아하는데, 이런 느낌으로 봄/여름에 뿌리기 좋은 향수 추천해줘",survey_2026_08,39,UNREVIEWED,UNASSIGNED,
SQ0039,우디향 나는 20대 남자 향수 추천해줘,survey_2026_08,40,UNREVIEWED,UNASSIGNED,
SQ0040,너는 향수 전문가야. 나에게 향수를 추천해줘. 내가 원하는 향수의 향은 다음과 같아. [향수 정보] - 너무 진하지 않은 향 - 적당히 달콤하고 적당히 시원한 향 - [봄/여름/가을/겨울]에 어울리는 향 검색된 향수의 리뷰도 같이 검색해서 테이블 형태로 보여줘,survey_2026_08,41,UNREVIEWED,UNASSIGNED,
SQ0041,산뜻하면서 바람이 불고 푸른색의 느낌이 나며 자유로운 향을 찾고있어 추천해줘,survey_2026_08,42,UNREVIEWED,UNASSIGNED,
SQ0042,"머스크향이 베이스에 깔렸으면 좋겠고, 플로럴 향도 조금 섞였으면 좋겠어. 너무 스파이시한거는 불호이고 잔향이 은은했으면 좋겠어. 너무 빨리 발향 되는건 싫으니 지속력이 좋은거로 브랜드랑 향 추천 종류별로 부탁해.",survey_2026_08,43,UNREVIEWED,UNASSIGNED,
SQ0043,"데일리로 가볍게 쓸 수 있는 향수를 찾고 싶어. 나는 학생이라 가격대가 그렇게 높은 것은 부담스럽고, 10만원대 안팎으로 추천해줘. 향수를 많이 써본 적이 없어서 향에 대해서 설명하는 메세지를 잘 몰라. 실제 향이랑 향에 대한 설명이 매치되지 않아. 일단 좋아하는 냄새는 비누향, 코튼향인것 같고 특히 싫어했던 냄새는 장미향인 것 같아. 향수를 뿌렸을 때, 깨끗하고 여성스러운 이미지로 보였으면 좋겠어. 그리고 밀폐된 강의실에서도 사용해도 주변 사람에게 부담스럽지 않을 정도면 좋겠어. 여름이랑 겨울에 각각 사용할만한 향수를 추천해줘.",survey_2026_08,44,UNREVIEWED,UNASSIGNED,
