term,candidate_term,source_org,source_title,source_url,source_type,evidence_type,evidence_summary,supports_relation,retrieved_at
Woody Notes,Woody,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,PRIMARY_DESCRIPTOR_DEFINITION,IFRA defines Woody by explicitly describing woody notes as a large odor family that includes sandalwood and cedarwood facets.,SAME_CONCEPT,2026-09-01
Woody Notes,Woody,IFF,Fragrance Ingredients Compendium,https://www.iff.com/scent/ingredients-compendium/,OFFICIAL_WEB,OLFACTIVE_FAMILY,"IFF labels ingredient entries with Woody under its Olfactive Family field, confirming category-level use rather than one ingredient identity.",SAME_CONCEPT,2026-09-01
Green Notes,Green,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,PRIMARY_DESCRIPTOR_DEFINITION,IFRA calls Green a broad descriptor and uses the expression green notes within the definition.,SAME_CONCEPT,2026-09-01
Green Notes,Green,IFF,Fragrance Ingredients Compendium,https://www.iff.com/scent/ingredients-compendium/,OFFICIAL_WEB,OLFACTIVE_FAMILY,IFF uses Green as an Olfactive Family label for fragrance ingredients.,SAME_CONCEPT,2026-09-01
Floral Notes,Floral,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,PRIMARY_DESCRIPTOR_DEFINITION,IFRA states that floral notes belong to the large floral family and can represent single or multi-faceted flower character.,SAME_CONCEPT,2026-09-01
Floral Notes,Floral,IFF,Fragrance Ingredients Compendium,https://www.iff.com/scent/ingredients-compendium/,OFFICIAL_WEB,OLFACTIVE_FAMILY,IFF uses Floral as an Olfactive Family label for fragrance ingredients.,SAME_CONCEPT,2026-09-01
Citruses,Citrus,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,PRIMARY_DESCRIPTOR_DEFINITION,"IFRA defines Citrus notes through the smell of fruit from the citrus family, including orange, lemon and grapefruit.",SAME_CONCEPT,2026-09-01
Citruses,Citrus,IFF,Fragrance Ingredients Compendium,https://www.iff.com/scent/ingredients-compendium/,OFFICIAL_WEB,OLFACTIVE_FAMILY,IFF uses Citrus as an Olfactive Family label; the P0 form differs only by plural labeling at the scent-category level.,SAME_CONCEPT,2026-09-01
Black Currant,Blackcurrant,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,INGREDIENT_DESCRIPTOR_LINK,IFRA contains 20 Blackcurrant descriptor rows and 6 Cassis principal-name variants whose descriptors include Blackcurrant.,SAME_CONCEPT,2026-09-01
Black Currant,Blackcurrant / Cassis,IFF,Damascone Delta,https://www.iff.com/scent/ingredients-compendium/damascone-delta/,OFFICIAL_WEB,OLFACTIVE_DESCRIPTION,IFF explicitly pairs Blackcurrant with cassis in the olfactive description of Damascone Delta.,SAME_CONCEPT,2026-09-01
Black Currant,Blackcurrant,IFF,LMR Compendium,https://www.iff.com/scent/lmr-compendium/,OFFICIAL_WEB,NATURAL_INGREDIENT_FAMILY,"IFF lists multiple Blackcurrant Bud natural materials from Ribes nigrum, supporting a concept-to-material-family distinction.",SAME_CONCEPT,2026-09-01
White Musk,Musk-Like,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,PRIMARY_DESCRIPTOR_DEFINITION,IFRA defines Musk-Like broadly and applies it as the primary descriptor to 62 diverse ingredient rows with varied secondary facets.,FAMILY,2026-09-01
White Musk,Musk-Like,IFF,Edenolide,https://www.iff.com/scent/ingredients-compendium/edenolide/,OFFICIAL_WEB,OLFACTIVE_PROFILE,"IFF describes Edenolide as a powdery, creamy, warm white musk and says it contributes soft musk qualities, supporting White Musk as a specific musk profile rather than the whole class.",FAMILY,2026-09-01
Oud,Agarwood,IFRA,"IFRA Fragrance Ingredient Glossary, April 2020",data/external/ifra/raw/ifra-fragrance-ingredient-glossary-april-2020.pdf,LOCAL_PDF,MATERIAL_FAMILY,"IFRA lists 5 Agarwood oil/extract variants across 3 CAS values, all with Woody, Animal Like and Smoky descriptors.",SAME_CONCEPT,2026-09-01
