group,cell,cell_note,text,source,expect,lexicon_core_v1_17,matches_expect,note,pipeline_runs_with_results,pipeline_cores_3runs
꿀·잼,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,꿀벌 키우는 법 알려줘,word:꿀벌,막힘,,Y,,0/3,
꿀·잼,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,어제 꿀밤 맞아서 머리가 아파,word:꿀밤,막힘,,Y,,1/3, ; honey
꿀·잼,A1,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 없음 / 기대: 막힌다,세계잼버리 어디서 열렸더라,word:세계잼버리,막힘,,Y,,0/3,
꿀·잼,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,꿀꿀한 기분일 때 쓸 향수,w81:꿀꿀하다,통과,sweet,Y,,3/3,sweet
꿀·잼,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,잼민이들이 향수 뿌리고 다녀,w81:잼민이,통과,sweet,Y,,3/3,sweet
꿀·잼,A2,표면형이 향 무관 낱말 안에 박힘 + 조건 낱말 있음 / 기대: 못 막는다,꿀밤 맞은 느낌이 아직 남아 있어,word:꿀밤,통과,sweet,Y,,3/3,sweet
꿀·잼,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,꿀 사러 마트 갔다 왔어,hand,막힘,,Y,,0/3,
꿀·잼,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,딸기잼 한 통을 다 먹었다,hand,막힘,,Y,,3/3,cherry ; cherry|fruity|sweet
꿀·잼,B1,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 없음 / 기대: 막힌다,목 아플 때 꿀 한 숟갈 타 먹어,hand,막힘,,Y,,3/3,honey
꿀·잼,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,잼 냄새 때문에 벌레가 꼬인다,hand,통과,sweet,Y,,3/3,sweet
꿀·잼,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,꿀 향이 나는 립밤 어디서 파는지 알아?,hand,통과,sweet,Y,,3/3,honey|sweet ; sweet
꿀·잼,B2,표면형은 맞게 쓰임·향 무관 문장 + 조건 낱말 있음 / 기대: 못 막는다,찬장에서 꿀 냄새가 나는데 어디서 새는 거지,hand,통과,sweet,Y,,3/3,honey|sweet ; sweet
꿀·잼,C1,향 요청 + 조건 낱말 없음 / 기대: 죽는다 (알려진 한계),꿀,hand,막힘,,Y,,,
