entry_id,expression,aliases,expression_type,target_field,candidate_type,candidate_name,rank,required,match_condition,rationale,evidence_tier,corpus_support,standardness,status,source_query_ids,source_type,verification_status,relation_type
kr.term.top_note,탑노트,탑노트|탑|톱노트|탑 노트|톱 노트,PERFORMANCE,STAGE1_DIRECT,FIELD,notes.tiered.top,1,core,,탑노트는 향수를 뿌린 직후 먼저 올라오는 향이다. Fragrantica 스키마의 notes.tiered.top 에 직접 대응한다.,VERIFIED,,loanword,active,,FRAGRANTICA_SCHEMA,SCHEMA_MATCHED,PRODUCT_ATTRIBUTE
kr.term.middle_note,미들노트,미들노트|미들|미들 노트|하트노트|미드노트|하트 노트|미드 노트,PERFORMANCE,STAGE1_DIRECT,FIELD,notes.tiered.middle,1,core,,미들노트는 탑노트가 날아간 뒤 중심이 되는 향이다. Fragrantica 스키마의 notes.tiered.middle 에 직접 대응한다.,VERIFIED,,loanword,active,,FRAGRANTICA_SCHEMA,SCHEMA_MATCHED,PRODUCT_ATTRIBUTE
kr.term.base_note,베이스노트,베이스노트|베이스|베이스 노트|라스트노트|라스트 노트,PERFORMANCE,STAGE1_DIRECT,FIELD,notes.tiered.base,1,core,,베이스노트는 가장 오래 남는 향이다. Fragrantica 스키마의 notes.tiered.base 에 직접 대응한다.,VERIFIED,,loanword,active,,FRAGRANTICA_SCHEMA,SCHEMA_MATCHED,PRODUCT_ATTRIBUTE
kr.term.note,노트,노트|향조,PERFORMANCE,STAGE1_DIRECT,FIELD,notes,1,core,,노트는 향수에 들어간 향료를 뜻한다. 어느 단계인지 말하지 않았으므로 탑·미들·베이스를 구분하지 않고 전체를 가리킨다.,VERIFIED,,loanword,active,,FRAGRANTICA_SCHEMA,SCHEMA_MATCHED,PRODUCT_ATTRIBUTE
kr.term.longevity,지속력,지속력|지속|지속성|지속 시간,PERFORMANCE,STAGE1_DIRECT,FIELD,longevity,1,core,,"지속력은 향이 얼마나 오래 남는지다. Fragrantica 스키마의 longevity (1~5, 1이 약함)에 대응한다. ⚠ 현재 ERD 에는 이 값을 담을 컬럼이 확인되지 않았다.",VERIFIED,,standard,active,,FRAGRANTICA_SCHEMA,SCHEMA_MATCHED,PRODUCT_ATTRIBUTE
kr.term.sillage,발향,발향|확산력|실라지|실라주|퍼짐,PERFORMANCE,STAGE1_DIRECT,FIELD,sillage,1,core,,"발향은 향이 주변으로 얼마나 퍼지는지다. Fragrantica 스키마의 sillage (1~4, 1이 밀착)에 대응한다. ⚠ 현재 ERD 에는 이 값을 담을 컬럼이 확인되지 않았다.",VERIFIED,,standard,active,,FRAGRANTICA_SCHEMA,SCHEMA_MATCHED,PRODUCT_ATTRIBUTE
kr.term.residual,잔향,잔향|잔향이|남는 향|끝향|끝 향,PERFORMANCE,STAGE1_DIRECT,FIELD,longevity,1,core,"query_contains:오래,길게,긴,남는,좋은,강한",잔향을 '오래 남는다'는 뜻으로 쓸 때는 지속력을 말한다. Fragrantica 스키마의 longevity 에 대응한다.,VERIFIED,,standard,active,,FRAGRANTICA_SCHEMA,SCHEMA_MATCHED,PRODUCT_ATTRIBUTE
kr.term.residual,잔향,잔향|잔향이|남는 향|끝향|끝 향,PERFORMANCE,STAGE1_DIRECT,FIELD,notes.tiered.base,2,core,,잔향을 '어떤 향이 남는가'로 쓸 때는 베이스노트를 말한다. 기본 갈래로 둔다.,VERIFIED,,standard,active,,FRAGRANTICA_SCHEMA,SCHEMA_MATCHED,PRODUCT_ATTRIBUTE
kr.term.concentration,부향률,부향률|오드퍼퓸|오드뚜왈렛|EDP|EDT|오드 퍼퓸|오 드 퍼퓸|오드 뚜왈렛|오 드 뚜왈렛,PERFORMANCE,NO_MAPPING,,,1,,,부향률은 향료 농도다. SCHEMA.md 를 확인한 결과 dump 에 concentration 필드가 없어 검색 조건으로 쓸 수 없다. spec.md §6 의 미확인 항목과 같은 내용이다.,VERIFIED,,standard,active,,NO_MAPPING_DECISION,NOT_APPLICABLE,NOT_RELATED
kr.term.linear,리니어,리니어|리니어한|선형,PERFORMANCE,NO_MAPPING,,,1,,,리니어는 시간이 지나도 향이 거의 바뀌지 않는 전개 방식을 뜻한다. dump 에 향 전개를 담은 필드가 없어 검색 조건으로 쓸 수 없다.,VERIFIED,,loanword,active,,NO_MAPPING_DECISION,NOT_APPLICABLE,NOT_RELATED
kr.drift.musk,머스크,머스크|머스키|머스크향|화이트머스크|화이트 머스크,DIRECT_SCENT,STAGE2_BRIDGE,ACCORD,musky,1,core,,"한국어 '머스크'는 대개 화이트머스크, 즉 비누·세탁 느낌을 가리킨다. Fragrantica 의 musky 는 애니멀릭까지 포괄하므로 범위가 다르다. musky 를 단독으로 쓰면 코퍼스의 31.2% 가 걸리고 순위가 나오지 않으므로 반드시 soapy 와 함께 쓴다. [30] ai_summary 배수 2.19x·1위. 검색어가 accord 이름과 같아 순환이나, 이름 동일성 매핑이므로 배수 근거가 필요 없다",VERIFIED,41154.0,loanword,candidate,UQ0167,NAME_IDENTITY,NAME_IDENTITY_EXEMPT,ASSOCIATED_WITH
kr.drift.musk,머스크,머스크|머스키|머스크향|화이트머스크|화이트 머스크,DIRECT_SCENT,STAGE2_BRIDGE,ACCORD,soapy,2,core,,팀 문서의 청결감 축이 '비누 같은 / 세탁한 듯한 / 스킨 같은' 을 한 묶음으로 정리하고 있다. 한국어 화자가 머스크로 뜻하는 쪽이 이 묶음이다. [30] ai_summary 배수 2.15x. 해당군 653개 중 14개. 노트북 30의 최소 지지도 30에 걸려 표에서 빠졌으나 배수는 문턱을 넘는다,TEAM,1720.0,loanword,candidate,UQ0167,TEAM_DOC,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.drift.musk,머스크,머스크|머스키|머스크향|화이트머스크|화이트 머스크,DIRECT_SCENT,STAGE2_BRIDGE,ACCORD,fresh,3,optional,,비누·세탁 인상을 더 좁히기 위한 보조 후보다. 출처 없이 고른 것이므로 사람 검토가 필요하다. [30] ai_summary 배수 1.27x·8위. 문턱 1.4 미달이나 원래 optional 이므로 조치 없음 [39] N4 판정 '약함' (배수 1.27 · 8위). 승격도 강등도 하지 않는다 (판정 기준 2번-2),LLM,33478.0,loanword,candidate,UQ0167,LLM_PROPOSAL,BELOW_THRESHOLD,ASSOCIATED_WITH
kr.ctx.clean,깨끗한,깨끗한|깨끗하고|깨끗함|깔끔한|정갈한|단정한|clean|깔끔하고|깨끗하게|정갈하고|깨끗해|깔끔하게|깔끔해|정갈하게|정갈해|단정하게,SENSORY,STAGE2_BRIDGE,ACCORD,soapy,1,core,"query_contains:비누,세탁,빨래,샤워,침구,이불,스킨,뽀송",팀 문서의 청결감 축이 '깨끗한' 을 '비누 같은 / 세탁한 듯한 / 샤워한 듯한' 과 같은 묶음에 두고 있다. 쿼리에 비누·세탁 문맥이 있으면 이 갈래다. [30] ai_summary 배수 2.18x·1위로 지지됨.,TEAM,1720.0,standard,candidate,UQ0002|UQ0023|UQ0028|UQ0112|UQ0129|UQ0162|UQ0193,TEAM_DOC,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.ctx.clean,깨끗한,깨끗한|깨끗하고|깨끗함|깔끔한|정갈한|단정한|clean|깔끔하고|깨끗하게|정갈하고|깨끗해|깔끔하게|깔끔해|정갈하게|정갈해|단정하게,SENSORY,STAGE2_BRIDGE,ACCORD,fresh,2,core,"query_contains:비누,세탁,빨래,샤워,침구,이불,스킨,뽀송",soapy 를 단독으로 쓸 수 없으므로 짝이 되는 후보다. 출처 없이 고른 것이다. [30] ai_summary 배수 1.61x·5위로 지지됨. [39] N4 배수 1.61 · 5위로 지지. 사람 검토로 TEAM 승격 (판정 기준 2번-1),TEAM,33478.0,standard,candidate,UQ0002|UQ0023|UQ0028|UQ0112|UQ0129|UQ0162|UQ0193,TEAM_JUDGMENT,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.ctx.clean,깨끗한,깨끗한|깨끗하고|깨끗함|깔끔한|정갈한|단정한|clean|깔끔하고|깨끗하게|정갈하고|깨끗해|깔끔하게|깔끔해|정갈하게|정갈해|단정하게,SENSORY,STAGE2_BRIDGE,ACCORD,aquatic,1,core,"query_contains:물,바다,여름,공기,수영,워터,시원",팀 문서의 Water 계열에 '깨끗한 워터 계열' 절이 따로 있다. 쿼리에 물·바다·여름 문맥이 있으면 이 갈래다. [30] ai_summary 배수 1.77x·2위로 지지됨.,TEAM,8872.0,standard,candidate,UQ0002|UQ0023|UQ0028|UQ0112|UQ0129|UQ0162|UQ0193,TEAM_DOC,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.ctx.clean,깨끗한,깨끗한|깨끗하고|깨끗함|깔끔한|정갈한|단정한|clean|깔끔하고|깨끗하게|정갈하고|깨끗해|깔끔하게|깔끔해|정갈하게|정갈해|단정하게,SENSORY,STAGE2_BRIDGE,ACCORD,fresh,2,core,"query_contains:물,바다,여름,공기,수영,워터,시원",같은 절이 맑고 시원한 물 인상을 함께 묶고 있다. [30] ai_summary 배수 1.61x·5위로 지지됨.,TEAM,33478.0,standard,candidate,UQ0002|UQ0023|UQ0028|UQ0112|UQ0129|UQ0162|UQ0193,TEAM_DOC,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.scene.laundry,갓 세탁한,갓 세탁한|빨래향|세탁한|햇빛에 말려|햇빛에 말린,SOURCE,STAGE2_BRIDGE,ACCORD,soapy,1,core,,팀 문서의 생활 비유에 '햇빛에 바싹 말린 빨래' 가 있고 청결감 축에 '세탁한 듯한' 이 있다. 비누 계열이 이 인상의 중심이다. [30] ai_summary 배수 4.50x·1위로 지지됨. [39] 배수 4.50 · 1위로 문턱 1.4 통과,TEAM,1720.0,standard,candidate,,TEAM_DOC,CORPUS_SUPPORTED,EVOKES
kr.scene.laundry,갓 세탁한,갓 세탁한|빨래향|세탁한|햇빛에 말려|햇빛에 말린,SOURCE,STAGE2_BRIDGE,ACCORD,fresh,2,core,,같은 축이 '뽀송한' 을 함께 두고 있다. 마른 빨래의 가볍고 개운한 쪽이다. [30] ai_summary 배수 1.77x·5위(순환)로 지지됨. [39] 검색어가 accord 이름과 같아 신호로 읽지 않음,TEAM,33478.0,standard,candidate,,TEAM_DOC,CIRCULAR_UNTESTABLE,EVOKES
kr.sens.cozy,포근한,포근한|포근하고|포근함|폭닥한|폭신한|보드라운|보드라워,SENSORY,NO_MAPPING,ACCORD,powdery,1,optional,,"포근하다는 촉감 형용사가 후각으로 전이된 표현이다. 팀 문서의 질감 축이 '파우더리한 / 폭닥한' 을 같은 묶음에 두고 있고, 파우더리한 질감이 그 인상을 만든다. [30] ai_summary 배수 1.35x·14위. 통제군 최대 1.38 보다 낮다. 다만 cozy 향수 2,756개 중 68.2%가 보유하므로 틀린 것이 아니라 필수로 걸기엔 너무 넓다 → 필수에서 보조로 내렸다. [30] 필수 후보가 0개가 되어 spec §4.3 의 '단독 매핑 금지' 규칙을 충족하지 못한다. 근거가 더 생길 때까지 NO_MAPPING 으로 둔다.",TEAM,62885.0,standard,candidate,UQ0112,TEAM_DOC,BELOW_THRESHOLD,ASSOCIATED_WITH
kr.sens.cozy,포근한,포근한|포근하고|포근함|폭닥한|폭신한|보드라운|보드라워,SENSORY,NO_MAPPING,ACCORD,musky,2,optional,,팀 문서가 근거로 든 기사 [S29] 가 '머스크를 머금은 폭닥한 향수' 를 다룬다. 머스크가 파우더리한 인상을 감싸는 쪽이다. [30] ai_summary 배수 1.12x·21위. 통제군 수준. cozy 향수 중 보유 35.8% → 필수에서 보조로 내렸다. [30] 필수 후보가 0개가 되어 spec §4.3 의 '단독 매핑 금지' 규칙을 충족하지 못한다. 근거가 더 생길 때까지 NO_MAPPING 으로 둔다.,TEAM,41154.0,standard,candidate,UQ0112,TEAM_DOC,BELOW_THRESHOLD,ASSOCIATED_WITH
kr.sens.cozy,포근한,포근한|포근하고|포근함|폭닥한|폭신한|보드라운|보드라워,SENSORY,NO_MAPPING,ACCORD,vanilla,3,optional,,"팀 문서의 온도 축이 '따뜻한 / 포근한' 을 함께 둔다. 바닐라의 단맛이 따뜻한 쪽을 만든다. powdery + musky 만으로 순위를 매기면 5위 동점이 87개가 되는데, 바닐라를 점수에 더하면 9개로 줄어든다. 그래서 필수가 아니라 보조로 둔다. [30] ai_summary 배수 1.56x·10위. 유일하게 문턱을 넘었다. cozy 향수 중 55.1% 보유 [30] 필수 후보가 0개가 되어 spec §4.3 의 '단독 매핑 금지' 규칙을 충족하지 못한다. 근거가 더 생길 때까지 NO_MAPPING 으로 둔다.",TEAM,34562.0,standard,candidate,UQ0112,TEAM_DOC,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.scene.bedding,이불 냄새,이불 냄새|침구|침대|코튼 이불,SOURCE,STAGE2_BRIDGE,ACCORD,powdery,1,core,,팀 문서의 생활 비유에 '코튼 이불' 과 '깨끗한 침구' 가 있다. 보드라운 천의 인상이 파우더리한 질감으로 나타난다. [30] ai_summary 배수 1.57x·2위. [39] 배수 1.57 · 2위로 문턱 1.4 통과,TEAM,62885.0,standard,candidate,,TEAM_DOC,CORPUS_SUPPORTED,EVOKES
kr.scene.bedding,이불 냄새,이불 냄새|침구|침대|코튼 이불,SOURCE,STAGE2_BRIDGE,ACCORD,soapy,2,core,,'깨끗한 침구' 는 세탁된 상태를 말하므로 청결감 축의 비누 계열이 함께 걸린다. [30] ai_summary 배수 해당군 112개 중 2개. 2개로 계산한 배수는 의미가 없다. 지지도 반증도 아니다 → 판정하지 않는다. [39] 재계산(측정기록11) — 표본 부족 — 해당군 112개 중 보유 2개. 배수가 의미 없다. 측정 불가는 반증이 아니므로 강등하지 않는다,TEAM,1720.0,standard,candidate,,TEAM_DOC,INSUFFICIENT_SAMPLE,EVOKES
kr.scene.bedding,이불,이불|침구|이불 냄새|코튼 이불|침대,SOURCE,STAGE2_BRIDGE,ACCORD,musky,3,optional,,감싸는 인상을 더하기 위한 보조 후보다. 출처 없이 고른 것이다. [30] ai_summary 배수 1.45x. 재계산 결과 문턱을 넘는다. 원래 optional 이므로 조치 없음 [39] 배수 1.45 · 3위로 문턱 1.4 통과 [39] N4 판정 '약함' (배수 1.45 · 3위). 승격도 강등도 하지 않는다 (판정 기준 2번-2),LLM,41154.0,standard,candidate,,LLM_PROPOSAL,CORPUS_SUPPORTED,EVOKES
kr.scene.rainy_forest,비 오는 숲,비 오는 숲|비 온 뒤 숲|비 온 뒤의 숲|젖은 숲|숲 냄새|숲 속|비온 뒤 숲|비온 뒤의 숲|젖은숲,SCENE,STAGE2_BRIDGE,ACCORD,mossy,1,core,,팀 문서의 Mossy Woods 계열에 '숲 이미지 표현' 절이 있고 생활 비유에 '비 온 뒤 숲' 이 있다. 이끼가 젖은 숲 인상의 중심이다. [30] ai_summary 배수 3.63x·1위로 지지됨. [39] 배수 3.63 · 1위로 문턱 1.4 통과,TEAM,6173.0,standard,candidate,UQ0159,TEAM_DOC,CORPUS_SUPPORTED,EVOKES
kr.scene.rainy_forest,비 오는 숲,비 오는 숲|비 온 뒤 숲|비 온 뒤의 숲|젖은 숲|숲 냄새|숲 속|비온 뒤 숲|비온 뒤의 숲|젖은숲,SCENE,STAGE2_BRIDGE,ACCORD,earthy,2,core,,같은 계열의 습도 표현이 젖은 흙 쪽을 함께 둔다. 비 온 뒤의 땅 냄새다. [30] ai_summary 배수 3.04x·3위로 지지됨. [39] 배수 3.04 · 3위로 문턱 1.4 통과,TEAM,19049.0,standard,candidate,UQ0159,TEAM_DOC,CORPUS_SUPPORTED,EVOKES
kr.scene.rainy_forest,비 오는 숲,비 오는 숲|비 온 뒤 숲|비 온 뒤의 숲|젖은 숲|숲 냄새|숲 속|비온 뒤 숲|비온 뒤의 숲|젖은숲,SCENE,STAGE2_BRIDGE,ACCORD,green,3,optional,,잎과 풀의 초록 쪽을 더하는 보조 후보다. 출처 없이 고른 것이다. [30] ai_summary 배수 2.00x·5위로 지지됨. [39] 배수 2.00 · 5위로 문턱 1.4 통과 [39] N4 배수 2.00 · 5위로 지지. 사람 검토로 TEAM 승격 (판정 기준 2번-1),TEAM,29755.0,standard,candidate,UQ0159,TEAM_JUDGMENT,CORPUS_SUPPORTED,EVOKES
kr.sens.cold,차가운,차가운|차갑고|차가움|서늘한|쨍한|차가워,SENSORY,NO_MAPPING,ACCORD,ozonic,1,optional,,"팀 문서의 온도 축이 '차가운 / 서늘한' 을 같은 묶음에 두고, Water 계열에 '오존/메탈릭 워터' 절이 따로 있다. 찬 공기 인상이 오조닉이다. [30] ai_summary 배수 0.83x·41위. 전체보다 오히려 드물다 → 필수에서 보조로 내렸다. [30] 필수 후보가 0개가 되어 spec §4.3 의 '단독 매핑 금지' 규칙을 충족하지 못한다. 근거가 더 생길 때까지 NO_MAPPING 으로 둔다.",TEAM,5777.0,standard,candidate,UQ0064,TEAM_DOC,CORPUS_CONTRADICTED,ASSOCIATED_WITH
kr.sens.cold,차가운,차가운|차갑고|차가움|서늘한|쨍한|차가워,SENSORY,NO_MAPPING,ACCORD,fresh,2,optional,,같은 절이 맑고 시원한 쪽을 함께 묶는다. [30] ai_summary 배수 0.91x·33위. 전체보다 오히려 드물다 → 필수에서 보조로 내렸다. [30] 필수 후보가 0개가 되어 spec §4.3 의 '단독 매핑 금지' 규칙을 충족하지 못한다. 근거가 더 생길 때까지 NO_MAPPING 으로 둔다.,TEAM,33478.0,standard,candidate,UQ0064,TEAM_DOC,CORPUS_CONTRADICTED,ASSOCIATED_WITH
kr.sens.dewy,촉촉한,촉촉한|촉촉하고|촉촉함|물기 어린|물기|촉촉하게|촉촉해,SENSORY,STAGE2_BRIDGE,ACCORD,aquatic,1,core,,팀 문서의 습도 축이 '촉촉한 / 물기 어린' 을 같은 묶음에 둔다. 물기가 있는 인상이 아쿠아틱이다. [30] ai_summary 배수 3.30x·1위로 지지됨.,TEAM,8872.0,standard,candidate,,TEAM_DOC,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.sens.dewy,촉촉한,촉촉한|촉촉하고|촉촉함|물기 어린|물기|촉촉하게|촉촉해,SENSORY,STAGE2_BRIDGE,ACCORD,green,2,core,,같은 문서의 Green 계열에 '오이/워터리 그린' 절이 있다. 촉촉한 초록 쪽이다. [30] ai_summary 배수 2.12x·4위로 지지됨.,TEAM,29755.0,standard,candidate,,TEAM_DOC,CORPUS_SUPPORTED,ASSOCIATED_WITH
kr.scene.resort,휴양지,휴양지|리조트|해변|바닷가|여행지|남태평양,SCENE,STAGE2_BRIDGE,ACCORD,tropical,1,core,,팀 문서의 생활 비유에 '휴양지의 저녁' 이 있다. 열대 과일과 꽃의 인상이 트로피컬이다. [30] ai_summary 배수 5.74x·2위(순환)로 지지됨. [39] 검색어가 accord 이름과 같아 신호로 읽지 않음,TEAM,6512.0,standard,candidate,,TEAM_DOC,CIRCULAR_UNTESTABLE,EVOKES
kr.scene.resort,휴양지,휴양지|리조트|해변|바닷가|여행지|남태평양,SCENE,STAGE2_BRIDGE,ACCORD,coconut,2,core,,선탠오일과 코코넛의 휴양지 연상을 담은 보조 후보다. 출처 없이 고른 것이므로 사람 검토가 필요하다. [30] ai_summary 배수 5.76x·1위로 지지됨. [39] 배수 5.76 · 1위로 문턱 1.4 통과 [39] N4 배수 5.76 · 1위로 지지. 사람 검토로 TEAM 승격 (판정 기준 2번-1),TEAM,3269.0,standard,candidate,,TEAM_JUDGMENT,CORPUS_SUPPORTED,EVOKES
