note,perfume_count,occurrence_count,stage19_relation,note_type,candidate_term,canonical_term,parent_term,relation_type,confidence,evidence_count,evidence_sources,decision_reason,manual_review_required
Freesia,5683,5696,UNRESOLVED,UNRESOLVED_TYPE,,Freesia,,UNRESOLVED,LOW,2,IFRA | IFF,"The opened official catalogs did not provide a direct synonym, material-family definition, or evidence sufficient to classify the Freesia note type.",True
Moss,4302,4310,RELATED,OLFACTIVE_EFFECT_NOTE,Mossy,Moss,Mossy,RELATED,MEDIUM,2,IFRA | IFF,"IFF describes mossy as an olfactive facet of a marine ingredient. This supports an effect/descriptive relation, not identity with Moss or Oakmoss material.",True
Woodsy Notes,3240,3250,UNRESOLVED,UNRESOLVED_TYPE,Woody,Woodsy Notes,,UNRESOLVED,LOW,2,IFRA | IFF,"IFF uses Woody as an olfactive collection, but the opened official sources do not explicitly equate the dataset label Woodsy Notes with Woody.",True
Orchid,2814,2824,UNRESOLVED,UNRESOLVED_TYPE,,Orchid,,UNRESOLVED,LOW,2,IFRA | IFF,"No direct official synonym, natural-material family, or reconstructed-note definition was established from the opened allowed sources.",True
Cashmere Wood,2688,2691,UNRESOLVED,UNRESOLVED_TYPE,,Cashmere Wood,,UNRESOLVED,LOW,2,IFRA | IFF,The opened official sources do not state that Cashmere Wood is synonymous with Cashmeran or another specific ingredient; forced mapping is avoided.,True
White Flowers,2317,2323,UNRESOLVED,UNRESOLVED_TYPE,Floral,White Flowers,,UNRESOLVED,LOW,2,IFRA | IFF,"Official catalogs use Floral as a broad collection, but the opened sources do not establish an exact White Flowers category boundary or equivalence.",True
Sea Notes,2183,2193,RELATED,CATEGORY_NOTE,Marine,Sea Notes,Marine,RELATED,MEDIUM,2,IFRA | IFF,"IFF explicitly describes an ingredient as useful in marine and watery notes. This supports the Sea Notes category as related to Marine, without proving synonymy.",True
Praline,2164,2171,UNRESOLVED,UNRESOLVED_TYPE,,Praline,,UNRESOLVED,LOW,2,IFRA | IFF,"No opened official source directly established a synonym, ingredient family, or reconstructed-note definition for Praline.",True
Sugar,2094,2116,UNRESOLVED,UNRESOLVED_TYPE,,Sugar,,UNRESOLVED,LOW,2,IFRA | IFF,"No opened official source directly established a canonical perfumery synonym, ingredient family, or note-type classification for Sugar.",True
Vanille,2033,2037,UNRESOLVED,UNRESOLVED_TYPE,Vanilla,Vanille,,UNRESOLVED,LOW,2,IFRA | IFF,The allowed opened sources did not explicitly state Vanille as an official alternative naming of Vanilla; translation knowledge alone was not used.,True
Fig,1810,1846,UNRESOLVED,UNRESOLVED_TYPE,,Fig,,UNRESOLVED,LOW,2,IFRA | IFF,"The opened official sources did not establish whether the dataset note denotes fruit, leaf, natural material, or reconstruction; it remains unresolved.",True
Lotus,1771,1781,UNRESOLVED,UNRESOLVED_TYPE,,Lotus,,UNRESOLVED,LOW,2,IFRA | IFF,"No opened official source directly established the Lotus note's ingredient family, synonym, or reconstruction status.",True
Amberwood,1757,1761,UNRESOLVED,UNRESOLVED_TYPE,Amber | Woody,Amberwood,,UNRESOLVED,LOW,2,IFRA | IFF,"IFF separately recognizes Amber and Woody collections, but the opened sources do not define Amberwood as their official combined synonym or a single ingredient.",True
Suede,1733,1737,UNRESOLVED,UNRESOLVED_TYPE,Leather,Suede,,UNRESOLVED,LOW,2,IFRA | IFF,"IFF recognizes Leather as an olfactive collection, but no opened official source directly establishes Suede as its synonym, child category, or defined effect.",True
Litchi,1708,1712,UNRESOLVED,UNRESOLVED_TYPE,,Litchi,,UNRESOLVED,LOW,2,IFRA | IFF,"No opened allowed official source supplied a direct perfumery synonym, material-family definition, or note-type classification for Litchi.",True
