note,perfume_count,occurrence_count,candidate_term,relation_type,canonical_term,parent_term,confidence,evidence_count,evidence_sources,decision_reason,manual_review_required
Mandarin Orange,11646,11652,,UNRESOLVED,Mandarin Orange,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
Orange Blossom,11479,11545,,UNRESOLVED,Orange Blossom,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
Leather,10626,10754,Leathery,RELATED,Leather,Leathery,MEDIUM,1,IFRA,"RELATED_DESCRIPTOR_ONLY: IFRA contains a closely related descriptor, but official equivalence to the note concept is not explicit.",True
Pink Pepper,10387,10395,,UNRESOLVED,Pink Pepper,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
Lily-of-the-Valley,7339,7366,,UNRESOLVED,Lily-of-the-Valley,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
Freesia,5683,5696,,UNRESOLVED,Freesia,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
Black Pepper,4795,4807,,UNRESOLVED,Black Pepper,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
Mint,4605,4627,,UNRESOLVED,Mint,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
Moss,4302,4310,Mossy,RELATED,Moss,Mossy,MEDIUM,1,IFRA,"RELATED_DESCRIPTOR_ONLY: IFRA contains a closely related descriptor, but official equivalence to the note concept is not explicit.",True
Woodsy Notes,3240,3250,,UNRESOLVED,Woodsy Notes,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
Lily of the Valley,3105,3118,,UNRESOLVED,Lily of the Valley,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
Ambroxan,3051,3062,,UNRESOLVED,Ambroxan,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
Orchid,2814,2824,,UNRESOLVED,Orchid,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
