query_id,query_text,baseline_exact,extended_exact,change_type,baseline_scent_correct,extended_scent_correct,scent_change,baseline_gender_correct,extended_gender_correct,gender_change,baseline_intensity_correct,extended_intensity_correct,intensity_change,baseline_longevity_correct,extended_longevity_correct,longevity_change,baseline_avoid_correct,extended_avoid_correct,avoid_change
UQ0001,비가 온 뒤의 숲같은 향을 찾고 있어,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0002,시트러스 계열의 깔끔한 향의 향수가 있어?,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0003,향수 가격 적당한 거 추천해줘. 그냥 구색 갖추려고 사는 거야.,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0004,"여성스러운 향을 사고 싶은데, 너무 달콤한 건 싫어. 그런 향기가 있을까?",False,False,STILL_WRONG,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,False,SAME_WRONG
UQ0005,난 바닐라 향기가 좋은데. 너무 단 건 싫어.,False,True,FIXED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,True,IMPROVED
UQ0006,바다 냄새 나는 향수가 있나? 가능함?,False,False,STILL_WRONG,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0007,30대 초반 남자가 쓰기 좋은 향수 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0008,레몬 말고. 레몬 껍질 냄새나는 향수 있음?,False,False,STILL_WRONG,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,False,REGRESSED
UQ0009,"중성적인 향수 뿌리고 싶어. 너무 여성스럽지 않되, 너무 남자 향수도 아니었으면 좋겠다.",False,False,STILL_WRONG,True,True,SAME_CORRECT,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0010,"케이크 같으면서도, 너무 느끼하지 않고, 딱 맡았을 때 공주처럼 느껴지는 향수 그런 거 없음?",False,False,STILL_WRONG,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,False,SAME_WRONG
UQ0011,나무 냄새 나는데 너무 절 냄새만 나면 안됨,False,False,STILL_WRONG,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,False,SAME_WRONG
UQ0012,깨끗한 냄새 없나?,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0013,코코넛 향기 나는데 머리 너무 안 아팠으면 좋겠음,False,False,STILL_WRONG,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0014,나 향수를 잘 모르는데 혹시 추천해줄 수 있어?,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0015,여름에 뿌릴 향수 추천 좀.,True,True,STILL_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0016,여름에 뿌릴 향수 가지고 싶은데 향기 너무 많이 나면 코 아파서... 안 그런거 추천 가능한가?,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,False,SAME_WRONG
UQ0017,어른스러운 느낌 나는 향수 가지고 싶다. 나는 34살 금융맨임.,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0018,여자친구가 생겼는데 여친한테 점수 딸만한 향기 없나...?,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,False,REGRESSED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0019,옷에 향수 뿌리고 싶어. 아무거나 추천 해줘.,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0020,향수 분사 적당히 되는 거 없나? 입자가 너무 작은 건 싫은데.,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,False,SAME_WRONG
UQ0021,"나는 이솝 테싯 퍼퓸을 자주 쓰는데, 이게 내 체향에 잘 맞는 거 같더라고. 비슷한데 다른 향 없나?",False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0022,나 조말론 블랙베리는 별로더라... 이런 나한테 추천해줄 만한 향수 없나,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,False,SAME_WRONG
UQ0023,남자가 뿌릴 깔끔한 향수 추천 좀.,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0024,나 25살 여잔데 이번에 회사 취직해서 나한테 선물할 겸 하나 사고 싶음! 어떤 게 좋을까???,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0025,소개팅할 때 부담스럽지 않으면서 좋은 인상을 줄 수 있는 향수 추천해줘.,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,False,SAME_WRONG
UQ0026,조용하고 차분한 사람에게 잘 어울릴 것 같은 향수를 추천해줘.,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0027,지나갈 때 은은하게 좋은 냄새가 나는 정도의 향수를 찾고 있어.,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,False,REGRESSED,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0028,회사에서 매일 사용해도 부담 없는 깔끔한 향수 추천해줘.,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0029,처음 향수를 사는 사람도 무난하게 사용할 수 있는 향수를 추천해줘.,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0030,사람 많은 곳에서도 너무 강하게 느껴지지 않는 은은한 향수를 추천해줘.,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,True,IMPROVED,True,True,SAME_CORRECT,False,False,SAME_WRONG
UQ0031,특별히 원하는 향은 모르겠는데 사람들이 맡았을 때 그냥 ‘좋은 냄새 난다’고 느낄 만한 향수를 추천해줘.,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0032,향수 냄새가 강하면 머리가 아파서 최대한 부드럽고 편안한 향을 찾고 있어.,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,False,SAME_WRONG
UQ0033,내가 20대 후반인데 너무 어려 보이지 않으면서 세련된 향수를 찾고 있어.,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,False,SAME_WRONG
UQ0034,너무 향수 뿌린 티 안나는 걸로 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0035,나한테 무슨 향이 어울리는지 모르겠음 그냥 골라줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0036,면접 갈 때 향수 뿌려도 됨? 뿌린다면 뭐가 좋아,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0037,남자친구한테서 났으면 하는 향 찾아줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,False,REGRESSED,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0038,향수 하나만 사서 사계절 내내 쓰고 싶은데 가능?,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0039,출근할때 매일 막 뿌릴 수 있는거,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
UQ0040,담배 피우는데 담배냄새랑 섞여도 이상하지 않은 향수 있을까,False,False,STILL_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,False,REGRESSED
UQ0041,여자 향수인데 남자가 써도 안 이상한거 추천해줘,False,False,STILL_WRONG,True,True,SAME_CORRECT,False,False,SAME_WRONG,True,True,SAME_CORRECT,True,True,SAME_CORRECT,True,True,SAME_CORRECT
