query_id,query_text,source,split_status,raw_response,parsed,status,error,attempts,prompt_tokens,completion_tokens,latency_seconds,model_name,prompt_sha256,run_timestamp
SQ0001,내가 원하는 무드는 차분하고 댄디한 느낌을 원함. 이런 내 스타일에 맞춰서 향수를 추천해줘. 향이 오래갔으면 좋겠음,survey_2026_08,UNASSIGNED,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": ""HIGH""
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""mood: 차분하고 댄디한 느낌"",
    ""향이 오래가길 원함""
  ]
}","{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": ""HIGH""}, ""avoid"": [], ""additional_requirements"": [""mood: 차분하고 댄디한 느낌"", ""향이 오래가길 원함""]}",ok,,1,640,96,1.707,gpt-5.4-nano,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T12:59:33.927255+00:00
SQ0002,시트러스 향처럼 시원하고 깔끔한 향,survey_2026_08,UNASSIGNED,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""시트러스 향처럼 시원하고 깔끔한 향""
  ]
}","{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""시트러스 향처럼 시원하고 깔끔한 향""]}",ok,,1,613,85,1.258,gpt-5.4-nano,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T12:59:35.185591+00:00
SQ0003,향이 별로 안강했으면 좋겠어. 향에 민감해서 다른 향수 냄새를 맡으면 두통이 와. 그리고 자연스러운 향이 났으면 좋겠어. 너무 꾸민 티가 안나게. 그리고 가격대도 취준생 입장에서 부담스럽지 않아야해.,survey_2026_08,UNASSIGNED,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""향이 별로 안 강했으면 좋겠음"",
    ""향에 민감해서 다른 향수 냄새를 맡으면 두통이 옴"",
    ""자연스러운 향이었으면 좋겠음"",
    ""너무 꾸민 티가 안 나게"",
    ""취준생 입장에서 부담스럽지 않은 가격대""
  ]
}","{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""향이 별로 안 강했으면 좋겠음"", ""향에 민감해서 다른 향수 냄새를 맡으면 두통이 옴"", ""자연스러운 향이었으면 좋겠음"", ""너무 꾸민 티가 안 나게"", ""취준생 입장에서 부담스럽지 않은 가격대""]}",ok,,1,669,145,1.925,gpt-5.4-nano,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T12:59:37.110274+00:00
SQ0004,나에게 어울리는 향수를 추천해줘 나는 자연 스럽고 산뜻한 느낌을 원해,survey_2026_08,UNASSIGNED,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [""자연스럽고"", ""산뜻한 느낌""]
}","{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""자연스럽고"", ""산뜻한 느낌""]}",ok,,1,622,78,1.565,gpt-5.4-nano,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T12:59:38.675701+00:00
SQ0005,운동하고 뿌리면 좋은 비싸지 않은 남자 향수 추천해줘.,survey_2026_08,UNASSIGNED,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": [""male""]
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [""운동하고 뿌리기 좋음"", ""비싸지 않은"", ""남자 향수""]
}","{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": [""male""]}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""운동하고 뿌리기 좋음"", ""비싸지 않은"", ""남자 향수""]}",ok,,1,621,92,1.968,gpt-5.4-nano,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T12:59:40.643775+00:00
SQ0006,남성이 쓸만한 여름에 어울리면서도 시트러스 향이 강한 향수를 추천해주세요. 은은한 향이면서도 지속력이 6시간 이상이었으면 좋겠어요.,survey_2026_08,UNASSIGNED,"{
  ""scent_preference"": [
    ""citrus""
  ],
  ""context"": {
    ""season"": [
      ""summer""
    ],
    ""daypart"": [],
    ""gender"": [
      ""male""
    ]
  },
  ""performance"": {
    ""intensity"": ""LOW"",
    ""longevity"": ""MEDIUM""
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""시트러스 향이 강한 향수"",
    ""지속력이 6시간 이상""
  ]
}","{""scent_preference"": [""citrus""], ""context"": {""season"": [""summer""], ""daypart"": [], ""gender"": [""male""]}, ""performance"": {""intensity"": ""LOW"", ""longevity"": ""MEDIUM""}, ""avoid"": [], ""additional_requirements"": [""시트러스 향이 강한 향수"", ""지속력이 6시간 이상""]}",ok,,1,646,116,1.573,gpt-5.4-nano,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T12:59:42.217656+00:00
SQ0007,"계절별로 향수를 추천해주세요. 여름에는 시트러스 계열의 향수 제품을 추천해주고, 봄, 가을에는 화이트 머스크 계열의 향수 제품, 겨울에는 우디 계열의 향수 제품을 추천해주세요.",survey_2026_08,UNASSIGNED,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [""spring"", ""summer"", ""autumn"", ""winter""],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [""summer: citrus"", ""spring: white musk"", ""autumn: white musk"", ""winter: woody""]
}","{""scent_preference"": [], ""context"": {""season"": [""spring"", ""summer"", ""autumn"", ""winter""], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""summer: citrus"", ""spring: white musk"", ""autumn: white musk"", ""winter: woody""]}",ok,,1,659,101,1.473,gpt-5.4-nano,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T12:59:43.690865+00:00
SQ0008,여름에 사용할건데 시트러스 계열인데 지속성이 발향력이 좋은 녀석을 찾고있어. 내 성별은 남성이고 남성 스킨향이 조금 덜 났으면 좋겠어. 그리고 가격대는 30만원 이하로 추천해줘.,survey_2026_08,UNASSIGNED,"{
  ""scent_preference"": [
    ""citrus""
  ],
  ""context"": {
    ""season"": [
      ""summer""
    ],
    ""daypart"": [],
    ""gender"": [
      ""male""
    ]
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": ""HIGH""
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""지속성이 발향력이 좋았으면 함"",
    ""남성 스킨향이 조금 덜한 느낌을 선호"",
    ""30만원 이하 가격대""
  ]
}","{""scent_preference"": [""citrus""], ""context"": {""season"": [""summer""], ""daypart"": [], ""gender"": [""male""]}, ""performance"": {""intensity"": """", ""longevity"": ""HIGH""}, ""avoid"": [], ""additional_requirements"": [""지속성이 발향력이 좋았으면 함"", ""남성 스킨향이 조금 덜한 느낌을 선호"", ""30만원 이하 가격대""]}",ok,,1,663,129,1.416,gpt-5.4-nano,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T12:59:45.106937+00:00
SQ0009,진한 꽃 냄새가 아닌 달달하고 은은한 향 / 편안하고 생기 넘치는 향,survey_2026_08,UNASSIGNED,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [
    ""진한 꽃 냄새""
  ],
  ""additional_requirements"": [
    ""달달하고 은은한 향"",
    ""편안하고 생기 넘치는 향""
  ]
}","{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""진한 꽃 냄새""], ""additional_requirements"": [""달달하고 은은한 향"", ""편안하고 생기 넘치는 향""]}",ok,,1,624,101,1.392,gpt-5.4-nano,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T12:59:46.498916+00:00
SQ0010,바디워시느낌이 나는 향수를 추천해주세요,survey_2026_08,UNASSIGNED,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [""바디워시 느낌의 향""]
}","{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""바디워시 느낌의 향""]}",ok,,1,612,75,1.279,gpt-5.4-nano,4f0a368d98b413384935d4bb54d36d19b60895904d16733d526a1a82737cc493,2026-09-12T12:59:47.778061+00:00
