term,term_type,canonical_term,relation_type,parent_term,iframapped_term,decision,confidence,evidence_count,notes,version
Woody Notes,NOTE,Woody,SAME_CONCEPT,,Woody,CONFIRMED_CANONICALIZATION,HIGH,2,Category-label wording only; no ingredient identity implied.,v0.1
Green Notes,NOTE,Green,SAME_CONCEPT,,Green,CONFIRMED_CANONICALIZATION,HIGH,2,Category-label wording only; no ingredient identity implied.,v0.1
Floral Notes,NOTE,Floral,SAME_CONCEPT,,Floral,CONFIRMED_CANONICALIZATION,HIGH,2,Category-label wording only; no ingredient identity implied.,v0.1
Citruses,NOTE,Citrus,SAME_CONCEPT,,Citrus,CONFIRMED_CANONICALIZATION,HIGH,2,Plural category label canonicalized to IFRA Citrus.,v0.1
Black Currant,NOTE,Blackcurrant,SAME_CONCEPT,,Blackcurrant,CONFIRMED_CANONICALIZATION,HIGH,3,Blackcurrant/Cassis evidence does not identify the Note with one natural material.,v0.1
White Musk,NOTE,White Musk,FAMILY,Musk-Like,Musk-Like,KEEP_SEPARATE_FAMILY_LINK,MEDIUM,2,Specific soft/powdery musk profile; manual review retained.,v0.1
Oud,NOTE,Agarwood,SAME_CONCEPT,,Agarwood principal-name family,CONFIRMED_CANONICALIZATION,HIGH,2,Canonical term only; not mapped to one oil/extract variant.,v0.1
Cedar,NOTE,Cedar,FAMILY,Woody,Cedarwood,KEEP_SEPARATE_FAMILY_LINK,MEDIUM,4,Broad note linked to multiple cedarwood materials/species; manual review retained.,v0.1
Musk,NOTE,Musk-Like,SAME_CONCEPT,,Musk-Like,CONFIRMED_CANONICALIZATION,HIGH,2,OFFICIAL_CATEGORY_EQUIVALENCE: official evidence supports a canonical term-level equivalence.,v0.2
Jasmine,NOTE,Jasmine,FAMILY,,Jasmine absolute | Jasmine CO2 extract | Jasmine concrete | Jasmine concrete (waxes twice extracted) | Jasmine oil,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Tonka Bean,NOTE,Tonka Bean,FAMILY,,Tonka bean absolute | Tonka bean extract | Tonka bean resinoid | Tonka bean tincture,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Mandarin Orange,NOTE,Mandarin Orange,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Orange Blossom,NOTE,Orange Blossom,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Leather,NOTE,Leather,RELATED,Leathery,Leathery,RELATED_DESCRIPTOR,MEDIUM,1,"RELATED_DESCRIPTOR_ONLY: IFRA contains a closely related descriptor, but official equivalence to the note concept is not explicit.",v0.2
Cardamom,NOTE,Cardamom,FAMILY,,Cardamom seed absolute | Cardamom seed CO2 extract | Cardamom seed distillate | Cardamom seed extract | Cardamom seed oil,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"STAGE17_MATERIAL_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Pink Pepper,NOTE,Pink Pepper,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Oakmoss,NOTE,Oakmoss,FAMILY,,Oakmoss absolute | Oakmoss absolute (low atranol & chloratranol) | Oakmoss extract,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Lily-of-the-Valley,NOTE,Lily-of-the-Valley,UNRESOLVED,,,UNRESOLVED_OFFICIAL_EVIDENCE,LOW,1,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",v0.2
Ylang-Ylang,NOTE,Ylang-Ylang,FAMILY,,"Ylang ylang absolute | Ylang ylang oil | Ylang ylang oil (low para cresol methylether) | Ylang ylang oil extra | Ylang ylang oil I | Ylang ylang oil II | Ylang ylang oil III | Ylang ylang oil, rectified",MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
Ambergris,NOTE,Ambergris,FAMILY,,Ambergris tincture,MATERIAL_FAMILY_CANDIDATE,MEDIUM,1,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",v0.2
