perfume_id,sentence_no,sentence
80467,1,나무 향이 진하고 허브처럼 향긋했으면 좋겠어. 바닷바람 같은 시원함과 젖은 흙 느낌도 있으면 해.
80467,2,숲과 바다가 같이 떠오르는 향을 찾고 있어. 나무 냄새가 중심이고 촉촉한 흙내음도 은근히 나면 좋겠어.
80467,3,차분한 나무 향에 시원한 바다 공기 느낌이 있었으면 해. 풀과 흙 같은 자연스러운 향도 같이 원해.
54381,1,향긋한 라벤더 향이 진하고 달콤한 바닐라가 부드럽게 느껴졌으면 좋겠어. 따뜻한 향신료 느낌도 원해.
54381,2,편안한 꽃 향과 포근한 단향이 같이 났으면 좋겠어. 살짝 매콤하고 따뜻해서 가을에 잘 어울리면 해.
54381,3,차분한 라벤더에 바닐라 같은 달콤함이 섞인 향을 찾고 있어. 너무 달지 않게 은은한 매콤함도 있으면 해.
58907,1,레몬처럼 상큼하고 초록 잎 냄새가 진했으면 좋겠어. 하얀 꽃 향도 풍성하게 느껴지면 해.
58907,2,갓 자른 풀과 감귤이 같이 떠오르는 산뜻한 향을 원해. 화사한 흰 꽃 향이 뒤에 이어졌으면 좋겠어.
58907,3,싱그러운 초록빛 느낌이 강하고 상큼했으면 좋겠어. 꽃 향이 깨끗하게 나면서 나무 냄새도 살짝 원해.
66933,1,달콤한 과일 향이 진하고 하얀 꽃 향도 풍성했으면 좋겠어. 나무 향이 살짝 받쳐주면 좋아.
66933,2,과일 사탕처럼 달달하지만 꽃향도 확실히 느껴졌으면 해. 끝에는 은은한 나무 냄새가 남으면 좋겠어.
66933,3,잘 익은 과일과 화사한 꽃을 함께 떠올리게 하는 향이면 좋겠어. 상큼함도 조금 있어서 답답하지 않았으면 해.
28,1,따뜻하게 매콤한 향이 강하고 잘 익은 과일처럼 달콤했으면 좋겠어. 나무 향도 묵직하게 받쳐주면 해.
28,2,가을겨울에 쓸 향으로 향신료 느낌이 진했으면 좋겠어. 과일의 단맛과 따뜻한 나무 냄새도 같이 원해.
28,3,달콤한 과일에 따뜻한 향신료를 더한 듯한 향을 찾고 있어. 깊은 나무 향까지 느껴지면 좋겠어.
8700,1,레몬처럼 상큼하고 톡 쏘는 알싸함이 강했으면 좋겠어. 허브와 초록 잎 냄새도 같이 느껴지면 해.
8700,2,시원한 감귤 향과 향신료 같은 상쾌함이 있는 향을 원해. 풋풋한 풀 향도 은근히 났으면 좋겠어.
8700,3,더운 날 쓰기 좋은 산뜻한 향이면 좋겠어. 새콤한 과일 향이 중심이고 약초 같은 향긋함도 조금 원해.
11560,1,고소한 아몬드 향이 진하고 바닐라처럼 부드럽고 달콤했으면 좋겠어. 보송한 분냄새도 함께 원해.
11560,2,아몬드 과자와 바닐라 크림이 떠오르는 향을 찾고 있어. 포근한 분 향과 은은한 꽃향도 있으면 해.
11560,3,달콤하고 고소한 향이 중심이면 좋겠어. 바닐라가 풍성하고 화장품 분처럼 부드럽게 마무리됐으면 해.
38345,1,하얀 꽃 향이 진하고 레몬 같은 상큼함도 있었으면 좋겠어. 달콤하면서 피부에 남는 포근한 느낌도 원해.
38345,2,풍성한 흰 꽃 향에 감귤의 산뜻함이 섞였으면 좋겠어. 너무 깨끗하기만 하지 않고 살냄새도 조금 나면 해.
38345,3,화사한 꽃다발 같은 향을 찾고 있어. 새콤한 과일 향이 나고 은근히 따뜻한 체취 느낌도 있으면 좋겠어.
19,1,나무와 허브 향이 진하면서 레몬처럼 상큼했으면 좋겠어. 초록 잎과 톡 쏘는 향신료 느낌도 원해.
19,2,숲속 허브 정원을 걷는 듯한 향을 찾고 있어. 나무와 풀 냄새가 풍성하고 감귤 향도 선명하면 좋겠어.
19,3,자연스럽고 상쾌한 향이면 좋겠어. 마른 나무와 초록 잎 향이 강하고 살짝 알싸한 느낌도 있었으면 해.
53613,1,꽃향이 풍성하고 장미와 하얀 꽃이 같이 느껴졌으면 좋겠어. 레몬 같은 상큼함도 있어서 산뜻하면 해.
53613,2,생화 꽃다발처럼 화사한 향을 찾고 있어. 장미 향이 선명하고 감귤처럼 밝고 시원한 느낌도 원해.
53613,3,여러 꽃이 섞인 향이 중심인데 무겁지 않았으면 좋겠어. 상큼한 과일 향과 깨끗한 느낌도 함께 있으면 해.
78755,1,열대 과일 향이 진하고 코코넛처럼 달콤하고 부드러웠으면 좋겠어. 휴양지 같은 밝은 분위기도 원해.
78755,2,망고나 파인애플 같은 달콤한 과일 향을 찾고 있어. 코코넛 느낌이 풍성하고 꽃향도 살짝 있으면 좋겠어.
