step,system,field,positive_micro_f1,eligible,overall_exact_match
L0 baseline,rule,avoid,0.0,36,0.015
L0 baseline,rule,additional,0.0,170,0.015
L0 baseline,rule,scent,0.45901639344262296,39,0.015
L0 baseline,extended_rule,avoid,0.13793103448275865,36,0.045
L0 baseline,extended_rule,additional,0.0,170,0.045
L0 baseline,extended_rule,scent,0.53125,39,0.045
L0 baseline,llm,avoid,0.0,36,0.06
L0 baseline,llm,additional,0.12359550561797752,170,0.06
L0 baseline,llm,scent,0.6419753086419753,39,0.06
L1 +punct,rule,avoid,0.0,36,0.015
L1 +punct,rule,additional,0.0,170,0.015
L1 +punct,rule,scent,0.45901639344262296,39,0.015
L1 +punct,extended_rule,avoid,0.13793103448275865,36,0.045
L1 +punct,extended_rule,additional,0.0,170,0.045
L1 +punct,extended_rule,scent,0.53125,39,0.045
L1 +punct,llm,avoid,0.0,36,0.06
L1 +punct,llm,additional,0.12359550561797752,170,0.06
L1 +punct,llm,scent,0.6419753086419753,39,0.06
L2 +alias:LEXICON_11,rule,avoid,0.0,36,0.015
L2 +alias:LEXICON_11,rule,additional,0.0,170,0.015
L2 +alias:LEXICON_11,rule,scent,0.45901639344262296,39,0.015
L2 +alias:LEXICON_11,extended_rule,avoid,0.20689655172413793,36,0.045
L2 +alias:LEXICON_11,extended_rule,additional,0.0,170,0.045
L2 +alias:LEXICON_11,extended_rule,scent,0.53125,39,0.045
L2 +alias:LEXICON_11,llm,avoid,0.11594202898550725,36,0.065
L2 +alias:LEXICON_11,llm,additional,0.12359550561797752,170,0.065
L2 +alias:LEXICON_11,llm,scent,0.6419753086419753,39,0.065
L2 +alias:LEXICON_14,rule,avoid,0.0,36,0.015
L2 +alias:LEXICON_14,rule,additional,0.0,170,0.015
L2 +alias:LEXICON_14,rule,scent,0.45901639344262296,39,0.015
L2 +alias:LEXICON_14,extended_rule,avoid,0.20689655172413793,36,0.045
L2 +alias:LEXICON_14,extended_rule,additional,0.0,170,0.045
L2 +alias:LEXICON_14,extended_rule,scent,0.53125,39,0.045
L2 +alias:LEXICON_14,llm,avoid,0.11594202898550725,36,0.065
L2 +alias:LEXICON_14,llm,additional,0.12359550561797752,170,0.065
L2 +alias:LEXICON_14,llm,scent,0.6419753086419753,39,0.065
L2 +alias:LOANWORD,rule,avoid,0.0,36,0.015
L2 +alias:LOANWORD,rule,additional,0.0,170,0.015
L2 +alias:LOANWORD,rule,scent,0.45901639344262296,39,0.015
L2 +alias:LOANWORD,extended_rule,avoid,0.20689655172413793,36,0.045
L2 +alias:LOANWORD,extended_rule,additional,0.0,170,0.045
L2 +alias:LOANWORD,extended_rule,scent,0.53125,39,0.045
L2 +alias:LOANWORD,llm,avoid,0.2318840579710145,36,0.065
L2 +alias:LOANWORD,llm,additional,0.12359550561797752,170,0.065
L2 +alias:LOANWORD,llm,scent,0.6419753086419753,39,0.065
L2 +alias:TRANSLATION,rule,avoid,0.0,36,0.015
L2 +alias:TRANSLATION,rule,additional,0.0,170,0.015
L2 +alias:TRANSLATION,rule,scent,0.45901639344262296,39,0.015
L2 +alias:TRANSLATION,extended_rule,avoid,0.20689655172413793,36,0.045
L2 +alias:TRANSLATION,extended_rule,additional,0.0,170,0.045
L2 +alias:TRANSLATION,extended_rule,scent,0.53125,39,0.045
L2 +alias:TRANSLATION,llm,avoid,0.2608695652173913,36,0.065
L2 +alias:TRANSLATION,llm,additional,0.12359550561797752,170,0.065
L2 +alias:TRANSLATION,llm,scent,0.6419753086419753,39,0.065
L2 +alias:SENSORY,rule,avoid,0.0,36,0.015
L2 +alias:SENSORY,rule,additional,0.0,170,0.015
L2 +alias:SENSORY,rule,scent,0.45901639344262296,39,0.015
L2 +alias:SENSORY,extended_rule,avoid,0.20689655172413793,36,0.045
L2 +alias:SENSORY,extended_rule,additional,0.0,170,0.045
L2 +alias:SENSORY,extended_rule,scent,0.53125,39,0.045
L2 +alias:SENSORY,llm,avoid,0.3188405797101449,36,0.065
L2 +alias:SENSORY,llm,additional,0.12359550561797752,170,0.065
L2 +alias:SENSORY,llm,scent,0.6419753086419753,39,0.065
L3 +suffix,rule,avoid,0.0,36,0.015
L3 +suffix,rule,additional,0.0,170,0.015
L3 +suffix,rule,scent,0.45901639344262296,39,0.015
L3 +suffix,extended_rule,avoid,0.24137931034482757,36,0.045
L3 +suffix,extended_rule,additional,0.0,170,0.045
L3 +suffix,extended_rule,scent,0.53125,39,0.045
L3 +suffix,llm,avoid,0.4347826086956522,36,0.095
L3 +suffix,llm,additional,0.18352059925093633,170,0.095
L3 +suffix,llm,scent,0.6419753086419753,39,0.095
L4 +contain,rule,avoid,0.0,36,0.015
L4 +contain,rule,additional,0.0,170,0.015
L4 +contain,rule,scent,0.45901639344262296,39,0.015
L4 +contain,extended_rule,avoid,0.3103448275862069,36,0.05
L4 +contain,extended_rule,additional,0.0,170,0.05
L4 +contain,extended_rule,scent,0.53125,39,0.05
L4 +contain,llm,avoid,0.4927536231884058,36,0.155
L4 +contain,llm,additional,0.3370786516853933,170,0.155
L4 +contain,llm,scent,0.7160493827160495,39,0.155
