query_id,글자 수,scent,additional,season,daypart,gender,intensity,longevity,원인,판정,유형
SQ0001,64,0,2,0,0,0,0,1,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,개인화|분위기·인상|향 묘사
SQ0003,111,0,5,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,가격|건강·민감|향 묘사
SQ0004,38,0,2,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,개인화|분위기·인상|향 묘사
SQ0005,30,0,3,0,0,1,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,가격|장면·상황|성별·나이|향 묘사
SQ0010,21,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,분위기·인상|향 묘사
SQ0012,31,0,2,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,분위기·인상|향 묘사
SQ0013,65,2,2,0,0,0,0,0,scent 는 뽑았으나 accord 로 안 바뀜,번역 가능 — 향을 묘사했다,향 묘사
SQ0015,10,0,1,1,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0017,66,0,2,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0018,41,0,1,0,0,1,1,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,분위기·인상|향 묘사
SQ0022,43,0,2,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,가격|분위기·인상|향 묘사
SQ0024,600,0,2,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,장면·상황|향 묘사
SQ0025,31,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0026,68,0,2,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,성별·나이|분위기·인상|향 묘사
SQ0027,67,0,3,0,1,1,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,장면·상황|성별·나이|향 묘사
SQ0028,31,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0029,14,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0031,23,0,0,0,0,0,1,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0036,2,0,0,0,0,0,0,0,scent 를 아예 못 뽑음,미분류,
SQ0037,75,0,4,1,0,1,0,1,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,가격|제품 특성|성별·나이|분위기·인상|향 묘사
SQ0039,21,0,3,0,0,1,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,성별·나이|향 묘사
SQ0041,42,0,4,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,분위기·인상|향 묘사
SQ0044,41,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,분위기·인상
SQ0045,66,0,4,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0048,29,0,3,1,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0049,19,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,분위기·인상|향 묘사
SQ0054,1,0,0,0,0,0,0,0,scent 를 아예 못 뽑음,미분류,
SQ0060,37,0,2,1,0,1,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,가격|성별·나이|향 묘사
SQ0062,90,0,6,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0063,1,0,0,0,0,0,0,0,scent 를 아예 못 뽑음,미분류,
SQ0065,22,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,분위기·인상|향 묘사
SQ0066,267,0,7,0,1,1,1,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,가격|성별·나이|분위기·인상|향 묘사
SQ0069,49,0,2,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,분위기·인상|향 묘사
SQ0074,151,0,6,0,0,0,1,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,가격|향 묘사
SQ0075,8,0,0,0,0,0,0,0,scent 를 아예 못 뽑음,미분류,
SQ0080,1,0,1,0,0,0,0,0,scent 를 아예 못 뽑음,미분류,
SQ0083,37,0,3,0,0,0,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,향 묘사
SQ0086,116,0,4,0,0,1,0,0,scent 를 아예 못 뽑음,번역 가능 — 향을 묘사했다,성별·나이|향 묘사
