accord,perfume_share,perfume_count,ifra_term,ifra_level,proposed_family,proposed_family_ko,family_basis,rationale,review_required,alt_families,review_reason,human_decision,human_family,human_note
woody,0.6172,81432,Woody,PRIMARY,WOODY,우디,WHEEL,IFRA PRIMARY Woody 정확 일치. 휠 Woods 직결,False,,,,,
powdery,0.4767,62885,Powdery,PRIMARY,MUSK,머스크·파우더리,IFRA,IFRA PRIMARY Powdery. 휠에는 없는 축,True,FLORAL,보유율 47.7% 로 배경에 가깝다. 계열로 쓸지 자체가 쟁점,,,
sweet,0.4595,60625,Sweet,SECONDARY,GOURMAND,구르망,IFRA,IFRA SECONDARY Sweet. 단맛 인상,False,,,,,
citrus,0.4546,59969,Citrus,PRIMARY,CITRUS,시트러스,WHEEL,IFRA PRIMARY Citrus 정확 일치. 휠 Citrus,False,,,,,
aromatic,0.4139,54606,Aromatic,PRIMARY,GREEN,그린·아로마틱,WHEEL,IFRA PRIMARY Aromatic. 휠 Aromatic Fougere,False,,,,,
fresh spicy,0.3583,47271,,,AMBER,앰버·스파이시,WHEEL,향신료 축. 휠 Amber 계열의 spicy 성분,False,,,,,
floral,0.3531,46586,Floral,PRIMARY,FLORAL,플로럴,WHEEL,IFRA PRIMARY Floral 정확 일치. 휠 Floral,False,,,,,
amber,0.3447,45478,Amber,PRIMARY,AMBER,앰버·스파이시,WHEEL,IFRA PRIMARY Amber 정확 일치. 휠 Amber(구 Oriental),False,,,,,
warm spicy,0.3435,45319,,,AMBER,앰버·스파이시,WHEEL,따뜻한 향신료. 휠 Amber 축,False,,,,,
fruity,0.3276,43222,Fruity,PRIMARY,FRUITY,프루티,WHEEL,IFRA PRIMARY Fruity 정확 일치. 휠 Fruity,False,,,,,
musky,0.3119,41154,Musk Like,ALIAS_CANDIDATE,MUSK,머스크·파우더리,IFRA,IFRA alias 후보 Musk Like (17_ifra_alias_candidates),False,,,,,
white floral,0.2994,39497,,,FLORAL,플로럴,WHEEL,흰꽃 계열. 휠 Floral 하위,False,,,,,
vanilla,0.262,34562,Vanilla,SECONDARY,GOURMAND,구르망,IFRA,IFRA SECONDARY Vanilla,True,AMBER,휠에서는 Amber 축의 대표 원료. 국내 인식은 구르망 쪽,,,
fresh,0.2538,33478,Fresh,SECONDARY,CITRUS,시트러스,WHEEL,IFRA SECONDARY Fresh,True,AQUATIC|GREEN,어느 축의 신선함인지 데이터가 구분하지 않는다,,,
green,0.2255,29755,Green,PRIMARY,GREEN,그린·아로마틱,WHEEL,IFRA PRIMARY Green 정확 일치. 휠 Green,False,,,,,
rose,0.1942,25617,Rose,SECONDARY,FLORAL,플로럴,WHEEL,IFRA SECONDARY Rose,False,,,,,
earthy,0.1444,19049,Earthy,PRIMARY,WOODY,우디,WHEEL,IFRA PRIMARY Earthy. 휠 Mossy Woods 축,False,,,,,
animalic,0.1383,18242,Animal Like,ALIAS_CANDIDATE,MUSK,머스크·파우더리,IFRA,IFRA alias 후보 Animal Like,False,,,,,
balsamic,0.1377,18162,Balsamic,PRIMARY,AMBER,앰버·스파이시,WHEEL,IFRA PRIMARY Balsamic. 수지성 = Amber 축,False,,,,,
patchouli,0.1123,14822,Patchouli,SECONDARY,WOODY,우디,WHEEL,IFRA SECONDARY Patchouli. 휠 Mossy Woods 대표 원료,False,,,,,
soft spicy,0.1035,13661,,,AMBER,앰버·스파이시,WHEEL,부드러운 향신료. 휠 Soft Amber 축,False,,,,,
