batch,perfume_id,opinions
1,17140,Suitable for daytime wear / Uplifting summer scent / Simple and non-overpowering linear scent / Good value / Crisp and clean coconut smell / Acceptable lasting time  [단점] Initial harsh or chemical opening / Too sweet for some people's taste / Lacks depth and complexity for some
1,103715,"Friendly entry-level fragrance for beginners / Modern, appealing bottle design / Ideal for summer and tropical climates / Versatile for gym, office, and school / High mass appeal and pleasant aroma / Exceptional value for the price point  [단점] Highly generic, unoriginal scent profile / Poor longevity under two hours / Linear development with minimal complexity"
1,5581,"Recommended for those who want something different / Suitable for fall and winter / Versatile, truly unisex appeal. / Unique and unusual fragrance / Tart and juicy notes / Strong and complex scent  [단점] May not be suitable for all occasions or seasons / May not appeal to those who prefer basic or simplistic scents / Expensive"
1,30544,Exceptional atomizer produces a high-quality mist / Great value for price / Unique and well-done mix of notes / Fresh and versatile scent / Attractive bottle design / Beautifully masculine  [단점] Abysmal longevity and very weak sillage / Polarizing fig note can feel medicinal / Becomes a skin scent almost immediately
1,87922,"Exceptional longevity and staying power / Enormous projection and room-filling sillage / Memorable, statement-making profile / Evocative, dark, and moody atmosphere / Bold, masculine-leaning character / Striking blend of rose and patchouli  [단점] Highly polarizing and challenging scent / Extremely difficult to scrub off / Repulsive to many bystanders"
1,15130,"Chypre and oriental blend / Expertly blended with warm, subtle elegance / Majestic and monumental fragrance composition / Lush, hazy, soft, sweet, smoky, waxy, inky scent / Evokes decadent and opulent ancient history / Monstrous longevity and projection  [단점] Expensive price point / Polarizing profile requires sampling first / Opening can feel dusty or dated"
1,41188,"Addictive creamy almond and musk dry down / Authentic, high-quality neroli and orange blossom / Non-offensive, sophisticated office and daily scent / Versatile unisex appeal for casual occasions / Clean, freshly laundered cotton scent / Soft, clean, and soapy expensive vibe  [단점] Inconsistent projection; becomes skin scent quickly / Weak longevity; fades after 1-3 hours / Confusing branding; lacks expected ozonic qualities"
1,6693,"Elegant, glamorous bottle design / Feminine perfume / Inoffensive and pretty / Fresh and fruity scent / Excellent longevity for a celebrity fragrance / Delicious apple note  [단점] Clean, soapy lotus-led drydown / Bulky bottle is difficult to handle / Heady florals can trigger headaches"
1,6,"Affordable / Glamorous and timelessly sophisticated classic / Lovely scent for colder weather / Mysterious, dark, and softly sweet / Intriguing, ethereal, and 'holy' character / Reminiscent of Chanel No. 5  [단점] Strong, dated, aldehyde-heavy opening / Can feel heavy or cloying in heat / Initial blast may feel harsh or metallic"
1,1352,Appealing juicy berry scent / Uplifting scent that boosts the mood / Memorable and nostalgic / Good performance for a seasonal fruity fragrance / Noticeable sillage that garners frequent compliments / Surprisingly sophisticated for a fruity profile  [단점] Too sweet for some people / Disappointing performance on some skins / Can smell like generic strawberry shampoo
1,14649,"Clean and green without being screechy / Zesty, uplifting and energizing / Versatile, fresh daytime floral / Airy, clean, and optimistic jasmine / Sparkling grapefruit and white currant / Affordable alternative to Miss Dior Cherie L'eau  [단점] Opening can smell like cleaning products / Sharp, aggressive ginger-citrus opening / Synthetic chemical or petrol-like nuances"
1,85038,"High quality at affordable price point / Versatile for day and night wear / Ideal for cold winter weather / Strong projection and sillage / Excellent Dior Hypnotic Poison dupe / Modern, sexy feminine character  [단점] Unpredictable performance on different skin chemistry / Synthetic, plastic doll-head undertone / Linear scent with little development"
1,56994,"Delicate and pleasant scent / Easy to wear daily / Complex yet simple / Soft and discreet / Elegant and unique / Versatile and universally wearable  [단점] Extremely subtle, minimalist profile / Poor projection / Synthetic plastic or cardboard-like nuances"
1,79178,"Elegant and sophisticated feminine profile / Crowd-pleasing and high compliment factor / Beautifully blended ylang-ylang and mimosa / Versatile signature for spring and summer / Airy, ethereal, and luxurious texture / Solar, bright, and cheerful character  [단점] Feels overpriced for the scent profile / High price for a generic scent / Lacks expected niche house uniqueness"
1,23480,Incredibly pleasant and beautiful fragrance / Sexy vanilla plum combination / Good for daily wear / Spiriteuse double vanille is nice and not heavy on sweetness / Fruity musk opening is appealing / Unique and interesting scent  [단점] Expensive price point / May not be bottle worthy for some / Dry down can be musky and boring
