case_type,query_id,partner_id,query,partner,shared_notes,shared_note_list
regression,12424,1795,Chanel Chanel No 19 Poudre,Prada Infusion d'Iris,5,Galbanum|Iris|Mandarin Orange|Neroli|Vetiver
regression,103,3166,Guerlain Jicky,Caron Pour Un Homme de Caron,8,Amber|Bergamot|Brazilian Rosewood|Lavender|Lemon|Rosemary
rescue,4758,86,Новая Заря (The New Dawn) Красная Москва (Red Moscow),Elizabeth Arden Red Door,5,Carnation|Jasmine|Orange Blossom|Rose|Ylang-Ylang
regression,93,7399,Yves Saint Laurent Opium (1977),Yves Saint Laurent Opium Eau de Parfum 2009,7,Amber|Bergamot|Jasmine|Lily-of-the-Valley|Mandarin Orange|Opoponax
rescue,3166,57035,Caron Pour Un Homme de Caron,Lush Twilight Body Spray,2,Lavender|Tonka Bean
rescue,7916,307,Hermès Voyage d'Hermes,Cartier Declaration,2,Cedar|Tea
regression,16067,154,Santa Maria Novella Tabacco Toscano,Bvlgari Black,7,Amber|Bergamot|Cedar|Leather|Musk|Sandalwood
regression,213,11588,Dior Miss Dior Cherie,Dior Miss Dior Cherie Eau de Parfum,6,Amber|Jasmine|Mandarin Orange|Patchouli|Rose|Strawberry
regression,11588,213,Dior Miss Dior Cherie Eau de Parfum,Dior Miss Dior Cherie,6,Amber|Jasmine|Mandarin Orange|Patchouli|Rose|Strawberry
regression,788,276,Azzaro Chrome,Calvin Klein CK One,9,Bergamot|Cardamom|Cedar|Jasmine|Lemon|Musk
regression,64105,472,Armaf Club de Nuit Sillage,Creed Silver Mountain Water,4,Bergamot|Black Currant|Musk|Sandalwood
rescue,375,16602,Clinique Clinique Happy Heart 2003,Clean Clean Rain,0,
rescue,16602,375,Clean Clean Rain,Clinique Clinique Happy Heart 2003,0,
regression,59532,410,Giorgio Armani Acqua di Giò Profondo,Giorgio Armani Acqua di Gio,5,Amber|Bergamot|Patchouli|Rosemary|Sea Notes
regression,14825,2736,Giorgio Armani Acqua di Gio Essenza,Hermès Un Jardin Apres la Mousson,4,Floral Notes|Pepper|Vetiver|Water Notes
regression,34761,48965,Giorgio Armani Armani Code Profumo,Natura Homem Sagaz,4,Amber|Green Mandarin|Nutmeg|Tonka Bean
regression,9075,9502,Cuba Paris Cuba Gold,Jean Paul Gaultier Le Male Terrible,4,Amber|Grapefruit|Lavender|Pink Pepper
regression,61856,430,Jean Paul Gaultier Le Male Le Parfum,Jean Paul Gaultier Le Male,3,Cardamom|Lavender|Vanilla
regression,473,4193,Creed Original Santal,Montblanc Individuel,10,Bergamot|Coriander|Geranium|Juniper Berries|Lavender|Musk
regression,4193,473,Montblanc Individuel,Creed Original Santal,10,Bergamot|Coriander|Geranium|Juniper Berries|Lavender|Musk
regression,485,644,Dolce&Gabbana Light Blue,Versace Versace Man Eau Fraiche,3,Amber|Cedar|Musk
rescue,728,485,Moschino Cheap & Chic I Love Love,Dolce&Gabbana Light Blue,2,Cedar|Musk
regression,44034,728,Dolce&Gabbana Light Blue Eau Intense,Moschino Cheap & Chic I Love Love,2,Lemon|Musk
rescue,498,913,Donna Karan DKNY Be Delicious,Nautica Nautica Voyage,1,Amber
rescue,913,498,Nautica Nautica Voyage,Donna Karan DKNY Be Delicious,1,Amber
regression,508,9797,Davidoff Cool Water,Oriflame Midsummer Woman,9,Jasmine|Lemon|Lily-of-the-Valley|Melon|Musk|Raspberry
rescue,610,1499,Chanel Chance Eau de Toilette,Shiseido Zen,4,Musk|Patchouli|Pineapple|Rose
rescue,612,17796,Chanel Coco Mademoiselle Eau de Toilette,Dior Miss Dior (2012),2,Patchouli|Rose
rescue,611,1499,Chanel Coco Mademoiselle,Shiseido Zen,3,Bergamot|Orange|Patchouli
rescue,36416,704,Mugler Angel Muse,Mugler Angel,1,Patchouli
regression,1068,44035,Dolce&Gabbana Light Blue pour Homme,Dolce&Gabbana Light Blue Eau Intense Pour Homme,3,Grapefruit|Juniper|Musk
regression,44035,1068,Dolce&Gabbana Light Blue Eau Intense Pour Homme,Dolce&Gabbana Light Blue pour Homme,3,Grapefruit|Juniper|Musk
regression,18021,1148,Montale Intense Cafe,Montale Roses Musk,1,Rose
regression,55001,15210,Montale Ristretto Intense Café,Mancera Roses Vanille,2,Vanilla|White Musk
regression,17189,52359,Zara Applejuice,Chanel Chance Eau Tendre Eau de Parfum,3,Grapefruit|Jasmine|Rose
regression,52359,17189,Chanel Chance Eau Tendre Eau de Parfum,Zara Applejuice,3,Grapefruit|Jasmine|Rose
rescue,1426,3907,Rochas Rochas Man,Givenchy Givenchy Play Intense,2,Bergamot|Patchouli
regression,1426,705,Rochas Rochas Man,Mugler A*Men,7,Amber|Bergamot|Jasmine|Lavender|Lily-of-the-Valley|Patchouli
rescue,13041,18702,Yves Rocher Moment de Bonheur,Chloé Chloé Roses de Chloé,0,
