descriptor,definition,source_page
Acidic,Acidic means a fragrance note that smells sharp and somewhat pungent. Acidic notes may help boost a citrus note or impart natural qualities.,7
Aldehydic,"Aldehydes vary: the more diluted they become, the greater the difference in smell. An overarching description is one of clean ironed linen. Aldehydes can be split into more specific profiles, such as citrus or ozonic. They are organic compounds found in natural oils (e.g. orange oil or rose oil) and are used at relatively low doses.",7
Amber,"Amber is used to describe a complex note in fragrances that are a mixture of warm, woody and sweet notes that impart a rich and comforting character.",7
Animal-Like,"Animal-like notes are important notes used in perfumery. They do not come from animals, but are created to give what some would see as a faecal note or a musk note. In dilution they might help impart musk notes or floral notes like jasmin.",7
Anisic,Anisic materials are those that smell similar to natural aniseed materials like tarragon or fennel.,8
Aromatic,"Aromatic notes are complex notes that are sometimes also described as having a diffusive aroma. They may be recognized in cooking as culinary herbs and spices, but they have a full fragrance quality.",8
Balsamic,"Ingredients that smell balsamic tend to have a delicate smell that is slightly sweet and woody, and have been termed using natural resins and balsams exuded by some trees or shrubs.",8
Camphoraceous,"A fresh, strong and diffusive smell that is characterized by natural camphor and other herbs such as rosemary or marjoram.",8
Citrus,"Citrus notes are given by the smell of fruit from the citrus family – such as orange, lemon or grapefruit.",8
Earthy,Earthy notes are reminiscent of earth and mud. They are important when creating a fragrance that needs to impart the full character of a living flower or to give natural outdoor notes – allowing the creation of full landscape (e.g. a bed of roses on a wet day) as opposed to a single or specific smell.,9
Floral,"Floral notes belong to the large floral family that includes notes such as rose, jasmin, narcissus and others. Some fragrance materials have smells that are not one flower but multi-faceted, with a complex flowery character.",9
Food-Like,Food-like describes food substances of a savoury or less specific character – such as the smell of roasted vegetables.,9
Fruity,"Fruity notes belong to the non-citrus fruit family. This is a very large family that includes many fruit notes such as banana, apple and mango. Some fruit fragrance materials have smells that are not one fruit but multi-faceted, with a complex fruity character.",9
Gourmand,"This very important fragrance group has been popular for a number of years – with a food-like smell that is sweet, sticky, or dessert-like. It includes caramel, fudge, chocolate and meringue.",9
Green,"Green is a broad descriptor that refers simply to those natural smell that are green – such as the distinctive scent of cut grass, hedgerow fruits flowers, and those green notes and many green materials that help impart natural smells in a more complex accord or mix of scents.",10
Herbal,"Herbal notes include culinary herbs (e.g. thyme, rosemary) that often have a green note and impart fresh nuances to a complex fragrance.",10
Honey,"Honey is used to describe materials that have honey characteristics – often sweet and cloying, but sometimes quite harsh and acidic.",10
Marine,"Marine covers smells that you expect to fine at the seashore – they tend to be fresh and sometimes ozonic, and often sea water-like.",10
Minty,These materials impart mint or menthol notes reminiscent of peppermint and spearmint.,10
Musk-Like,"These materials belong to an important fragrance note – while they are not obtained from animals, they are created to have an animal-like quality, often powdery and sometimes warm and sweet.",11
Ozonic,"Ozonic notes are fresh-smelling materials that don’t have a more specific note but may remind you of a fresh windy day. Sometimes they have a weak, almost chlorine-like smell.",11
Powdery,"Powdery fragrance ingredients are from a larger complex group that impart a warm, sometimes sweet or musky powdery smell.",11
Smoky,"These ingredients have a smoked or phenolic quality, reminding you of the smell from a bonfire or the smell of food burning.",11
Spicy,"These ingredients belong to a broad spicy family, characterized by many spicy notes from cinnamon to other culinary spices such as pepper, nutmeg and clove. They sometimes have a sweet note and impart warm nuances to a complex fragrance.",11
Sulfurous,"Sulfurous materials have a distinctive smell, reminiscent of onion or garlic. Some sulfur materials may be very pungent and unpleasant at high levels, but when used in a fragrance they may impart citrus or floral notes.",12
Tobacco-Like,"These ingredients are created to give an smell of tobacco before it has been lit or smoked. They tend to be sweet and warm notes, sometimes with the smell of dried fruit.",12
Woody,"Woody notes are party of a large odor family that includes woods such as sandalwood or cedarwood, sometimes with smoky or leather nuances. Often warm and dry notes, they impart a rich complexity that can help a fragrance last longer.",12
