source_row,query_text
2,내가 원하는 무드는 차분하고 댄디한 느낌을 원함. 이런 내 스타일에 맞춰서 향수를 추천해줘. 향이 오래갔으면 좋겠음
3,시트러스 향처럼 시원하고 깔끔한 향
4,"향이 별로 안강했으면 좋겠어. 향에 민감해서 다른 향수 냄새를 맡으면 두통이 와.
그리고 자연스러운 향이 났으면 좋겠어. 너무 꾸민 티가 안나게. 그리고 가격대도 취준생 입장에서 부담스럽지 않아야해. "
5,나에게 어울리는 향수를 추천해줘 나는 자연 스럽고 산뜻한 느낌을 원해
6,운동하고 뿌리면 좋은 비싸지 않은 남자 향수 추천해줘.
7,남성이 쓸만한 여름에 어울리면서도 시트러스 향이 강한 향수를 추천해주세요. 은은한 향이면서도 지속력이 6시간 이상이었으면 좋겠어요.
8,"계절별로 향수를 추천해주세요.
여름에는 시트러스 계열의 향수 제품을 추천해주고,
봄, 가을에는 화이트 머스크 계열의 향수 제품,
겨울에는 우디 계열의 향수 제품을 추천해주세요."
9,여름에 사용할건데 시트러스 계열인데 지속성이 발향력이 좋은 녀석을 찾고있어. 내 성별은 남성이고 남성 스킨향이 조금 덜 났으면 좋겠어. 그리고 가격대는 30만원 이하로 추천해줘.
10,진한 꽃 냄새가 아닌 달달하고 은은한 향 / 편안하고 생기 넘치는 향
11,바디워시느낌이 나는 향수를 추천해주세요
12,너무 비싸지 않지만 남들이 쓰는 흔한 향수 말고 힙하면서 노트는 단순하거나 리니어하지 않고 복잡하면서도 탑에서 오는 존재감이 뚜렷하고 베이스는 바닐라나 럼 같은 쪽 말고 우드나 그나마 앰버 정도로 가되 너무 싼티나는 인공적인 향은 아니었으면 좋겠네
13,샤워하고 나온듯한 따뜻하고 포근한 느낌의 향기를 추천해줘
14,"음,, 클린웜코튼과 같은 샤워하고 나온 향기로운 냄새를 좋아하기도 하고, 포맨트 블랙처럼 무난한 향을 좋아하기도 해."
15,꽃냄새와 우드의 중간 계열이고 가볍지 않은 조금 무거운 향이 났으면 해. 무거운 향이지만 달달한 냄새로
16,여름 향수 추천해줘
17,"달달한 플로럴한 계열이 좋은데 남자가 사용할 거라 너무 여성스러운 느낌이 안 났으면 좋겠고, 또 너무 과한 시트러스 때문에 세제 냄새는 안 났으면 좋겠어."
18,싸가지 없어 보이지만 능력이 좋아서 재수없는 와중에 내사람이 되면 따뜻하고 유머있게 변하는 사람이 쓸만한 향수 추천해줘
19,"중성적인 향, 너무 강하지 않게, 산뜻하고 가벼운 느낌의 향수를 추천해줘. "
20,"상큼한 향 그리고, 맡으면 시원해지는 향수 추천해줘"
21,아로마티카 같이 허브 향이 나는 향수를 추천해줘.
22,꽃향기가 나면서도 시원한 느낌을 원해. 여자에게 이 남자 조금 신경 쓰는 남자라는 인상을 주고 싶어!
23,"나 향수를 잘 모르는데, 깔끔한 스타일의 향을 필요로 해. 최대 15만원 안팎"
24,"나 비누향 엄청 좋아하는데 은은하면서 포근한, 부담스럽지 않은 향수를 추천해줘. 나는 20대 후반의 남자이고, 과한 향은 어지러워 하는 편이야. 특히 목욕탕 스킨 냄새는 진짜 싫어해."
25,"이 편지는 영국에서 최초로 시작되어 일년에 한바퀴를 돌면서 받는 사람에게 행운을 주었고 지금은 당신에게로 옮겨진 이 편지는 4일 안에 당신 곁을 떠나야 합니다. 이 편지를 포함해서 7통을 행운이 필요한 사람에게 보내 주셔야 합니다. 복사를 해도 좋습니다. 혹 미신이라 하실지 모르지만 사실입니다.

영국에서 HGXWCH이라는 사람은 1930년에 이 편지를 받았습니다. 그는 비서에게 복사해서 보내라고 했습니다. 며칠 뒤에 복권이 당첨되어 20억을 받았습니다. 어떤 이는 이 편지를 받았으나 96시간 이내 자신의 손에서 떠나야 한다는 사실을 잊었습니다. 그는 곧 사직되었습니다. 나중에야 이 사실을 알고 7통의 편지를 보냈는데 다시 좋은 직장을 얻었습니다. 미국의 케네디 대통령은 이 편지를 받았지만 그냥 버렸습니다. 결국 9일 후 그는 암살당했습니다. 기억해 주세요. 이 편지를 보내면 7년의 행운이 있을 것이고 그렇지 않으면 3년의 불행이 있을 것입니다. 그리고 이 편지를 버리거나 낙서를 해서는 절대로 안됩니다. 7통입니다. 이 편지를 받은 사람은 행운이 깃들 것입니다. 힘들겠지만 좋은 게 좋다고 생각하세요. 7년의 행운을 빌면서... 가 연상되는 향수가 뭐가 있을까?"
26,내가 쓰는 향수랑 비슷한 향이 나는 다른 향수가 궁금하다
27,플로럴? 꽃 냄새는 별로고 좀 포근하고 딱 맡았을 때 와 진짜 어른 여자<< 같은 느낌이 되고싶은데 어떤 향수가 좋을까요?
28,직장에서 매일 쓸거고 신중하게 결정한 다음에 변경하지 않을것임. 남자 향수 추천 해봐라. 취향은 딱히 없고 무난하면 됨. 
29,난 평소 클로에 EDP를 좋아하는데 비슷한 향수 추천해줘
30,꽃향은 좋은데 로즈는 싫어 
31,"나는 가벼우면서도 중성적인 향을 원해. 너무 달달하지 않고, 시원하면서도 너무 남성적이지 않은 향이 좋다. 참고로 기존에 사용하는 향수로는 조르지오 아르마니의 프리베 테 울롱 , 조말론 와일드 블루벨을 사용한다. 가격은 신경쓰지 말고 다양한 가격대 별로 추천해줘."
32,나는 쎈 향은 안 좋아하는데 향수 추천해줘
33,여름에 어울리는 숲 속에 온 듯한 향을 추천해줘
34,라이트한 시트러스향이 있으면 좋겠고 너무 달달한 향이 안나면 좋겠어. 잔향은 조오금 오래가는 편이 좋을거같아
35,우디향이나 코튼 향 좋아합니다
36,전체적으로는 달달한 향이면 좋겠고 캐주얼룩에도 어울리면 좋겠어. 여름에 쓸 거니까 너무 과하게 달지 않은 향으로 추천해줘. 여름을 중심으로 4계절 내내 쓸 수 있으면 좋겠어. 우디향과 레이어드 할 거니까 조합까지 생각해서.
37,넵!
38,여름이니까 가벼운 향을 추천받고 싶어. 약간 비누향도 좋고. 여성스러운 느낌이면좋겠어. 가격은 5만원 아래로. 향이 오래 가면 좋겠다.
39,"자연계열 향수 좋아하고 특히 우디계열 좋아해. 바닐라처럼 달거나 파우더리한 향은 선호하지 않아.
좋아하는 향은 톰포드 오우드, 조말론 씨 솔트 앤 베르가못 좋아하는데, 이런 느낌으로 봄/여름에 뿌리기 좋은 향수 추천해줘"
40,우디향 나는 20대 남자 향수 추천해줘
41,"너는 향수 전문가야. 나에게 향수를 추천해줘. 내가 원하는 향수의 향은 다음과 같아.
[향수 정보]
- 너무 진하지 않은 향
- 적당히 달콤하고 적당히 시원한 향
- [봄/여름/가을/겨울]에 어울리는 향
검색된 향수의 리뷰도 같이 검색해서 테이블 형태로 보여줘"
42,산뜻하면서 바람이 불고 푸른색의 느낌이 나며 자유로운 향을 찾고있어 추천해줘
43,"머스크향이 베이스에 깔렸으면 좋겠고, 플로럴 향도 조금 섞였으면 좋겠어. 너무 스파이시한거는 불호이고 잔향이 은은했으면 좋겠어. 너무 빨리 발향 되는건 싫으니 지속력이 좋은거로 브랜드랑 향 추천 종류별로 부탁해."
44,"데일리로 가볍게 쓸 수 있는 향수를 찾고 싶어. 나는 학생이라 가격대가 그렇게 높은 것은 부담스럽고, 10만원대 안팎으로 추천해줘.

향수를 많이 써본 적이 없어서 향에 대해서 설명하는 메세지를 잘 몰라. 실제 향이랑 향에 대한 설명이 매치되지 않아.

일단 좋아하는 냄새는 비누향, 코튼향인것 같고
특히 싫어했던 냄새는 장미향인 것 같아.

향수를 뿌렸을 때, 깨끗하고 여성스러운 이미지로 보였으면 좋겠어.
그리고 밀폐된 강의실에서도 사용해도 주변 사람에게 부담스럽지 않을 정도면 좋겠어.

여름이랑 겨울에 각각 사용할만한 향수를 추천해줘."
45,너무 달지 않고 피코디아말피는 여름 느낌인데 겨울 느낌 나는 향 추천해줘.
46,"나 바카라루쥬, 어벤투스, 포비앤바알리 좋아하는데 내가 좋아하는 향이 무엇인지 정리해주고 내가 좋아할만한 향 추천해줘."
47,"꽃 향기가 나면 좋겠는데, 달달한 정도를 1~5점으로 표현했을 때, 3정도였으면 좋겠고 알싸한 정도는 거의 없으면 좋겠어. 장미향 같은 향도 좋고 대부분의 꽃향기면 다 좋아. 이와 유사한 향을 가진 향수의 종류가 무엇이 있을까?"
48,"여름에 쓰기 좋은 가벼우면서 시원한 느낌의 비누향, 머스크향, 약간의 우드향이 들어간 향수를 추천해줘."
49,여름에 레이어링할 가볍고 상쾌한 향의 향수를 추천해줘
50,랄프로렌 스타일과 어울리는 향수는?
51,"상큼하고 밝은 향을 원해, 무게감이 가벼운 향을 선호하고 이끼, 물비린내는 안좋아해
가장 선호하는 향 종류는 시트러스, 우디, 레몬 계열이고 달달한 느낌은 선호하지 않아"
52,"너는 최고급 니치 향수 전문 컨설턴트야.
내가 좋아하는 향을 설명해 줄테니까, 이 향의 핵심 포인트를 정확히 이해하고 나와 어울리는 향수를 추천해줘.
[내가 좋아하는 향수 포인트]
- 톡 쏘는 듯한 청량함과 방금 막 세탁된 코튼 향처럼 깨끗한 공기향
- 과하지 않은 은은한 복숭아 향
- 단순한 비누향이 아닌, 니치 향수 특유의 깊고 크리미한 잔향
위의 포인트와 결이 비슷한 향수 3가지를 추천해 줘. 각 향수마다 왜 이 향수를 골랐는지, 그리고 어떤 매력이 있는지 자세히 설명해 줬으면 좋겠어."
53,"나는 우디향을 좋아하는데, 남성적인 향은 싫어. 중성적인 향도 별로야. 너무 향이 빨리 날아가지 않았으면 좋겠는데 잔향도 좋았으면 좋겠어. 그렇다고 너무 흔한 향수는 싫고, 너무 비싼 향수는 내가 아직 부담스러워. 어떤 향수가 나에게 좋을까? 우디, 머스크 이런 쪽을 좋아하는 것 같아. 딥티크의 도손 써본적있어"
54,"자연의 향을 좋아해. 우디, 시트러스, 베르가못 계열같은 향들. 달콤한 냄새는 별로 좋아하지 않고 우디, 시트러스 향이 나면서 자연스러운 향이 좋아. 그리고 머스크향 같은 것도 좋아해. 너무 향이 쎄지 않았으면 좋겠어."
55,네
56,여름에 쓰려고 하는데 시트러스하지만 머스크한 느낌을 품고 있으면서 그렇다고 너무 무겁지 않은 향을 추천받고싶어 그리고 달달한 느낌보다는 화이트플로럴계열이 더 나은것같아 
57,데일리로 쓰고 싶고 너무 남자 향수 같은 느낌이 들지 않았으면 좋겠어요. 그리고 플로럴 계열이나 프룻티한 느낌이 좋아요. 그런데 시트러스한 느낌은 좀 적었으면 좋겠어요
58,"나는 묵직한 우드향을 좋아하고 향수 용량이 큰 걸 찾고 있어.
전체적으로 디자인이 깔끔하고 퓨어한 이미지면 좋을 것 같아. 
가격대는 10만원대로 찾고 있고 하루동안 향이 나왔으면 좋겠어."
59,"여름 바다가 생각나는 시원한 향으로 향수 추천해줘. 가격이 10만원 미만이고 지속력이 은은하게 긴 향수면 좋겠어. 여자고 너무 진한향이나 우드, 머스크는 좋아하지않으니까 제외하고 추천해줘."
60,은은하면서 달달하고 그렇게 역하지 않은 향수 추천 부탁해
61,여름에 뿌릴만한 남성용 향수 추천해줘 예산은 20만원 이하로 부탁해
62,비 온 뒤의 숲의 냄새
63,"내가 주로 사용했던 향수는 베르사체 딜런퍼플, 아쿠아 디파르마, 르라보 모하비고스트, 티파니앤코 러브포힘,딥디크 플레르드뽀 인데 비슷한 향을 가진 향수 추천해줘."
64,넵
65,로즈마리 녹차 레몬 사과같은 가볍고 청량한 향에 살짝 우디한 향이 가미되서 무게감이 있으면 좋겠고 파우더리한 향이나 머스크향은 없으면 좋겠어
66,내 최애캐를 이미지화한 향수를 만들어줘. 
67,"너는 향수 매장에서 향수를 판매하고 있는 셀러야.
모든 종류의 향수를 판매하고있어서 어울리는 향수를 찾아서 추천할 수 있어. 

나는 향수를 뿌려본 적 없어서 관련 지식이 없는 사람이야.
그런 사람이 이해할 수 있게 설명을 곁들여서 향수를 세가지 추천해줘
다양한 향과 가격대로 추천할 것

나는 20대 중반 남성이고, 교육을 수강하러 다녀. 
향수를 뿌림으로써 다음 효과를 기대해
주변 동료들이 느끼기에 깔끔한 이미지 얻음
너무 강하지 않아 은은한 향으로 상대방에게 불쾌감을 주지 않음"
68,데이트갈때 우드향나고 은은하게 났으면 좋겠어.
69,"아래 조건에 부합하는 향수 3가지 추천해. 향수의 향과 가격 등 상세 정보와 추천하는 이유 작성해서 제출하도록.
좋아하는 향: 달다구리, 시트러스 계열도 괜찮음 
싫어하는 향: 담배냄새
지속력: 한 번 뿌렸을 때 잔향이 좀 오래 갔으면 함
가격: 20만원 이내"
70,"향수1, 향수2, 향수3 쓰고 있는데 비슷한 느낌의 향수 추천해줘 계절감 고려해서 알려줘"
71,"나는 향에 예민해서 계속 맡아도 머리 아프지 않은 자연스러운 향수가 필요해.
우디나 금속, 가죽 느낌은 싫고 너무 화장품 느낌도 싫어. 자연에서 유래된 향이었으면 좋겠어. 너무 달콤한 것도 별로야.
우디가 섞이더라도 메인 노트가 아니면 괜찮아. 그리고 너무 흔해서 남들이 엄청 많이 쓰는 향은 아니었으면 좋겠어. 워터 베이스면 더 좋아."
72,겨울 아침에 딱~ 일어나서 창문을 열었는데 느껴지는 차갑고 상쾌한 향(탑노트). 점심에 느껴지는 밸런스가 느껴지는 머스크 계열의 향(미들노트) .저녁에 느껴지는 해가지는 느낌의 우디한 무거운 향(베이스노트)
73,"내가 원하는 향수는 데일리로 가볍게 사용할 수 있는 향수야. 탑노트는 조금 가벼운 느낌이었으면 좋겠고, 미들노트는 머스크 향이 가볍지만 깔끔하게 깔렸으면 좋겠어."
74,"나는 깨끗하고 시원한 향을 좋아하고, 편백나무, 산내음처럼 자연스러운 향을 좋아해. 그래서 주로 우디나 플로럴한 계열을 좋아하는데, 대신 스파이시한 계열은 좋아하지 않아. 이런 나한테 향수를 추천해줄래?"
75,"진한 향수는 싫어, 가벼운 향수를 원하고 너무 우디하지 않은 풀냄새 계열의 향수를 추천해줘. 근데 또 너무 진한건 싫어. 플로럴 향은 제외해줘. 다시 한번 말하는데 향이 진하면 안돼. 여름 제외하고 사용할 거야. 가격대별로 한국에서 구매할 수 있는 향수 리스트를 알려줘."
76,넵 알겠습니다.
77,"행복하게 해주는 허브 향 (로즈마리가 메인이면서, 조화롭게 어우러지는 다른 허브 들)"
