query_id,query_text,source,source_row,selection_hash,r1_eligibility,r1_ineligible_reason,r1_resolution_type,r1_primary_expression_type,r1_secondary_expression_types_json,r1_direct_accords_json,r1_direct_canonical_notes_json,r1_seasons_json,r1_dayparts_json,r1_avoid_accords_json,r1_avoid_canonical_notes_json,r1_bridge_phrase,r1_bridge_evaluation_text,r1_excluded_other_requirements,r1_bridge_applicability,r1_notes,r2_eligibility,r2_ineligible_reason,r2_resolution_type,r2_primary_expression_type,r2_secondary_expression_types_json,r2_direct_accords_json,r2_direct_canonical_notes_json,r2_seasons_json,r2_dayparts_json,r2_avoid_accords_json,r2_avoid_canonical_notes_json,r2_bridge_phrase,r2_bridge_evaluation_text,r2_excluded_other_requirements,r2_bridge_applicability,r2_notes,adj_eligibility,adj_ineligible_reason,adj_resolution_type,adj_primary_expression_type,adj_secondary_expression_types_json,adj_direct_accords_json,adj_direct_canonical_notes_json,adj_seasons_json,adj_dayparts_json,adj_avoid_accords_json,adj_avoid_canonical_notes_json,adj_bridge_phrase,adj_bridge_evaluation_text,adj_excluded_other_requirements,adj_bridge_applicability,adj_notes,adjudication_note
SQ0001,내가 원하는 무드는 차분하고 댄디한 느낌을 원함. 이런 내 스타일에 맞춰서 향수를 추천해줘. 향이 오래갔으면 좋겠음,survey_2026_08,2,e940fc3c90610c265bb95190d3c487cf3e16a0fc23bb831356c5fab9057afd9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0002,시트러스 향처럼 시원하고 깔끔한 향,survey_2026_08,3,782f8c51443a2a9bfcd8e352dc18ba9ae57483c8b87ca6b9aa6951e8ba8b23b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0003,향이 별로 안강했으면 좋겠어. 향에 민감해서 다른 향수 냄새를 맡으면 두통이 와. 그리고 자연스러운 향이 났으면 좋겠어. 너무 꾸민 티가 안나게. 그리고 가격대도 취준생 입장에서 부담스럽지 않아야해.,survey_2026_08,4,45e3d837a0e49a364f95bcc0e94ac3c5b01110dec6bfebcf49adcd96cac5cbba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0004,나에게 어울리는 향수를 추천해줘 나는 자연 스럽고 산뜻한 느낌을 원해,survey_2026_08,5,7119afa3d1b5c3c04ea144c827285db0b9d94ac10f278d76af063bde2ac314e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0005,운동하고 뿌리면 좋은 비싸지 않은 남자 향수 추천해줘.,survey_2026_08,6,19c27397ec528e029085debef89a2217857426327a993f6fbd322c706b102723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0006,남성이 쓸만한 여름에 어울리면서도 시트러스 향이 강한 향수를 추천해주세요. 은은한 향이면서도 지속력이 6시간 이상이었으면 좋겠어요.,survey_2026_08,7,006202e37457c51c8b49e91972303158bbdedb611022db3216005386832f961d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0007,"계절별로 향수를 추천해주세요. 여름에는 시트러스 계열의 향수 제품을 추천해주고, 봄, 가을에는 화이트 머스크 계열의 향수 제품, 겨울에는 우디 계열의 향수 제품을 추천해주세요.",survey_2026_08,8,f5a1e6e912be128687fbd1e7be979d1bb5ac4eda17f40d7ba8d612fa3297972b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0008,여름에 사용할건데 시트러스 계열인데 지속성이 발향력이 좋은 녀석을 찾고있어. 내 성별은 남성이고 남성 스킨향이 조금 덜 났으면 좋겠어. 그리고 가격대는 30만원 이하로 추천해줘.,survey_2026_08,9,6ffcb58e1d936eeccd32b91f124c6a64baa7345e900f7c0889f2606110ff4eaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0009,진한 꽃 냄새가 아닌 달달하고 은은한 향 / 편안하고 생기 넘치는 향,survey_2026_08,10,ae731c633a7351cef49420579f5205c424861e590d8202d735572f8717ade69d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ0010,바디워시느낌이 나는 향수를 추천해주세요,survey_2026_08,11,13b41b20397d3e378fad5fe2c91cb4ec6524b629cf6a8325d290df48963fa66d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
