perfume_id,sentence_no,sentence,batch,src_file
6,1,추운 날 어울리는 신비롭고 어두운 향을 찾고 있어. 은근한 단맛이 있으면서 고전적이고 우아한 분위기면 좋겠어.,1,32_evalset_batch1_generated_B.csv
6,2,겨울에 코트 입고 뿌릴 만한 묵직한 향이면 좋겠어. 차갑고 금속적인 첫 느낌 뒤에 부드러운 단향이 남았으면 해.,1,32_evalset_batch1_generated_B.csv
6,3,요즘 향수처럼 가볍기보다 옛날 영화 같은 고전적인 향을 원해. 어둡고 몽환적이면서 살짝 달콤했으면 좋겠어.,1,32_evalset_batch1_generated_B.csv
19,1,따뜻한 계절에 지중해 정원을 걷는 듯한 향을 찾고 있어. 감귤과 푸른 나무 향이 자연스럽게 느껴지면 좋겠어.,4,32_evalset_batch4_generated_B.csv
19,2,인공적인 향보다 실제 식물 같은 향을 원해. 상큼한 감귤에 침엽수와 허브의 푸릇한 느낌이 있었으면 해.,4,32_evalset_batch4_generated_B.csv
19,3,봄여름에 쓸 싱그러운 향이면 좋겠어. 햇볕 받은 정원처럼 초록 향이 풍성하고 감귤의 쌉싸름함도 있었으면 해.,4,32_evalset_batch4_generated_B.csv
28,1,어두운 자두 향이 중심인 고전적인 향을 찾고 있어. 마른 나무와 은은한 단맛이 섞여 성숙했으면 좋겠어.,4,32_evalset_batch4_generated_B.csv
28,2,달달한 과일 향보다 깊고 차분한 자두 향을 원해. 나무 냄새와 향신료 느낌이 있고 우아했으면 좋겠어.,4,32_evalset_batch4_generated_B.csv
28,3,오래된 영화 같은 분위기의 향이면 좋겠어. 진한 자두와 마른 나무 향이 어우러지고 살짝 달콤했으면 해.,4,32_evalset_batch4_generated_B.csv
57,1,한여름에 쓸 진짜 자몽 같은 향을 찾고 있어. 달기보다 쌉싸름하고 상큼하면서 개성이 뚜렷했으면 좋겠어.,3,32_evalset_batch3_generated_B.csv
57,2,갓 자른 자몽 껍질처럼 생생한 향이면 좋겠어. 시원하고 기분 좋아지지만 약간 씁쓸한 느낌도 있었으면 해.,3,32_evalset_batch3_generated_B.csv
57,3,평범한 감귤 향보다 독특한 여름 향을 원해. 자몽의 신맛과 쓴맛이 또렷하고 아주 신선했으면 좋겠어.,3,32_evalset_batch3_generated_B.csv
271,1,90년대 느낌이 살짝 나는 시원한 향을 찾고 있어. 멜론 같은 과일 향과 물기 어린 깨끗함이 있었으면 해.,3,32_evalset_batch3_generated_B.csv
271,2,상쾌하고 선명한 옛날 여름 향 느낌이면 좋겠어. 달큰한 멜론과 시원한 물향이 함께 느껴졌으면 해.,3,32_evalset_batch3_generated_B.csv
271,3,깔끔하고 시원한 향을 좋아하는데 너무 평범하진 않았으면 해. 멜론 같은 과일 향이 또렷하면 좋겠어.,3,32_evalset_batch3_generated_B.csv
284,1,오후 정원을 걷는 것 같은 꽃향을 찾고 있어. 흰 꽃과 감귤 향이 풍성하고 시간이 지나며 향이 변했으면 좋겠어.,2,32_evalset_batch2_generated_B.csv
284,2,요즘 흔한 향보다 고전적인 분위기의 향을 원해. 화사한 꽃향에 비누와 보송한 분 냄새가 살짝 느껴지면 좋겠어.,2,32_evalset_batch2_generated_B.csv
284,3,조금 독특하고 우아한 꽃향이면 좋겠어. 밝은 감귤과 흰 꽃이 어우러지고 오래된 정원 같은 느낌을 원해.,2,32_evalset_batch2_generated_B.csv
619,1,덥고 습한 여름에 쓰기 좋은 가볍고 시원한 향을 찾고 있어. 깨끗하고 바람처럼 산뜻했으면 좋겠어.,2,32_evalset_batch2_generated_B.csv
619,2,나이 상관없이 편하게 쓸 여름 향이면 좋겠어. 갓 씻은 듯 깔끔하고 무겁거나 달지 않았으면 해.,2,32_evalset_batch2_generated_B.csv
619,3,복잡한 향보다 단순하고 상쾌한 향을 원해. 더운 날 잘 어울리고 비누처럼 깨끗한 느낌이 났으면 좋겠어.,2,32_evalset_batch2_generated_B.csv
756,1,햇빛 좋은 날 어울리는 진짜 과일 같은 감귤 향을 찾고 있어. 레몬이 선명하면서 따뜻한 나무 느낌도 있었으면 해.,2,32_evalset_batch2_generated_B.csv
756,2,기분 전환되는 상쾌한 향이면 좋겠어. 갓 자른 레몬처럼 생생하지만 너무 가볍지 않고 차분했으면 해.,2,32_evalset_batch2_generated_B.csv
756,3,인공적인 사탕 향 말고 실제 감귤 껍질 같은 향을 원해. 맑고 반짝이는 느낌에 은은한 나무 향도 있었으면 좋겠어.,2,32_evalset_batch2_generated_B.csv
1067,1,가을겨울에 어울리는 신비로운 향을 찾고 있어. 가볍게 퍼지지만 안쪽에는 어둡고 깊은 분위기가 있었으면 해.,4,32_evalset_batch4_generated_B.csv
1067,2,밝기만 한 향보다 살짝 어두운 느낌의 향이 좋아. 차분하고 복잡하면서 세련된 분위기였으면 좋겠어.,4,32_evalset_batch4_generated_B.csv
1067,3,흔하지 않고 여러 느낌이 겹치는 향을 원해. 공기처럼 가벼운 부분과 묵직한 어두움이 같이 있었으면 좋겠어.,4,32_evalset_batch4_generated_B.csv
1158,1,성숙하고 우아한 꽃향을 찾고 있어. 달콤하지만 사탕 같지 않고 보송한 꽃가루 느낌이 풍성했으면 좋겠어.,4,32_evalset_batch4_generated_B.csv
1158,2,여성스럽고 존재감 있는 꽃향이면 좋겠어. 진한 꽃다발에 부드러운 단맛이 있고 너무 어린 분위기는 싫어.,4,32_evalset_batch4_generated_B.csv
1158,3,저녁에도 잘 어울리는 고급스러운 꽃향을 원해. 달큰하고 화려하지만 차분하고 성숙하게 느껴졌으면 좋겠어.,4,32_evalset_batch4_generated_B.csv
1352,1,상큼하고 달콤한 베리 향을 찾고 있어. 딸기 샴푸처럼 발랄하면서도 너무 유치하지 않은 느낌이면 좋겠어.,1,32_evalset_batch1_generated_B.csv
1352,2,기분이 확 좋아지는 과즙 가득한 향이면 좋겠어. 잘 익은 붉은 열매 느낌에 은근히 세련된 분위기도 있었으면 해.,1,32_evalset_batch1_generated_B.csv
1352,3,달콤한 과일 향을 좋아하는데 단순한 사탕 냄새는 싫어. 새콤한 베리와 포근한 단향이 함께 느껴졌으면 좋겠어.,1,32_evalset_batch1_generated_B.csv
1475,1,가을겨울에 포근하게 쓸 달콤한 향을 찾고 있어. 크림처럼 부드럽고 따뜻하면서 살짝 이국적인 느낌이면 좋겠어.,2,32_evalset_batch2_generated_B.csv
1475,2,추운 날 니트와 잘 어울리는 성숙한 단향이면 좋겠어. 달콤한 나무진과 크림 같은 부드러움이 있었으면 해.,2,32_evalset_batch2_generated_B.csv
1475,3,흔한 디저트 향과는 다른 겨울 향을 원해. 따뜻하고 달달하지만 깊이가 있고 편안하게 감싸는 느낌이면 좋겠어.,2,32_evalset_batch2_generated_B.csv
1485,1,회사에서 쓰기 좋은 부드러운 장미 향을 찾고 있어. 여성스럽고 산뜻하면서 공기처럼 가벼웠으면 좋겠어.,3,32_evalset_batch3_generated_B.csv
