expression,accords,reasoning,latency_sec,error
화사한 꽃 향,floral|white floral|rose,"‘화사한 꽃 향’은 꽃 내음을 직접적으로 가리켜 floral이 가장 가깝고, 화사함/밝은 느낌으로 white floral, 구체적인 꽃 계열로 rose까지 순서대로 추정됩니다.",3.085,
감귤의 산뜻함이 섞인 느낌,citrus|fresh,"감귤(시트러스)의 산뜻한 느낌이 직접적으로 드러나며, 전체적으로 fresh 톤이 함께 연상됩니다.",1.264,
무겁지 않게,,"“무겁지 않게”는 향의 구체적인 향 노트(예: 시트러스, 플로럴, 파우더리 등)가 아닌 강도/인상만 표현한 것으로 목록의 향 accord에 매칭할 수 없습니다.",2.625,
달지 않게,,"‘달지 않게’는 향의 특정 아코드(예: sweet, sour 등)로 직접 대응되지 않고 단순한 강도/표현이라서 목록 중 가장 가까운 것을 고르기 어렵습니다.",2.66,
체취처럼 은은하게 남는 향이 중심,musky|amber,‘체취처럼 은은하게 남는’은 피부 가까이에서 오래 남는 머스크/머스크+앰버의 잔향 뉘앙스에 가장 가깝습니다.,2.444,
따뜻하고 묵직한 느낌,amber|warm spicy,‘따뜻하고 묵직한’은 향이 무겁고 포근한 인상을 주는 경우가 많아 앰버 계열의 고온감/묵직함과 따뜻한 스파이시 무드로 가장 가깝습니다.,2.45,
과일의 달콤함도 조금,fruity|sweet,‘과일의 달콤함’으로 달콤한 과일 향을 직접적으로 지칭하므로 fruity와 sweet이 가장 가깝습니다.,2.582,
자연스럽게 느껴지는 향,fresh,‘자연스럽게 느껴지는 향’은 특정 소재의 뉘앙스보다 전체적으로 맑고 자연스러운 인상에 가까워 ‘fresh’로 가장 단순하게 매칭됩니다.,2.286,
향긋한 풀 느낌,green|fresh|earthy,"‘향긋한 풀’은 신선한 풀 냄새의 전형이라 green과 fresh 쪽이 가장 가깝고, 완전히 무기/비누 느낌보다는 약간의 흙내(earthy) 뉘앙스가 동반되는 경우가 많습니다.",1.676,
매콤한 느낌이 강함,fresh spicy|soft spicy|spice,"‘매콤한 느낌’은 향에서 보통 스파이시 계열로 해석되어 그중 신선한 매콤함( fresh spicy )이 가장 가깝고, 다음으로 부드러운 매콤함( soft spicy ) 및 일반 스파이스( spice )로 분류할 수 있습니다.",2.95,
축축한 흙냄새 원함,earthy|wet plaster|clay,"‘축축한 흙냄새’는 대표적으로 earthy(흙/축축한 흙 느낌)에 가장 가깝고, 비슷한 계열로 wet plaster와 clay의 축축한 질감 뉘앙스가 추가로 연상됩니다.",1.382,
앞부분은 밝은 감귤 향,citrus,‘밝은 감귤 향’에서 감귤의 핵심 뉘앙스가 시트러스(citrus)로 가장 가깝습니다.,1.274,
뒤로 갈수록 가죽과 연기 냄새,leather|smoky,표현에 ‘가죽’과 ‘연기’가 직접적으로 언급되어 각각 leather와 smoky에 가장 가깝습니다.,1.162,
너무 무겁지 않게,,"표현 '너무 무겁지 않게'는 향의 구체적인 소재/노트(예: 시트러스, 플로럴, 파우더리 등)가 없어 accord로 매칭할 수 없습니다.",1.271,
포근한 파우더 향,powdery,‘파우더 향’은 보송하고 가루 같은 질감의 향을 의미해 powdery에 가장 가깝습니다.,0.961,
부드러운 꽃 향이 중심,floral|soft spicy,"‘부드러운 꽃 향’으로 꽃(플로럴) 계열이 가장 직접적이며, 꽃이 부드러운 인상을 줄 때 ‘soft spicy’가 보조적으로 가깝습니다.",1.275,
피부에 가까운 깨끗한 냄새,soapy|fresh,‘피부에 가까운 깨끗한 냄새’는 비누처럼 깨끗하고(soapy) 상쾌한(fresh) 인상을 가장 먼저 떠올리게 합니다.,1.33,
따뜻하고 묵직한 향,amber|warm spicy|woody,"‘묵직하고 따뜻한’ 느낌은 앰버 계열의 따뜻한 중후함과 가장 가깝고, 이어서 warm spicy 및 woody 톤도 함께 떠올릴 수 있습니다.",1.945,
장작을 태운 듯한 연기 냄새가 강했으면 함,smoky|foresty|asphault,"장작을 태울 때 나는 연기/그을림 인상이 강해서 smoky가 가장 가깝고, 장작의 산림 느낌을 foresty로, 그을음·탄 냄새의 무게감을 asphault로 최대한 보완했습니다.",1.472,
살짝 알싸한 느낌,fresh spicy|soft spicy|spice,"‘알싸한’은 자극적인 매운 느낌으로, 목록에서 가장 가까운 스파이시 계열 중 fresh spicy와 soft spicy를 1~2순위로 보고 마지막으로 일반 spice를 선택했습니다.",2.334,
"진한 향(담배잎, 흙내음)",tobacco|earthy,"담배잎의 ‘진한 향’은 tobacco에, ‘흙내음’은 earthy에 가장 가깝습니다.",1.265,
부드러운 체취 느낌,soapy|musky,‘부드러운 체취’는 비누같은 포근한 이미지를 주는 soapy와 은은한 피부 향의 musky 뉘앙스가 가장 가깝습니다.,1.077,
장미가 함께 남,rose|floral,"‘장미’가 직접적으로 드러나므로 rose를 1순위로, 장미의 공존/분위기는 floral 쪽과도 가장 가깝습니다.",1.248,
성숙한 분위기,,"‘성숙한 분위기’는 향의 구체적인 소재(예: 우디, 향신료, 플로럴 등)를 지칭하지 않아 accord로 매칭할 수 없습니다.",1.264,
추운 날 어울리는,fresh|woody,"‘추운 날 어울리는’은 직접적인 향 성격을 특정하긴 어렵지만 보통 차갑고 상쾌한 느낌으로 ‘fresh’ 계열이 가장 가깝고, 계절감상 ‘woody’ 쪽도 함께 연상됩니다.",1.672,
신비롭고 어두운 향,amber|animalic|oud,‘어두운’ 분위기를 연상시키는 앰버 계열의 무게감과 동물성/어두운 우드 계열의 이미지로 가장 가깝습니다.,1.299,
은근한 단맛,sweet|gourmand|caramel,"‘은근한 단맛’은 단맛 계열이 가장 직접적이라 sweet를 1순위로 보고, 단맛이 주로 느껴지는 경우 gourmand 또는 캐러멜 같은 계열이 함께 매칭될 수 있어 추가로 제안했습니다.",1.884,
고전적이고 우아한 분위기,aromatic|woody,‘고전적이고 우아한’ 뉘앙스는 대체로 클래식한 향조(아로마틱)와 우디한 고급스러움으로 가장 가깝습니다.,1.01,
겨울에 코트 입고 뿌리기 좋음,,‘겨울에 코트 입고 뿌리기 좋음’은 계절·사용 맥락의 문장이어서 특정 향의 뉘앙스를 직접 나타내지 않습니다.,0.952,
묵직한 향,amber|musky|earthy,"‘묵직한 향’은 보통 무겁고 진한 계열로, 앰버/머스키/어시 계열의 풍부한 잔향을 가장 가깝게 떠올릴 수 있습니다.",1.262,
차갑고 금속적인 첫 느낌,metallic,“차갑고 금속적인”의 표현이 금속성(금속 느낌) 어코드와 가장 직접적으로 일치합니다.,2.764,
첫 느낌 뒤에 부드러운 단향이 남는 느낌,soft spicy|powdery|sweet,"“부드러운 단향”은 자극적이지 않은 향의 잔향으로 ‘soft spicy’가 가장 가깝고, ‘단향’은 잔향의 달콤함을 ‘sweet’로, 또한 부드럽게 마무리되는 타입은 ‘powdery’로 함께 추정됩니다.",1.339,
옛날 영화 같은 고전적인 향,,"‘옛날 영화 같은 고전적인 향’은 특정 향 노트(예: 달콤함, 우디, 파우더리 등)를 지칭하지 않아 accord를 확정할 수 없습니다.",0.954,
어둡고 몽환적,,“어둡고 몽환적”은 향의 특정 노트(예: 향료/재료/질감)를 직접 지칭하지 않아 accord로 매칭할 근거가 없습니다.,1.692,
살짝 달콤함,sweet|fruity|vanilla,"표현이 ‘살짝 달콤함’으로 단맛 뉘앙스가 가장 강해 sweet를 1순위로 두었고, 달콤함을 흔히 감싸는 방향으로 fruity와 vanilla를 추가 후보로 선택했습니다.",1.768,
가볍지 않게,,"‘가볍지 않게’는 향의 구체적 원료/노트(예: 우디, 앰버, 스파이스 등)를 특정하지 못하는 표현이라 목록의 어떤 accord에도 확실히 매칭되지 않습니다.",1.361,
나이 상관없이 편하게 쓸 여름 향,fresh|citrus,"‘여름 향’과 ‘편하게 쓸’ 뉘앙스에서 가볍고 상쾌한 계열로 가장 가까운 것은 fresh이며, 여름 표현에서 흔히 따라오는 시트러스(citrus)도 함께 추정됩니다.",1.318,
갓 씻은 듯 깔끔함,fresh|soapy,“갓 씻은 듯 깔끔함”은 방금 씻은 느낌의 청결/비누 같은 뉘앙스라서 fresh와 soapy가 가장 가깝습니다.,1.754,
가을겨울에 어울리는 향,,"표현은 계절적 분위기(가을·겨울)를 말할 뿐, 특정 향 성격(예: woody, spice, amber 등)이 없어 accord로 매칭할 수 없습니다.",1.095,
신비로운 분위기,,'신비로운 분위기'는 향의 구체적인 냄새(예: 꽃/우디/스파이시 등)를 특정하지 못해 accord로 매칭할 수 없습니다.,1.223,
가볍게 퍼지는 느낌,,‘가볍게 퍼지는 느낌’은 향의 구체적인 소재/성격을 지칭하지 않아(공기감·확산감 등은 공통 표현) accord 목록에서 가장 가까운 항목을 특정할 수 없습니다.,0.953,
안쪽에는 어둡고 깊은 분위기,amber,“어둡고 깊은 분위기”는 향에서 보통 앰버의 진하고 스모키-레진 같은 무게감 이미지와 가장 가깝습니다.,1.338,
살짝 어두운 느낌,,"특정 향 성격(예: amber, cacao, smoky 등)으로 직접 매칭되는 구체 단어가 아니라 ‘어두운 느낌’은 향 표현으로 분류하기 어렵습니다.",1.506,
차분한 분위기,,"“차분한 분위기”는 직접적인 향의 단서(예: 과일, 꽃, 우디 등)가 없어 목록의 어떤 accord와도 근거 있게 매칭하기 어렵습니다.",2.012,
복잡한 느낌,,"‘복잡한 느낌’은 특정 향 성격(예: 플로럴, 우디, 스파이시 등)을 지칭하지 않아 accord 목록 중 가장 가까운 것을 특정할 수 없습니다.",1.298,
세련된 분위기,,‘세련된 분위기’는 향의 구체적 성격(예: 꽃/우디/머스크 등)을 나타내지 않아 accord로 매칭할 수 없습니다.,1.325,
흔하지 않음,,"표현 '흔하지 않음'은 향의 성격(예: 과일, 우디, 스파이시 등)과 무관한 설명이라 목록의 향 accord로 매칭할 수 없습니다.",1.319,
여러 느낌이 겹치는 향,,"""여러 느낌이 겹치는 향""은 특정한 향 계열(예: 장미, 바닐라, 머스크 등)을 지칭하지 않고 단순한 묘사라서 accord 목록에서 가장 가까운 것을 고르기 어렵습니다.",1.559,
공기처럼 가벼운 부분과 묵직한 어두움이 함께 있었으면 함,amber|woody,‘묵직한 어두움’과 ‘어두운 존재감’이 어울리는 앰버/우디 계열의 무게감 표현이라서 가장 가깝습니다.,1.713,
성숙하고 우아한 꽃향,floral|white floral|violet,"성숙하고 우아한 ‘꽃향’은 가장 먼저 florals로 해석되고, 그 분위기는 화이트 플로럴/바이올렛 계열의 우아한 느낌으로 가장 가깝습니다.",1.461,
달콤하지만 사탕 같지 않게,sweet|gourmand|caramel,"달콤하다는 뉘앙스에 가장 가까운 accord는 sweet이고, 사탕 같은 인상이 아니라 디저트류로 느껴질 여지가 있어 gourmand를 우선으로, 달콤한 디저트/당류 느낌을 보강하는 caramel을 마지막으로 선택했습니다.",1.959,
보송한 꽃가루 느낌,powdery|floral,보송하고 가루처럼 느껴지는 꽃가루 뉘앙스는 'powdery'와 꽃의 결을 뜻하는 'floral'에 가장 가깝습니다.,2.369,
풍성한 꽃가루 느낌,floral,‘꽃가루 느낌’은 꽃 향의 미세한 입자감과 어울려 가장 가까운 accord는 floral입니다.,1.071,
고급스러운 꽃향,floral,고급스러운 ‘꽃향’은 향의 핵심이 꽃 내음이므로 accord의 'floral'에 가장 가깝습니다.,1.487,
달큰하고 화려하지만 차분하고 성숙하게 느껴짐,sweet|floral|amber,"‘달큰하고’는 sweet, ‘화려하지만’은 floral, ‘차분하고 성숙하게’는 따뜻하고 성숙한 인상인 amber에 가장 가깝습니다.",2.296,
평범하지 않은 향,,"“평범하지 않은 향”은 향의 특정 특징(예: 과일, 우디, 머스크 등)이 없어 accord로 매칭할 근거가 없습니다.",1.061,
이야기가 느껴지는 향,aromatic|sweet|woody,"‘이야기가 느껴지는 향’은 묘사상 분위기/내러티브를 연상시키는 일반적인 향으로, 향기 성격을 이루는 ‘aromatic’ 느낌과 함께 ‘sweet’한 인상 및 ‘woody’한 잔상이 동반된 경우가 많기 때문입니다.",1.244,
오래된 가죽 같은 느낌,leather,‘오래된 가죽’은 향에서 가죽(Leather) 뉘앙스와 가장 직접적으로 대응됩니다.,1.264,
마른 풀 같은 느낌,green|earthy|herbal,"마른 풀의 건조하고 초록/풋풋한 식물 느낌과 함께 흙내·허브 같은 자연스러운 공기가 연상되어 green, earthy, herbal 순으로 가장 가깝습니다.",1.374,
뒤에 편안함이 남는 느낌,,"‘뒤에 편안함이 남는 느낌’은 향의 특정한 질감/노트(예: floral, vanilla 등)를 지칭하지 않아 accord 목록과 매칭할 근거가 부족합니다.",1.291,
귀엽고 여성스러운,,"“귀엽고 여성스러운”은 향의 구체적인 냄새(예: 과일, 플로럴, 머스크 등)를 지칭하지 않는 성향/인상 표현이라 accord로 매칭할 수 없습니다.",1.058,
디저트 같은 향,gourmand,‘디저트 같은 향’은 단맛의 디저트 계열로 해석되어 가장 포괄적인 gourmand에 가깝습니다.,0.895,
따뜻하고 달콤,sweet|warm spicy,"“따뜻하고 달콤”은 ‘달콤’의 직접적인 뉘앙스가 있어 sweet에 가장 가깝고, ‘따뜻’은 향에서 보통 warm spicy 쪽으로 해석되는 경우가 많습니다.",1.369,
데이트할 때 잘 어울림,,‘데이트할 때 잘 어울림’은 향의 구체적 특성이 아니라 상황/용도 표현이라 accord로 매칭할 수 없습니다.,1.069,
따뜻한 단향,amber|soft spicy|sweet,"'따뜻한 단향'은 전반적으로 포근한 느낌의 베이스로 해석되어 amber와, 향신 느낌이면 soft spicy까지 함께 고려했으며 다소 달콤한 뉘앙스가 있을 때 sweet가 근접합니다.",1.786,
맛있는 간식이 떠오르는 느낌,gourmand|cacao|caramel,"‘맛있는 간식’은 디저트류의 달콤하고 먹음직한 뉘앙스로 gourmand 계열이 가장 가깝고, 구체적으로 초콜릿/캐러멜 같은 간식 향 방향이 함께 떠올라 보입니다.",1.613,
여성스럽고 발랄했으면 좋겠어,floral|fresh|fruity,‘여성스럽고 발랄’은 보통 생기 있는 플로럴/프루티 계열의 느낌에 가장 가깝습니다.,1.535,
남녀 구분 없이 사용 가능한 향,fresh|aromatic|floral,"표현이 '남녀 구분 없이 사용 가능한 향'으로 특정 원료/노트를 제시하지 않아, 무난하게 떠올릴 수 있는 보편적 계열(신선/방향/플로럴) 중 가장 가까운 느낌으로 선택했습니다.",1.03,
씻고 나온 듯 산뜻한 향,fresh|soapy,‘씻고 나온 듯 산뜻한’ 표현은 향이 깔끔하고 샤워한 느낌이라 fresh와 soapy로 가장 가깝습니다.,0.999,
시간이 지나면 깊어지는 느낌,amber,시간이 지나면서 향이 깊어지고 진해지는 뉘앙스가 앰버 계열의 숙성·깊어짐 이미지와 가장 가깝습니다.,0.924,
복잡하거나 화려하지 않은 향,fresh|aromatic|woody,"“복잡하거나 화려하지 않은 향”은 대체로 튀지 않는 깔끔한 느낌으로, 무난한 신선함·아로마틱·우디 계열의 보편적 이미지에 가장 가깝습니다.",1.522,
갓 씻은 듯 깨끗한 느낌,fresh,‘갓 씻은 듯 깨끗한 느낌’은 방금 샤워한 듯 산뜻한 청량감으로 가장 잘 맞는 ‘fresh’를 우선으로 선택했습니다.,0.979,
부드럽고 편안한 느낌,fresh|floral|powdery,"“부드럽고 편안한 느낌”은 과도한 개성보다 순한 분위기를 떠올리게 하며, 그중 신선하고( fresh ) 산뜻한 꽃계열( floral ) 및 보송한 느낌( powdery )이 가장 가깝습니다.",1.104,
더운 날에 조용하게 사용,fresh,‘더운 날에 조용하게 사용’은 땀·무거움보다는 시원하고 산뜻한 사용감을 연상시켜 fresh와 가장 가깝습니다.,0.955,
가볍고 청초한 느낌,fresh|floral,"“가볍고 청초한 느낌”은 향이 가볍고 산뜻한 인상이라 fresh를, 청초함의 뉘앙스는 floral로 가장 가깝습니다.",1.266,
향을 맡으면 기분이 차분해지길 원함,,,0.96,"JSONDecodeError: Expecting ',' delimiter: line 1 column 51 (char 50)"
데이트할 때,,‘데이트할 때’는 향의 소재나 노트를 묘사하지 않고 상황 표현이라 향 표현으로 매칭할 근거가 없습니다.,1.641,
부드러운 꽃향,floral,“부드러운 꽃향”은 향의 핵심이 꽃(플로럴) 느낌이라서 ‘floral’에 가장 가깝습니다.,0.931,
흔한 장미 향과는 다르게,rose|floral,"표현에 ‘장미’가 직접 언급되어 가장 가까운 accord는 rose이며, 장미는 일반적으로 floral 계열의 뉘앙스도 함께 포함됩니다.",1.358,
남녀 모두 자연스럽게 사용,,주어진 표현은 특정 향의 소재/뉘앙스를 나타내지 않고 성별 사용 가능 여부만 말해 향과 무관합니다.,0.838,
