note,perfume_count,occurrence_count,candidate_term,relation_type,canonical_term,parent_term,confidence,evidence_count,evidence_sources,decision_reason,manual_review_required
Musk,49244,49571,Musk-Like,SAME_CONCEPT,Musk-Like,,HIGH,2,IFF | IFRA,OFFICIAL_CATEGORY_EQUIVALENCE: official evidence supports a canonical term-level equivalence.,False
Jasmine,33686,33952,Jasmine absolute | Jasmine CO2 extract | Jasmine concrete | Jasmine concrete (waxes twice extracted) | Jasmine oil,FAMILY,Jasmine,,MEDIUM,1,IFRA,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",True
Tonka Bean,14188,14228,Tonka bean absolute | Tonka bean extract | Tonka bean resinoid | Tonka bean tincture,FAMILY,Tonka Bean,,MEDIUM,1,IFRA,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",True
Mandarin Orange,11646,11652,,UNRESOLVED,Mandarin Orange,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
Orange Blossom,11479,11545,,UNRESOLVED,Orange Blossom,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
Leather,10626,10754,Leathery,RELATED,Leather,Leathery,MEDIUM,1,IFRA,"RELATED_DESCRIPTOR_ONLY: IFRA contains a closely related descriptor, but official equivalence to the note concept is not explicit.",True
Cardamom,10562,10582,Cardamom seed absolute | Cardamom seed CO2 extract | Cardamom seed distillate | Cardamom seed extract | Cardamom seed oil,FAMILY,Cardamom,,MEDIUM,1,IFRA,"STAGE17_MATERIAL_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",True
Pink Pepper,10387,10395,,UNRESOLVED,Pink Pepper,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
Oakmoss,8737,8763,Oakmoss absolute | Oakmoss absolute (low atranol & chloratranol) | Oakmoss extract,FAMILY,Oakmoss,,MEDIUM,1,IFRA,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",True
Lily-of-the-Valley,7339,7366,,UNRESOLVED,Lily-of-the-Valley,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
Ylang-Ylang,7086,7111,"Ylang ylang absolute | Ylang ylang oil | Ylang ylang oil (low para cresol methylether) | Ylang ylang oil extra | Ylang ylang oil I | Ylang ylang oil II | Ylang ylang oil III | Ylang ylang oil, rectified",FAMILY,Ylang-Ylang,,MEDIUM,1,IFRA,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",True
Ambergris,6452,6499,Ambergris tincture,FAMILY,Ambergris,,MEDIUM,1,IFRA,"MATERIAL_FORM_FAMILY: official IFRA material names support only a material-family candidate, not note identity.",True
Agarwood (Oud),5939,6134,Agarwood,SAME_CONCEPT,Agarwood,,HIGH,2,Givaudan | IFRA,OFFICIAL_PAIRED_NAMING: official evidence supports a canonical term-level equivalence.,False
Freesia,5683,5696,,UNRESOLVED,Freesia,,LOW,1,IFRA,"No exact descriptor, verified official alias, or conservative material-family link was found in the allowed sources.",True
