query_id,query_type,query,resolution_status,resolution_rate,rank,perfume_id,name,brand,final_score,base_match_score,evidence_coverage,accord_match,note_match,season_match,daypart_match,popularity_magnitude,popularity_quartile,explanation,all_conditions_satisfied
Q001,ACCORD_ONLY,woody 향,RESOLVED,1.0,1,9,Eau des Merveilles,Hermès,1.0,1.0,1.0,1.0,,,,28057.0,Q4,이 향수의 계산 근거는 woody Accord 강도 100점입니다.,True
Q001,ACCORD_ONLY,woody 향,RESOLVED,1.0,2,10,Parfum des Merveilles,Hermès,1.0,1.0,1.0,1.0,,,,1192.0,Q4,이 향수의 계산 근거는 woody Accord 강도 100점입니다.,True
Q001,ACCORD_ONLY,woody 향,RESOLVED,1.0,3,21,Rouge Hermès,Hermès,1.0,1.0,1.0,1.0,,,,4645.0,Q4,이 향수의 계산 근거는 woody Accord 강도 100점입니다.,True
Q001,ACCORD_ONLY,woody 향,RESOLVED,1.0,4,34,Very Irresistible for men,Givenchy,1.0,1.0,1.0,1.0,,,,6544.0,Q4,이 향수의 계산 근거는 woody Accord 강도 100점입니다.,True
Q001,ACCORD_ONLY,woody 향,RESOLVED,1.0,5,36,Ysatis,Givenchy,1.0,1.0,1.0,1.0,,,,12904.0,Q4,이 향수의 계산 근거는 woody Accord 강도 100점입니다.,True
Q001,ACCORD_ONLY,woody 향,RESOLVED,1.0,6,83256,No. 04 Pour Femme,Marquisa Dubai,1.0,1.0,1.0,1.0,,,,39.0,Q2,이 향수의 계산 근거는 woody Accord 강도 100점입니다.,True
Q001,ACCORD_ONLY,woody 향,RESOLVED,1.0,7,83327,Atelier X-Berg,Hoermanseder,1.0,1.0,1.0,1.0,,,,41.0,Q2,이 향수의 계산 근거는 woody Accord 강도 100점입니다.,True
Q001,ACCORD_ONLY,woody 향,RESOLVED,1.0,8,83330,Tobacco & Oud,ABD Malik,1.0,1.0,1.0,1.0,,,,12.0,Q1,이 향수의 계산 근거는 woody Accord 강도 100점입니다.,True
Q001,ACCORD_ONLY,woody 향,RESOLVED,1.0,9,120251,Silk Spirit,The Exceptional,1.0,1.0,1.0,1.0,,,,17.0,Q1,이 향수의 계산 근거는 woody Accord 강도 100점입니다.,True
Q001,ACCORD_ONLY,woody 향,RESOLVED,1.0,10,120252,Limitless Sky,The Perfumist Ici ParisXL,1.0,1.0,1.0,1.0,,,,17.0,Q1,이 향수의 계산 근거는 woody Accord 강도 100점입니다.,True
Q002,ACCORD_ONLY,powdery 향,RESOLVED,1.0,1,94,Paris,Yves Saint Laurent,1.0,1.0,1.0,1.0,,,,19268.0,Q4,이 향수의 계산 근거는 powdery Accord 강도 100점입니다.,True
Q002,ACCORD_ONLY,powdery 향,RESOLVED,1.0,2,11952,No 3,Prudence Paris,1.0,1.0,1.0,1.0,,,,143.0,Q3,이 향수의 계산 근거는 powdery Accord 강도 100점입니다.,True
Q002,ACCORD_ONLY,powdery 향,RESOLVED,1.0,3,11957,No 10,Prudence Paris,1.0,1.0,1.0,1.0,,,,127.0,Q3,이 향수의 계산 근거는 powdery Accord 강도 100점입니다.,True
Q002,ACCORD_ONLY,powdery 향,RESOLVED,1.0,4,18687,Divine Passion,Yves d'Orgeval,1.0,1.0,1.0,1.0,,,,20.0,Q1,이 향수의 계산 근거는 powdery Accord 강도 100점입니다.,True
Q002,ACCORD_ONLY,powdery 향,RESOLVED,1.0,5,79972,Baby Bio Fofura,Chlorophylla,1.0,1.0,1.0,1.0,,,,7.0,Q1,이 향수의 계산 근거는 powdery Accord 강도 100점입니다.,True
Q002,ACCORD_ONLY,powdery 향,RESOLVED,1.0,6,85866,Brisk Breeze,The Dua Brand,1.0,1.0,1.0,1.0,,,,11.0,Q1,이 향수의 계산 근거는 powdery Accord 강도 100점입니다.,True
Q002,ACCORD_ONLY,powdery 향,RESOLVED,1.0,7,86925,Marble Bay,Lazure Perfumes,1.0,1.0,1.0,1.0,,,,439.0,Q4,이 향수의 계산 근거는 powdery Accord 강도 100점입니다.,True
Q002,ACCORD_ONLY,powdery 향,RESOLVED,1.0,8,91519,Crown Of Violets,ånd fragrances,1.0,1.0,1.0,1.0,,,,95.0,Q3,이 향수의 계산 근거는 powdery Accord 강도 100점입니다.,True
Q002,ACCORD_ONLY,powdery 향,RESOLVED,1.0,9,114458,No. 6 Dragon's Blood,Vampfangs,1.0,1.0,1.0,1.0,,,,6.0,Q1,이 향수의 계산 근거는 powdery Accord 강도 100점입니다.,True
Q002,ACCORD_ONLY,powdery 향,RESOLVED,1.0,10,122188,Temptation Unwrapped,Victoria's Secret,1.0,1.0,1.0,1.0,,,,7.0,Q1,이 향수의 계산 근거는 powdery Accord 강도 100점입니다.,True
Q003,ACCORD_ONLY,sweet 향,RESOLVED,1.0,1,11082,Urban Lovers for Him,Oriflame,1.0,1.0,1.0,1.0,,,,137.0,Q3,이 향수의 계산 근거는 sweet Accord 강도 100점입니다.,True
