expression,representative_expression,expression_type,query_count,query_ids,example_query_text,source_relation,source_term,source_families,source_sections,evidence_note
남자,남자,CONTEXT,22,UQ0007|UQ0023|UQ0041|UQ0047|UQ0085|UQ0089|UQ0106|UQ0109|UQ0110|UQ0111|UQ0121|UQ0123|UQ0126|UQ0127|UQ0129|UQ0132|UQ0135|UQ0136|UQ0138|UQ0139|UQ0141|UQ0178,30대 초반 남자가 쓰기 좋은 향수 추천해줘,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
우디,우디,DIRECT_SCENT,5,UQ0087|UQ0114|UQ0131|UQ0150|UQ0196,가을에 잘 어울리는 우디 향수 추천해줘,MATCHED,우디,Woods,0. 분류 기준 / Family 명칭|원천 문서 table line 1610,원천 문서 명시 표현/표기 변형과 정규화 일치
여름,여름,CONTEXT,5,UQ0015|UQ0016|UQ0042|UQ0085|UQ0132,여름에 뿌릴 향수 추천 좀.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
중성적인,중성적인,IMAGE,4,UQ0009|UQ0067|UQ0071|UQ0140,"중성적인 향수 뿌리고 싶어. 너무 여성스럽지 않되, 너무 남자 향수도 아니었으면 좋겠다.",MATCHED,중성적인,,원천 문서 line 1685|원천 문서 table line 1613,원천 문서 명시 표현/표기 변형과 정규화 일치
여자,여자,CONTEXT,4,UQ0018|UQ0083|UQ0124|UQ0143,여자친구가 생겼는데 여친한테 점수 딸만한 향기 없나...?,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
은은한,은은한,PERFORMANCE,4,UQ0030|UQ0056|UQ0091|UQ0139,사람 많은 곳에서도 너무 강하게 느껴지지 않는 은은한 향수를 추천해줘.,MATCHED,은은한,Floral|Soft Floral,원천 문서 line 1668|원천 문서 line 1683|핵심 형용사,원천 문서 명시 표현/표기 변형과 정규화 일치
파우더리,파우더리한,DIRECT_SCENT,3,UQ0111|UQ0177|UQ0190,남자가 쓰기 좋은 파우더리 향수 추천해줘,RELATED,파우더리한,Floral Amber|Soft Amber|Soft Floral,바닐라/통카 쪽으로 갈 때|원천 문서 line 1107|핵심 형용사,원천 표현과 부분 문자열 또는 굴절 어간 일치; 의미 동일성은 주장하지 않음
깔끔한,깔끔한,SENSORY,3,UQ0002|UQ0023|UQ0028,시트러스 계열의 깔끔한 향의 향수가 있어?,MATCHED,깔끔한,Aromatic Fougère|Citrus|Woods,모던 푸제르 쪽|베르가못/자몽 계열|핵심 형용사,원천 문서 명시 표현/표기 변형과 정규화 일치
부드러운,부드러운,SENSORY,3,UQ0067|UQ0078|UQ0114,중성적인 향수 원해. 약간 담백하고 부드러운데 엣지있는거?,MATCHED,부드러운,Citrus|Floral|Floral Amber|Fruity|Soft Amber|Soft Floral|Woods,과육 표현|복숭아/살구 계열|샌달우드 쪽|오렌지/만다린 계열|핵심 형용사|화이트 플로럴 쪽에서 자주 붙는 표현,원천 문서 명시 표현/표기 변형과 정규화 일치
회사,회사,CONTEXT,3,UQ0028|UQ0075|UQ0091,회사에서 매일 사용해도 부담 없는 깔끔한 향수 추천해줘.,NOT_FOUND,,,,원천 문서 명시 어휘에서 보수적 문자열/굴절 근거를 찾지 못함
