feature_type,feature_name,verified_definition,same_concept_aliases_json,definition_source
ACCORD,Champagne,,[],
ACCORD,Pear,,[],
ACCORD,alcohol,,[],
ACCORD,aldehydic,"Aldehydes vary: the more diluted they become, the greater the difference in smell. An overarching description is one of clean ironed linen. Aldehydes can be split into more specific profiles, such as citrus or ozonic. They are organic compounds found in natural oils (e.g. orange oil or rose oil) and are used at relatively low doses.",[],IFRA primary descriptor definition
ACCORD,almond,,[],
ACCORD,amber,"Amber is used to describe a complex note in fragrances that are a mixture of warm, woody and sweet notes that impart a rich and comforting character.",[],IFRA primary descriptor definition
ACCORD,animalic,,[],
ACCORD,anis,,[],
ACCORD,aquatic,,[],
ACCORD,aromatic,"Aromatic notes are complex notes that are sometimes also described as having a diffusive aroma. They may be recognized in cooking as culinary herbs and spices, but they have a full fragrance quality.",[],IFRA primary descriptor definition
ACCORD,asphault,,[],
ACCORD,bacon,,[],
ACCORD,balsamic,"Ingredients that smell balsamic tend to have a delicate smell that is slightly sweet and woody, and have been termed using natural resins and balsams exuded by some trees or shrubs.",[],IFRA primary descriptor definition
ACCORD,bbq,,[],
ACCORD,beeswax,,[],
ACCORD,bitter,,[],
ACCORD,brown scotch tape,,[],
ACCORD,cacao,,[],
ACCORD,camphor,,[],
ACCORD,cannabis,,[],
ACCORD,caramel,,[],
ACCORD,cherry,,[],
ACCORD,chocolate,,[],
ACCORD,cinnamon,,[],
ACCORD,citrus,"Citrus notes are given by the smell of fruit from the citrus family – such as orange, lemon or grapefruit.",[],IFRA primary descriptor definition
ACCORD,clay,,[],
ACCORD,coca-cola,,[],
ACCORD,coconut,,[],
ACCORD,coffee,,[],
ACCORD,conifer,,[],
ACCORD,earthy,Earthy notes are reminiscent of earth and mud. They are important when creating a fragrance that needs to impart the full character of a living flower or to give natural outdoor notes – allowing the creation of full landscape (e.g. a bed of roses on a wet day) as opposed to a single or specific smell.,[],IFRA primary descriptor definition
ACCORD,floral,"Floral notes belong to the large floral family that includes notes such as rose, jasmin, narcissus and others. Some fragrance materials have smells that are not one flower but multi-faceted, with a complex flowery character.",[],IFRA primary descriptor definition
ACCORD,foresty,,[],
ACCORD,fresh,,[],
ACCORD,fresh spicy,,[],
ACCORD,fruity,"Fruity notes belong to the non-citrus fruit family. This is a very large family that includes many fruit notes such as banana, apple and mango. Some fruit fragrance materials have smells that are not one fruit but multi-faceted, with a complex fruity character.",[],IFRA primary descriptor definition
ACCORD,gasoline,,[],
ACCORD,gourmand,"This very important fragrance group has been popular for a number of years – with a food-like smell that is sweet, sticky, or dessert-like. It includes caramel, fudge, chocolate and meringue.",[],IFRA primary descriptor definition
ACCORD,green,"Green is a broad descriptor that refers simply to those natural smell that are green – such as the distinctive scent of cut grass, hedgerow fruits flowers, and those green notes and many green materials that help impart natural smells in a more complex accord or mix of scents.",[],IFRA primary descriptor definition
ACCORD,herbal,"Herbal notes include culinary herbs (e.g. thyme, rosemary) that often have a green note and impart fresh nuances to a complex fragrance.",[],IFRA primary descriptor definition
ACCORD,honey,"Honey is used to describe materials that have honey characteristics – often sweet and cloying, but sometimes quite harsh and acidic.",[],IFRA primary descriptor definition
ACCORD,hot iron,,[],
ACCORD,industrial glue,,[],
ACCORD,iris,,[],
ACCORD,lactonic,,[],
ACCORD,lavender,,[],
ACCORD,leather,,[],
ACCORD,marine,"Marine covers smells that you expect to fine at the seashore – they tend to be fresh and sometimes ozonic, and often sea water-like.",[],IFRA primary descriptor definition
ACCORD,meat,,[],
ACCORD,metallic,,[],
ACCORD,milky,,[],
ACCORD,mineral,,[],
ACCORD,mossy,,[],
ACCORD,musky,,[],
ACCORD,nutty,,[],
ACCORD,oily,,[],
ACCORD,oud,,[],
ACCORD,ozonic,"Ozonic notes are fresh-smelling materials that don’t have a more specific note but may remind you of a fresh windy day. Sometimes they have a weak, almost chlorine-like smell.",[],IFRA primary descriptor definition
ACCORD,paper,,[],
ACCORD,patchouli,,[],
ACCORD,plastic,,[],
ACCORD,powdery,"Powdery fragrance ingredients are from a larger complex group that impart a warm, sometimes sweet or musky powdery smell.",[],IFRA primary descriptor definition
ACCORD,rose,,[],
ACCORD,rubber,,[],
ACCORD,rum,,[],
ACCORD,sake,,[],
ACCORD,salty,,[],
ACCORD,sand,,[],
ACCORD,savory,,[],
ACCORD,smoky,"These ingredients have a smoked or phenolic quality, reminding you of the smell from a bonfire or the smell of food burning.",[],IFRA primary descriptor definition
ACCORD,soapy,,[],
ACCORD,soft spicy,,[],
ACCORD,sour,,[],
ACCORD,spice,,[],
ACCORD,sweet,,[],
ACCORD,tennis ball,,[],
ACCORD,terpenic,,[],
ACCORD,tobacco,,[],
ACCORD,tropical,,[],
ACCORD,tuberose,,[],
ACCORD,vanilla,,[],
ACCORD,varnish,,[],
ACCORD,vinyl,,[],
ACCORD,violet,,[],
ACCORD,vodka,,[],
ACCORD,warm spicy,,[],
ACCORD,wet plaster,,[],
ACCORD,whiskey,,[],
ACCORD,white floral,,[],
ACCORD,wine,,[],
ACCORD,woody,"Woody notes are party of a large odor family that includes woods such as sandalwood or cedarwood, sometimes with smoky or leather nuances. Often warm and dry notes, they impart a rich complexity that can help a fragrance last longer.",[],IFRA primary descriptor definition
ACCORD,yellow floral,,[],
CANONICAL_NOTE,Agarwood,"IFRA lists 5 Agarwood oil/extract variants across 3 CAS values, all with Woody, Animal Like and Smoky descriptors.","[""Agarwood"", ""Agarwood (Oud)"", ""Oud""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Aldehydic,"IFRA's Aldehydic entry directly uses the corresponding note/category wording; the mapping changes only grammatical or category-label form. Definition: Aldehydes vary: the more diluted they become, the greater the difference in smell. An overarching description is one of clean ironed linen. Aldehydes can be split into more specific profiles, such as citrus or ozonic. They are organic compounds found in natural oils (e.g. orange oil or rose oil) and are used at relatively low doses.","[""Aldehydes""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Almond,,"[""Almond""]",
CANONICAL_NOTE,Amber,"Amber is used to describe a complex note in fragrances that are a mixture of warm, woody and sweet notes that impart a rich and comforting character.","[""Amber""]",IFRA primary descriptor definition
CANONICAL_NOTE,Ambroxide,"PubChem lists Ambroxan among the synonyms of Ambroxide, CID 10857465 and CAS 6790-58-5.","[""Ambroxan""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Amyl Salicylate,,"[""Amyl Salicylate""]",
CANONICAL_NOTE,Apple,,"[""Apple""]",
CANONICAL_NOTE,Apricot,,"[""Apricot""]",
CANONICAL_NOTE,Artemisia,,"[""Artemisia""]",
CANONICAL_NOTE,Banana,,"[""Banana""]",
CANONICAL_NOTE,Basil,,"[""Basil""]",
CANONICAL_NOTE,Benzoin,,"[""Benzoin""]",
CANONICAL_NOTE,Bergamot,,"[""Bergamot""]",
CANONICAL_NOTE,Bisabolene,,"[""Bisabolene""]",
CANONICAL_NOTE,Blackcurrant,IFRA contains 20 Blackcurrant descriptor rows and 6 Cassis principal-name variants whose descriptors include Blackcurrant.,"[""Black Currant"", ""Blackcurrant""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Blueberry,,"[""Blueberry""]",
CANONICAL_NOTE,Borneol,,"[""Borneol""]",
CANONICAL_NOTE,Brandy,,"[""Brandy""]",
CANONICAL_NOTE,Bread,,"[""Bread""]",
CANONICAL_NOTE,Butterscotch,,"[""Butterscotch""]",
CANONICAL_NOTE,Cacao Absolute,,"[""Cacao Absolute""]",
CANONICAL_NOTE,Cade oil,,"[""Cade oil""]",
CANONICAL_NOTE,Caramel,,"[""Caramel""]",
CANONICAL_NOTE,Caraway,,"[""Caraway""]",
CANONICAL_NOTE,Carnation,,"[""Carnation""]",
CANONICAL_NOTE,Carrot,,"[""Carrot""]",
CANONICAL_NOTE,Cashmeran,IFF uses Cashmeran as the exact official ingredient name and supplies its identity and olfactive profile.,"[""Cashmeran""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Cassis,,"[""Cassis""]",
CANONICAL_NOTE,Cedarwood,,"[""Cedarwood""]",
CANONICAL_NOTE,Celery,,"[""Celery""]",
CANONICAL_NOTE,Chamomile,,"[""Chamomile""]",
CANONICAL_NOTE,Cherry,,"[""Cherry""]",
CANONICAL_NOTE,Cherry Blossom,,"[""Cherry Blossom""]",
CANONICAL_NOTE,Chocolate,,"[""Chocolate""]",
CANONICAL_NOTE,Cinnamaldehyde,,"[""Cinnamaldehyde""]",
CANONICAL_NOTE,Cinnamon,,"[""Cinnamon""]",
CANONICAL_NOTE,Citrus,"Citrus notes are given by the smell of fruit from the citrus family – such as orange, lemon or grapefruit.","[""Citrus"", ""Citruses""]",IFRA primary descriptor definition
CANONICAL_NOTE,Clove,"IFRA applies the descriptor 'Clove' to 14 ingredient rows; the source term differs only by notes-label, plural, spacing, or hyphen form.","[""Clove"", ""Cloves""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Cocoa,,"[""Cocoa""]",
CANONICAL_NOTE,Coconut,,"[""Coconut""]",
CANONICAL_NOTE,Coffee,,"[""Coffee""]",
CANONICAL_NOTE,Coriander,,"[""Coriander""]",
CANONICAL_NOTE,Corn,,"[""Corn""]",
CANONICAL_NOTE,Coumarin,,"[""Coumarin""]",
CANONICAL_NOTE,Cucumber,,"[""Cucumber""]",
CANONICAL_NOTE,Cumin,,"[""Cumin""]",
CANONICAL_NOTE,Cyclamen,,"[""Cyclamen""]",
CANONICAL_NOTE,Cypress,,"[""Cypress""]",
CANONICAL_NOTE,Cypriol Oil,,"[""Cypriol Oil""]",
CANONICAL_NOTE,Dihydromyrcenol,,"[""Dihydromyrcenol""]",
CANONICAL_NOTE,Dried-Fruit,"IFRA applies the descriptor 'Dried-Fruit' to 5 ingredient rows; the source term differs only by notes-label, plural, spacing, or hyphen form.","[""Dried Fruits""]",scent_term_evidence_v0.3 SAME_CONCEPT
CANONICAL_NOTE,Ethyl Maltol,,"[""Ethyl Maltol""]",
CANONICAL_NOTE,Eucalyptus,,"[""Eucalyptus""]",
CANONICAL_NOTE,Eugenol,,"[""Eugenol""]",
