perfume_id,sentence_no,sentence,batch,src_file
6,1,하얀 꽃 향이 진하면서 깨끗한 비누처럼 밝은 느낌이 있었으면 좋겠어. 나무 향과 보송한 분냄새도 은근히 원해.,1,perfume_evalset_batch1_A.csv
6,2,단정하고 클래식한 향을 찾고 있어. 꽃 향과 깨끗한 세탁물 같은 느낌이 나고 포근한 분 향이 남았으면 좋겠어.,1,perfume_evalset_batch1_A.csv
6,3,꽃다발 같은 향에 숲의 나무 냄새가 섞였으면 좋겠어. 상쾌하면서도 화장품 파우더처럼 보송한 느낌도 있으면 해.,1,perfume_evalset_batch1_A.csv
19,1,나무와 허브 향이 진하면서 레몬처럼 상큼했으면 좋겠어. 초록 잎과 톡 쏘는 향신료 느낌도 원해.,4,perfume_evalset_batch4_A.csv
19,2,숲속 허브 정원을 걷는 듯한 향을 찾고 있어. 나무와 풀 냄새가 풍성하고 감귤 향도 선명하면 좋겠어.,4,perfume_evalset_batch4_A.csv
19,3,자연스럽고 상쾌한 향이면 좋겠어. 마른 나무와 초록 잎 향이 강하고 살짝 알싸한 느낌도 있었으면 해.,4,perfume_evalset_batch4_A.csv
28,1,따뜻하게 매콤한 향이 강하고 잘 익은 과일처럼 달콤했으면 좋겠어. 나무 향도 묵직하게 받쳐주면 해.,4,perfume_evalset_batch4_A.csv
28,2,가을겨울에 쓸 향으로 향신료 느낌이 진했으면 좋겠어. 과일의 단맛과 따뜻한 나무 냄새도 같이 원해.,4,perfume_evalset_batch4_A.csv
28,3,달콤한 과일에 따뜻한 향신료를 더한 듯한 향을 찾고 있어. 깊은 나무 향까지 느껴지면 좋겠어.,4,perfume_evalset_batch4_A.csv
57,1,레몬이나 오렌지처럼 상큼한 향이 확실했으면 좋겠어. 허브와 풋풋한 풀 냄새도 은은하게 나면 해.,3,perfume_evalset_batch3_A.csv
57,2,가볍고 깔끔한 감귤 향을 찾고 있어. 살짝 알싸하면서 초록 잎 같은 싱그러움도 있었으면 좋겠어.,3,perfume_evalset_batch3_A.csv
57,3,더운 날 쓰기 좋은 산뜻한 향이면 좋겠어. 상큼한 과일 향이 중심이고 나무 냄새는 가볍게만 원해.,3,perfume_evalset_batch3_A.csv
271,1,향긋한 허브와 달콤한 과일 향이 풍성했으면 좋겠어. 꽃과 약초 같은 싱그러운 느낌도 함께 원해.,3,perfume_evalset_batch3_A.csv
271,2,과일과 꽃이 섞인 밝은 향을 찾고 있어. 풋풋한 허브 냄새가 선명하고 은근한 단향도 있었으면 좋겠어.,3,perfume_evalset_batch3_A.csv
271,3,싱그러운 정원 같은 향이면 좋겠어. 달콤한 과일과 꽃 향이 나면서 약초 같은 자연스러움도 원해.,3,perfume_evalset_batch3_A.csv
284,1,하얀 꽃 향이 진하고 나무 냄새도 꽤 묵직했으면 좋겠어. 처음에는 감귤처럼 상큼하고 밝게 시작하면 해.,2,perfume_evalset_batch2_A.csv
284,2,화사한 꽃 향과 차분한 나무 향이 같이 나는 향을 원해. 레몬 같은 산뜻함과 노란 꽃 느낌도 있었으면 좋겠어.,2,perfume_evalset_batch2_A.csv
284,3,깨끗하고 고급스러운 꽃향이면 좋겠어. 흰 꽃이 중심이고 나무 향이 받쳐주면서 감귤의 상큼함도 원해.,2,perfume_evalset_batch2_A.csv
619,1,알싸하고 향긋한 향신료 느낌이 강했으면 좋겠어. 따뜻한 나무 향에 레몬 같은 상큼함도 같이 있으면 해.,2,perfume_evalset_batch2_A.csv
619,2,톡 쏘는 매콤함과 허브 향이 중심인 향을 찾고 있어. 나무 냄새가 묵직하게 받쳐주고 감귤 향도 조금 원해.,2,perfume_evalset_batch2_A.csv
619,3,깔끔하지만 따뜻한 향이면 좋겠어. 향신료의 알싸함이 선명하고 숲의 나무 향과 상큼함도 느껴졌으면 해.,2,perfume_evalset_batch2_A.csv
756,1,레몬이나 오렌지처럼 밝고 상큼한 향이 확실했으면 좋겠어. 나무 향은 가볍게 나고 전체적으로 깨끗하면 해.,2,perfume_evalset_batch2_A.csv
756,2,더운 날 부담 없이 쓸 산뜻한 향을 찾고 있어. 감귤 향이 중심이고 맑은 공기처럼 가벼운 느낌이면 좋겠어.,2,perfume_evalset_batch2_A.csv
756,3,처음부터 끝까지 상큼하고 깔끔했으면 좋겠어. 은은한 허브와 나무 냄새가 섞여 너무 단순하지 않았으면 해.,2,perfume_evalset_batch2_A.csv
1067,1,따뜻한 향신료 냄새가 강하고 나무 향도 깊었으면 좋겠어. 쌉싸름한 커피 향까지 느껴지면 해.,4,perfume_evalset_batch4_A.csv
1067,2,커피와 따뜻한 향신료를 같이 떠올리게 하는 묵직한 향을 찾고 있어. 흙내음 나는 나무 향도 원해.,4,perfume_evalset_batch4_A.csv
1067,3,가을겨울에 쓰기 좋은 진한 향이면 좋겠어. 매콤한 느낌과 볶은 커피 냄새가 나고 나무 향도 있었으면 해.,4,perfume_evalset_batch4_A.csv
1158,1,꽃향이 풍성하면서 레몬이나 귤처럼 상큼했으면 좋겠어. 전체적으로 가볍고 깨끗한 느낌이면 해.,4,perfume_evalset_batch4_A.csv
1158,2,봄에 쓰기 좋은 화사한 꽃 향을 찾고 있어. 감귤의 산뜻함이 섞이고 무겁거나 달지 않았으면 좋겠어.,4,perfume_evalset_batch4_A.csv
1158,3,생화와 상큼한 과일을 같이 떠올리게 하는 향이면 좋겠어. 맑고 산뜻해서 부담 없이 쓰고 싶어.,4,perfume_evalset_batch4_A.csv
1352,1,잘 익은 과일처럼 달콤한 향이 확실했으면 좋겠어. 너무 끈적하게 달기보다는 나무 향이 살짝 받쳐주면 좋겠어.,1,perfume_evalset_batch1_A.csv
1352,2,과즙 많은 과일 향을 중심으로 찾고 있어. 달달하지만 약간 향신료 느낌이 있고 끝에 상큼함도 조금 남으면 해.,1,perfume_evalset_batch1_A.csv
1352,3,달콤한 과일 바구니 같은 향이면 좋겠어. 은은한 나무 냄새와 새콤한 감귤 느낌이 섞여 너무 가볍지만 않았으면 해.,1,perfume_evalset_batch1_A.csv
1475,1,따뜻하고 포근한 향에 바닐라가 진하게 느껴졌으면 좋겠어. 라벤더와 보송한 분 향도 함께 있었으면 해.,2,perfume_evalset_batch2_A.csv
1475,2,"겨울에 쓰기 좋은 부드러운 향을 찾고 있어. 달콤한 바닐라와 은은한 향신료, 차분한 꽃 향이 같이 나면 좋아.",2,perfume_evalset_batch2_A.csv
1475,3,따뜻한 단향이 중심이지만 너무 디저트 같지는 않았으면 해. 라벤더와 파우더 같은 포근함도 같이 원해.,2,perfume_evalset_batch2_A.csv
1485,1,장미와 다른 꽃 향이 풍성하게 나고 포근한 살냄새도 강했으면 좋겠어. 전체적으로 산뜻하면 해.,3,perfume_evalset_batch3_A.csv
1485,2,생장미 꽃다발 같은 향을 찾고 있어. 깨끗한 피부 냄새가 섞이고 살짝 부드러운 향신료 느낌도 원해.,3,perfume_evalset_batch3_A.csv
1485,3,화사한 장미 향이 중심인데 너무 무겁지는 않았으면 좋겠어. 시원하고 포근한 느낌이 함께 나면 해.,3,perfume_evalset_batch3_A.csv
1673,1,레몬 같은 상큼함과 톡 쏘는 향신료 느낌이 강했으면 좋겠어. 나무 향도 진하고 전체적으로 산뜻하면 해.,2,perfume_evalset_batch2_A.csv
1673,2,상쾌하고 알싸한 향을 찾고 있어. 감귤 향이 확실하고 숲의 나무 냄새가 깊게 받쳐주면 좋겠어.,2,perfume_evalset_batch2_A.csv
1673,3,처음에는 시원한 감귤과 매콤함이 확 느껴졌으면 좋겠어. 뒤에는 나무 향이 남고 너무 달지는 않았으면 해.,2,perfume_evalset_batch2_A.csv
1681,1,레몬 같은 상큼함이 강하고 향긋한 허브 냄새가 났으면 좋겠어. 은은한 나무 향과 라벤더 느낌도 있으면 해.,2,perfume_evalset_batch2_A.csv
1681,2,깔끔하고 시원한 향을 찾고 있어. 감귤 향에 살짝 알싸한 느낌이 나고 뒤에는 차분한 꽃 향이 남았으면 해.,2,perfume_evalset_batch2_A.csv
1681,3,상쾌한 감귤과 허브 향이 중심이면 좋겠어. 너무 가볍지 않게 나무 냄새와 부드러운 라벤더도 같이 원해.,2,perfume_evalset_batch2_A.csv
1953,1,진한 단향에 가죽 냄새가 확실히 있었으면 좋겠어. 캐러멜처럼 눅진하고 포근한 체취 느낌도 같이 원해.,1,perfume_evalset_batch1_A.csv
1953,2,달콤하지만 거칠고 묵직한 향을 찾고 있어. 가죽과 캐러멜 향이 강하고 약간 동물적인 체취도 느껴지면 좋겠어.,1,perfume_evalset_batch1_A.csv
1953,3,캐러멜처럼 달달한 향에 오래된 가죽 느낌이 섞였으면 좋겠어. 깨끗하기보다는 진하고 야성적인 분위기를 원해.,1,perfume_evalset_batch1_A.csv
2072,1,잘 익은 과일처럼 달콤한 향이 강하고 나무 냄새도 진했으면 좋겠어. 따뜻하고 묵직한 느낌도 함께 원해.,2,perfume_evalset_batch2_A.csv
2072,2,달달한 과일 잼 같은 향을 찾는데 숲의 나무 향이 깊게 받쳐줬으면 해. 끝에는 감귤의 상큼함도 조금 있으면 좋아.,2,perfume_evalset_batch2_A.csv
2072,3,과일 향과 단향이 풍성하되 너무 가볍지 않았으면 좋겠어. 따뜻한 나무 냄새와 은은한 상큼함도 같이 원해.,2,perfume_evalset_batch2_A.csv
2802,1,꽃향이 풍성하면서 열대 지방 같은 밝은 분위기가 있었으면 좋겠어. 물가처럼 시원하고 산뜻하면 해.,3,perfume_evalset_batch3_A.csv
2802,2,화사한 꽃 향이 중심인데 무겁지 않았으면 좋겠어. 휴양지 느낌과 촉촉한 물 냄새가 함께 나면 좋아.,3,perfume_evalset_batch3_A.csv
2802,3,싱그러운 꽃밭과 바닷가를 같이 떠올리게 하는 향이면 좋겠어. 은은한 나무 향도 살짝 있었으면 해.,3,perfume_evalset_batch3_A.csv
3116,1,레몬처럼 상큼한 향이 강하고 과일 향도 은은하게 났으면 좋겠어. 살짝 알싸하면서 깔끔하면 해.,3,perfume_evalset_batch3_A.csv
3116,2,가볍고 시원한 감귤 향을 찾고 있어. 향긋한 허브와 과즙 있는 느낌이 같이 나면 좋겠어.,3,perfume_evalset_batch3_A.csv
3116,3,더운 날 부담 없이 쓸 향이면 좋겠어. 새콤한 과일 향이 중심이고 톡 쏘는 상쾌함도 있었으면 해.,3,perfume_evalset_batch3_A.csv
3166,1,라벤더 향이 진하고 달콤한 바닐라 느낌이 있었으면 좋겠어. 보송한 분냄새와 포근한 살냄새도 원해.,3,perfume_evalset_batch3_A.csv
3166,2,차분한 라벤더에 부드러운 단향이 섞인 향을 찾고 있어. 화장품 분처럼 보송하고 따뜻했으면 좋겠어.,3,perfume_evalset_batch3_A.csv
3166,3,잠들기 전 맡기 좋은 편안한 꽃향이면 좋겠어. 달콤하면서 포근하고 깨끗한 피부 같은 느낌도 있었으면 해.,3,perfume_evalset_batch3_A.csv
3247,1,향긋한 허브와 나무 향이 강하고 장미가 은은하게 섞였으면 좋겠어. 갓 뜯은 풀잎 같은 느낌도 있었으면 해.,2,perfume_evalset_batch2_A.csv
3247,2,숲과 허브 정원을 걷는 듯한 향을 찾고 있어. 초록 잎 냄새가 선명하고 장미 향이 살짝 더해지면 좋겠어.,2,perfume_evalset_batch2_A.csv
3247,3,달지 않고 자연스러운 향이면 좋겠어. 나무와 약초 같은 향이 중심이고 싱그러운 풀과 장미도 같이 느껴지면 해.,2,perfume_evalset_batch2_A.csv
3976,1,나무 향이 진하고 보송한 분냄새도 강했으면 좋겠어. 포근한 살냄새와 제비꽃 같은 은은한 꽃향도 원해.,4,perfume_evalset_batch4_A.csv
3976,2,차분한 숲 향에 화장품 분 같은 부드러움이 섞였으면 좋겠어. 깨끗한 피부 향도 은근하게 나면 해.,4,perfume_evalset_batch4_A.csv
3976,3,마른 나무 냄새가 중심인데 포근하고 보송했으면 좋겠어. 은은한 보랏빛 꽃 향도 함께 느껴지면 좋아.,4,perfume_evalset_batch4_A.csv
4575,1,따뜻하고 깊은 향에 허브 느낌이 진했으면 좋겠어. 가죽 냄새와 나무 향이 함께 나서 묵직한 분위기면 좋아.,1,perfume_evalset_batch1_A.csv
4575,2,차분한 남성적인 향을 찾고 있어. 향긋한 허브와 가죽 향이 강하고 뒤에는 따뜻한 나무 냄새가 남았으면 해.,1,perfume_evalset_batch1_A.csv
4575,3,가을겨울에 어울리는 진한 향이면 좋겠어. 허브와 오래된 가죽 느낌이 나고 은근히 매콤한 나무 향도 원해.,1,perfume_evalset_batch1_A.csv
4922,1,달콤한 향이 강하고 장미 냄새도 진하게 느껴졌으면 좋겠어. 부드러운 향신료와 다른 꽃 향도 같이 있으면 해.,2,perfume_evalset_batch2_A.csv
4922,2,장미에 설탕을 뿌린 듯한 달달한 꽃향을 찾고 있어. 너무 단조롭지 않게 은은한 매콤함도 있었으면 좋겠어.,2,perfume_evalset_batch2_A.csv
4922,3,화사하면서 달콤한 향이면 좋겠어. 장미가 중심이고 하얀 꽃 향과 부드러운 향신료 느낌도 같이 원해.,2,perfume_evalset_batch2_A.csv
5581,1,나무 향이 진하게 나고 따뜻한 향신료 느낌이 있었으면 좋겠어. 익은 과일의 달콤함도 살짝 섞이면 좋아.,1,perfume_evalset_batch1_A.csv
5581,2,차분한 숲속 같은 향을 찾는데 포근하게 매콤하고 과일 향도 느껴졌으면 해. 지나치게 달기보다는 묵직했으면 좋겠어.,1,perfume_evalset_batch1_A.csv
5581,3,가을이나 겨울에 쓸 향으로 나무 향이 중심이었으면 좋겠어. 따뜻한 향신료와 달콤한 과일 느낌도 같이 원해.,1,perfume_evalset_batch1_A.csv
6097,1,바닐라 향이 진하고 보송한 화장품 분냄새가 났으면 좋겠어. 마른 나무 향과 포근한 살냄새도 함께 원해.,1,perfume_evalset_batch1_A.csv
6097,2,달기만 한 바닐라보다 차분하고 포근한 향을 찾고 있어. 나무 냄새와 깨끗한 피부 같은 느낌이 섞이면 좋아.,1,perfume_evalset_batch1_A.csv
6097,3,따뜻한 바닐라와 파우더 같은 향이 중심이면 좋겠어. 숲의 마른 나무 향이 받쳐주고 너무 달지 않았으면 해.,1,perfume_evalset_batch1_A.csv
6693,1,하얀 꽃 향이 풍성하게 나면서 갓 꺾은 풀처럼 싱그러웠으면 좋겠어. 달콤한 과일 향은 살짝만 있었으면 해.,1,perfume_evalset_batch1_A.csv
6693,2,꽃집에 들어간 것처럼 진한 흰 꽃 향을 원해. 촉촉한 초록 잎과 깨끗한 공기 느낌이 같이 나면 좋겠어.,1,perfume_evalset_batch1_A.csv
6693,3,화사한 꽃향이 중심이지만 너무 달지는 않았으면 좋겠어. 생화의 풋풋함과 은은한 과일 향이 함께 느껴지면 해.,1,perfume_evalset_batch1_A.csv
6759,1,새 가죽 같은 향이 강하고 바닐라의 달콤함이 풍성했으면 좋겠어. 나무와 보송한 분 느낌도 같이 있으면 해.,1,perfume_evalset_batch1_A.csv
6759,2,가죽 향이 확실한데 너무 거칠지만은 않았으면 좋겠어. 달달한 바닐라와 부드러운 나무 향이 함께 나면 좋아.,1,perfume_evalset_batch1_A.csv
6759,3,묵직한 가죽 냄새에 달콤한 크림 느낌이 섞인 향을 찾고 있어. 끝에는 나무와 포근한 분 향이 남았으면 해.,1,perfume_evalset_batch1_A.csv
8700,1,레몬처럼 상큼하고 톡 쏘는 알싸함이 강했으면 좋겠어. 허브와 초록 잎 냄새도 같이 느껴지면 해.,4,perfume_evalset_batch4_A.csv
8700,2,시원한 감귤 향과 향신료 같은 상쾌함이 있는 향을 원해. 풋풋한 풀 향도 은근히 났으면 좋겠어.,4,perfume_evalset_batch4_A.csv
8700,3,더운 날 쓰기 좋은 산뜻한 향이면 좋겠어. 새콤한 과일 향이 중심이고 약초 같은 향긋함도 조금 원해.,4,perfume_evalset_batch4_A.csv
9558,1,나무 향이 진하고 깊은 향나무 냄새가 강했으면 좋겠어. 포근한 살냄새와 따뜻한 향신료 느낌도 원해.,3,perfume_evalset_batch3_A.csv
9558,2,묵직하고 어두운 숲 같은 향을 찾고 있어. 진한 나무와 따뜻한 매콤함이 나고 보송하게 마무리되면 좋겠어.,3,perfume_evalset_batch3_A.csv
9558,3,진하고 이국적인 나무 향이 중심이면 좋겠어. 포근한 피부 냄새와 따뜻한 향신료가 오래 남았으면 해.,3,perfume_evalset_batch3_A.csv
10131,1,깨끗하고 포근한 살냄새가 강하면서 따뜻하고 깊은 느낌도 있었으면 좋겠어. 나무 향도 은근히 원해.,4,perfume_evalset_batch4_A.csv
10131,2,피부에 자연스럽게 붙는 부드러운 향을 찾고 있어. 포근하지만 살짝 야성적인 느낌과 나무 냄새도 있으면 해.,4,perfume_evalset_batch4_A.csv
10131,3,체취처럼 은은하게 남는 향이 중심이면 좋겠어. 따뜻하고 묵직하면서 과일의 달콤함도 조금 있었으면 해.,4,perfume_evalset_batch4_A.csv
11238,1,계피처럼 따뜻하고 매콤한 향이 강하면서 달콤했으면 좋겠어. 바닐라의 포근함과 깊은 단향도 같이 원해.,2,perfume_evalset_batch2_A.csv
11238,2,겨울 디저트를 떠올리게 하는 향을 찾고 있어. 계피와 바닐라가 진하고 달달하면서 묵직한 느낌이면 좋겠어.,2,perfume_evalset_batch2_A.csv
11238,3,따뜻한 향신료와 설탕 같은 단향이 확실했으면 좋겠어. 계피가 선명하고 부드러운 바닐라도 같이 느껴지면 해.,2,perfume_evalset_batch2_A.csv
11560,1,고소한 아몬드 향이 진하고 바닐라처럼 부드럽고 달콤했으면 좋겠어. 보송한 분냄새도 함께 원해.,4,perfume_evalset_batch4_A.csv
11560,2,아몬드 과자와 바닐라 크림이 떠오르는 향을 찾고 있어. 포근한 분 향과 은은한 꽃향도 있으면 해.,4,perfume_evalset_batch4_A.csv
11560,3,달콤하고 고소한 향이 중심이면 좋겠어. 바닐라가 풍성하고 화장품 분처럼 부드럽게 마무리됐으면 해.,4,perfume_evalset_batch4_A.csv
12109,1,하얀 꽃 향이 풍성하고 장미도 진하게 느껴졌으면 좋겠어. 달콤한 과일과 포근한 살냄새도 살짝 있으면 해.,2,perfume_evalset_batch2_A.csv
12109,2,꽃다발처럼 화사한 향을 찾고 있어. 장미와 흰 꽃 향이 중심이고 잘 익은 과일의 달콤함도 같이 원해.,2,perfume_evalset_batch2_A.csv
12109,3,진한 꽃 향인데 너무 고전적이지 않았으면 좋겠어. 장미에 상큼달콤한 과일 향과 부드러운 피부 향이 섞이면 좋아.,2,perfume_evalset_batch2_A.csv
13737,1,허브 향이 진하고 톡 쏘는 알싸함이 있었으면 좋겠어. 나무와 젖은 흙 냄새가 깊게 느껴지면 해.,3,perfume_evalset_batch3_A.csv
13737,2,숲속 약초밭 같은 향을 찾고 있어. 흙과 나무 향이 묵직하고 차분한 라벤더도 함께 났으면 좋겠어.,3,perfume_evalset_batch3_A.csv
13737,3,달지 않고 자연스러운 향이면 좋겠어. 향긋한 풀과 매콤한 느낌이 강하고 축축한 흙냄새도 원해.,3,perfume_evalset_batch3_A.csv
14649,1,톡 쏘는 상쾌함이 강하고 레몬 같은 상큼함이 있었으면 좋겠어. 과일과 나무 향도 같이 느껴지는 향을 찾고 있어.,1,perfume_evalset_batch1_A.csv
14649,2,여름에 시원하게 쓸 향을 원해. 감귤 향이 선명하고 향신료처럼 알싸하면서 뒤에 숲 냄새가 남았으면 좋겠어.,1,perfume_evalset_batch1_A.csv
14649,3,첫 향은 레몬처럼 산뜻하고 살짝 매콤했으면 좋겠어. 달지 않은 과일 향과 마른 나무 느낌도 함께 있으면 해.,1,perfume_evalset_batch1_A.csv
14694,1,하얀 꽃 향이 진하면서 포근한 살냄새가 많이 났으면 좋겠어. 장미와 은은한 향신료 느낌도 함께 있으면 해.,2,perfume_evalset_batch2_A.csv
14694,2,깨끗하고 부드러운 꽃향을 찾고 있어. 흰 꽃이 중심이고 피부에 자연스럽게 붙는 포근함과 장미도 원해.,2,perfume_evalset_batch2_A.csv
14694,3,화사한 꽃다발 같은데 너무 가볍지는 않았으면 좋겠어. 부드러운 체취 느낌과 살짝 매콤한 장미 향도 있으면 해.,2,perfume_evalset_batch2_A.csv
15130,1,따뜻하고 묵직한 향이 중심이고 가죽 냄새가 느껴졌으면 좋겠어. 달콤함과 초록 잎 느낌도 살짝 있었으면 해.,1,perfume_evalset_batch1_A.csv
15130,2,겨울에 어울리는 깊은 향을 찾고 있어. 가죽과 달큰한 향이 나면서 은근히 매콤하고 풀잎 느낌도 있으면 좋겠어.,1,perfume_evalset_batch1_A.csv
15130,3,포근하면서도 진한 향이 좋겠어. 새 가죽 같은 느낌과 은은한 단향이 있고 마지막에는 풋풋한 풀 향이 남으면 해.,1,perfume_evalset_batch1_A.csv
15291,1,나무 향이 진하고 달콤한 과일과 바닐라가 같이 느껴졌으면 좋겠어. 하얀 꽃 향도 은은하게 섞이면 해.,2,perfume_evalset_batch2_A.csv
15291,2,숲의 나무 냄새가 중심인데 부드러운 바닐라와 과일 향이 더해졌으면 좋겠어. 너무 묵직하지만은 않았으면 해.,2,perfume_evalset_batch2_A.csv
15291,3,차분한 나무 향에 달달한 과일과 크림 같은 단향이 섞였으면 좋겠어. 뒤에는 흰 꽃 향도 살짝 남으면 해.,2,perfume_evalset_batch2_A.csv
16657,1,바닐라 향이 진한데 허브와 초록 잎 냄새도 선명했으면 좋겠어. 달기만 하지 않고 살짝 알싸하면 좋겠어.,2,perfume_evalset_batch2_A.csv
16657,2,달콤한 바닐라에 갓 뜯은 풀잎 같은 싱그러움이 섞인 향을 원해. 향긋한 허브 느낌도 강했으면 해.,2,perfume_evalset_batch2_A.csv
16657,3,포근한 단향이 중심이지만 산뜻한 풀 냄새도 많이 났으면 좋겠어. 끝에는 따뜻하고 깊은 느낌이 남으면 해.,2,perfume_evalset_batch2_A.csv
17140,1,코코넛 밀크 같은 향이 확실히 나고 달달했으면 좋겠어. 휴양지 느낌에 부드러운 우유 향도 있었으면 해.,1,perfume_evalset_batch1_A.csv
17140,2,여름 휴가 때 쓰려고 하는데 코코넛이 진하게 느껴지고 크리미했으면 좋겠어. 바닐라 단향은 은은하게 나면 좋아.,1,perfume_evalset_batch1_A.csv
17140,3,달콤한 코코넛 디저트 같은 향을 찾고 있어. 우유처럼 부드럽고 따뜻하면서 남국 휴양지 분위기였으면 좋겠어.,1,perfume_evalset_batch1_A.csv
17665,1,나무 향과 따뜻한 향신료 느낌이 아주 진했으면 좋겠어. 럼주와 가죽 냄새도 묵직하게 느껴지면 해.,4,perfume_evalset_batch4_A.csv
17665,2,술이 밴 나무통과 오래된 가죽을 떠올리게 하는 향을 원해. 따뜻하고 매콤한 느낌도 강했으면 좋겠어.,4,perfume_evalset_batch4_A.csv
17665,3,깊고 거친 분위기의 향을 찾고 있어. 마른 나무와 가죽이 중심이고 달큰한 술 향도 은근히 나면 해.,4,perfume_evalset_batch4_A.csv
18272,1,달콤한 과일 향이 진하고 하얀 꽃 향도 풍성했으면 좋겠어. 꿀처럼 부드러운 단향과 상큼함도 원해.,3,perfume_evalset_batch3_A.csv
18272,2,잘 익은 과일에 꿀을 뿌린 듯한 향을 찾고 있어. 화사한 흰 꽃이 섞이고 너무 무겁지는 않았으면 해.,3,perfume_evalset_batch3_A.csv
18272,3,과즙 있는 달콤한 향이 중심이면 좋겠어. 꽃과 꿀 냄새가 은은하게 나고 끝에는 감귤처럼 산뜻하면 해.,3,perfume_evalset_batch3_A.csv
22477,1,나무 향이 진하고 솔잎 같은 숲 냄새가 났으면 좋겠어. 향긋한 허브와 은은한 과일 단향도 같이 있으면 해.,2,perfume_evalset_batch2_A.csv
