query_id,system,field,outcome,gold_item,pred_item,gold_key,pred_key,match_tier,excess_tokens,resolution_status
UQ0001,rule,additional,FN,비가 온 뒤,,비가 온 뒤,,,,EMPTY_PREDICTION
UQ0001,rule,additional,FN,숲,,숲,,,,EMPTY_PREDICTION
UQ0002,rule,additional,FN,깔끔한,,깔끔한,,,,EMPTY_PREDICTION
UQ0002,rule,scent,TP,Citrus,citrus,citrus,citrus,EXACT,0.0,
UQ0003,rule,additional,FN,가격 적당,,가격 적당,,,,EMPTY_PREDICTION
UQ0003,rule,additional,FN,구색 갖추려고,,구색 갖추려고,,,,EMPTY_PREDICTION
UQ0004,rule,avoid,FN,달콤한,,sweet,,,,EMPTY_PREDICTION
UQ0005,rule,avoid,FN,너무 단,,너무 단,,,,EMPTY_PREDICTION
UQ0005,rule,scent,TP,Vanilla,vanilla,vanilla,vanilla,EXACT,0.0,
UQ0006,rule,scent,FN,Sea Notes,,sea notes,,,,EMPTY_PREDICTION
UQ0007,rule,additional,FN,30대 초반,,30대 초반,,,,EMPTY_PREDICTION
UQ0008,rule,scent,FN,Lemon Peel,,lemon peel,,,,EMPTY_PREDICTION
UQ0008,rule,scent,FN,Lemon Zest,,lemon zest,,,,EMPTY_PREDICTION
UQ0010,rule,avoid,FN,너무 느끼,,너무 느끼,,,,EMPTY_PREDICTION
UQ0010,rule,additional,FN,공주,,공주,,,,EMPTY_PREDICTION
UQ0010,rule,scent,FN,Cake,,cake,,,,EMPTY_PREDICTION
UQ0011,rule,avoid,FN,절 냄새,,절 냄새,,,,EMPTY_PREDICTION
UQ0011,rule,scent,FN,Trees,,trees,,,,EMPTY_PREDICTION
UQ0012,rule,additional,FN,깨끗한 냄새,,깨끗한,,,,EMPTY_PREDICTION
UQ0013,rule,additional,FN,머리 너무 안 아팠으면,,머리 너무 안 아팠으면,,,,EMPTY_PREDICTION
UQ0013,rule,scent,FN,Coconut,,coconut,,,,EMPTY_PREDICTION
UQ0014,rule,additional,FN,잘 모르는데 혹시 추천,,잘 모르는데 혹시 추천,,,,EMPTY_PREDICTION
UQ0016,rule,avoid,FN,향기 너무 많이 나면,,향기 너무 많이 나면,,,,EMPTY_PREDICTION
UQ0017,rule,additional,FN,어른스러운 느낌,,어른스러운,,,,EMPTY_PREDICTION
UQ0017,rule,additional,FN,34살,,34살,,,,EMPTY_PREDICTION
UQ0017,rule,additional,FN,금융맨,,금융맨,,,,EMPTY_PREDICTION
UQ0018,rule,additional,FN,여친한테 점수 딸만한,,여친한테 점수 딸만한,,,,EMPTY_PREDICTION
UQ0019,rule,additional,FN,옷에 향수,,옷에,,,,EMPTY_PREDICTION
UQ0019,rule,additional,FN,아무거나 추천,,아무거나 추천,,,,EMPTY_PREDICTION
UQ0020,rule,avoid,FN,입자가 너무 작은 건,,입자가 너무 작은,,,,EMPTY_PREDICTION
UQ0020,rule,additional,FN,분사 적당히 되는 거,,분사 적당히 되는,,,,EMPTY_PREDICTION
UQ0021,rule,additional,FN,이솝 테싯 퍼퓸,,이솝 테싯 퍼퓸,,,,EMPTY_PREDICTION
UQ0021,rule,additional,FN,체향에 잘 맞는,,체향에 잘 맞는,,,,EMPTY_PREDICTION
UQ0022,rule,avoid,FN,조말론 블랙베리,,조말론 블랙베리,,,,EMPTY_PREDICTION
UQ0023,rule,additional,FN,깔끔한,,깔끔한,,,,EMPTY_PREDICTION
UQ0024,rule,additional,FN,25살,,25살,,,,EMPTY_PREDICTION
UQ0024,rule,additional,FN,회사 취직,,회사 취직,,,,EMPTY_PREDICTION
UQ0024,rule,additional,FN,나한테 선물,,나한테 선물,,,,EMPTY_PREDICTION
UQ0025,rule,avoid,FN,부담,,부담,,,,EMPTY_PREDICTION
UQ0025,rule,additional,FN,소개팅,,소개팅,,,,EMPTY_PREDICTION
UQ0025,rule,additional,FN,좋은 인상,,좋은 인상,,,,EMPTY_PREDICTION
UQ0026,rule,additional,FN,조용,,조용,,,,EMPTY_PREDICTION
UQ0026,rule,additional,FN,차분한,,차분한,,,,EMPTY_PREDICTION
UQ0027,rule,additional,FN,지나갈 때 은은,,지나갈 때 은은,,,,EMPTY_PREDICTION
UQ0027,rule,additional,FN,좋은 냄새,,좋은,,,,EMPTY_PREDICTION
UQ0028,rule,additional,FN,회사,,회사,,,,EMPTY_PREDICTION
UQ0028,rule,additional,FN,매일 사용,,매일 사용,,,,EMPTY_PREDICTION
UQ0028,rule,additional,FN,부담 없는,,부담 없는,,,,EMPTY_PREDICTION
UQ0028,rule,additional,FN,깔끔한,,깔끔한,,,,EMPTY_PREDICTION
UQ0029,rule,additional,FN,처음 향수를 사는,,처음 향수를 사는,,,,EMPTY_PREDICTION
UQ0029,rule,additional,FN,무난하게 사용,,무난하게 사용,,,,EMPTY_PREDICTION
UQ0030,rule,avoid,FN,강하게,,강하게,,,,EMPTY_PREDICTION
UQ0030,rule,additional,FN,사람 많은 곳,,사람 많은 곳,,,,EMPTY_PREDICTION
UQ0030,rule,additional,FN,은은한,,은은한,,,,EMPTY_PREDICTION
UQ0031,rule,additional,FN,좋은 냄새,,좋은,,,,EMPTY_PREDICTION
UQ0032,rule,avoid,FN,강하면,,강하면,,,,EMPTY_PREDICTION
UQ0032,rule,additional,FN,부드럽,,부드럽,,,,EMPTY_PREDICTION
UQ0032,rule,additional,FN,편안한 향,,편안한,,,,EMPTY_PREDICTION
UQ0033,rule,avoid,FN,어려 보이지,,어려 보이지,,,,EMPTY_PREDICTION
UQ0033,rule,additional,FN, 20대 후반,,20대 후반,,,,EMPTY_PREDICTION
UQ0033,rule,additional,FN,세련된 향수,,세련된,,,,EMPTY_PREDICTION
UQ0034,rule,additional,FN,향수 뿌린 티 안나는,,향수 뿌린 티 안나는,,,,EMPTY_PREDICTION
UQ0035,rule,additional,FN,그냥 골라줘,,그냥 골라줘,,,,EMPTY_PREDICTION
UQ0036,rule,additional,FN,면접,,면접,,,,EMPTY_PREDICTION
UQ0037,rule,additional,FN,남자친구,,남자친구,,,,EMPTY_PREDICTION
UQ0038,rule,additional,FN,사계절,,사계절,,,,EMPTY_PREDICTION
UQ0039,rule,additional,FN,출근할때,,출근할때,,,,EMPTY_PREDICTION
UQ0039,rule,additional,FN,매일,,매일,,,,EMPTY_PREDICTION
UQ0039,rule,additional,FN,막 뿌릴,,막 뿌릴,,,,EMPTY_PREDICTION
UQ0040,rule,additional,FN,담배냄새랑 섞여도 이상하지 않은,,담배냄새랑 섞여도 이상하지 않은,,,,EMPTY_PREDICTION
UQ0041,rule,additional,FN,여자 향수,,여자,,,,EMPTY_PREDICTION
UQ0042,rule,additional,FN,땀냄새랑 섞여서 이상해지지 않는,,땀냄새랑 섞여서 이상해지지 않는,,,,EMPTY_PREDICTION
UQ0043,rule,additional,FN,향수 입문자,,향수 입문자,,,,EMPTY_PREDICTION
UQ0043,rule,additional,FN,괜찮은 향수,,괜찮은,,,,EMPTY_PREDICTION
UQ0044,rule,additional,FN,면세점에서 사기 좋은,,면세점에서 사기 좋은,,,,EMPTY_PREDICTION
UQ0045,rule,additional,FN,헬스장,,헬스장,,,,EMPTY_PREDICTION
UQ0045,rule,additional,FN,반응 좋은,,반응 좋은,,,,EMPTY_PREDICTION
UQ0046,rule,additional,FN,오늘,,오늘,,,,EMPTY_PREDICTION
UQ0046,rule,additional,FN,뿌리기 좋은,,뿌리기 좋은,,,,EMPTY_PREDICTION
UQ0047,rule,additional,FN,엄청 섹시한 느낌,,엄청 섹시한,,,,EMPTY_PREDICTION
UQ0048,rule,additional,FN,섬유유연제 향,,섬유유연제,,,,EMPTY_PREDICTION
UQ0048,rule,scent,FN,Soap,,soap,,,,EMPTY_PREDICTION
