entry_id,expression,aliases,expression_type,target_field,candidate_type,candidate_name,rank,required,match_condition,rationale,evidence_tier,corpus_support,standardness,status,source_query_ids
kr.term.top_note,탑노트,탑노트|탑|톱노트|탑 노트,PERFORMANCE,STAGE1_DIRECT,FIELD,notes.tiered.top,1,core,,탑노트는 향수를 뿌린 직후 먼저 올라오는 향이다. Fragrantica 스키마의 notes.tiered.top 에 직접 대응한다.,VERIFIED,,loanword,active,
kr.term.middle_note,미들노트,미들노트|미들|미들 노트|하트노트|미드노트,PERFORMANCE,STAGE1_DIRECT,FIELD,notes.tiered.middle,1,core,,미들노트는 탑노트가 날아간 뒤 중심이 되는 향이다. Fragrantica 스키마의 notes.tiered.middle 에 직접 대응한다.,VERIFIED,,loanword,active,
kr.term.base_note,베이스노트,베이스노트|베이스|베이스 노트|라스트노트,PERFORMANCE,STAGE1_DIRECT,FIELD,notes.tiered.base,1,core,,베이스노트는 가장 오래 남는 향이다. Fragrantica 스키마의 notes.tiered.base 에 직접 대응한다.,VERIFIED,,loanword,active,
kr.term.note,노트,노트|향조,PERFORMANCE,STAGE1_DIRECT,FIELD,notes,1,core,,노트는 향수에 들어간 향료를 뜻한다. 어느 단계인지 말하지 않았으므로 탑·미들·베이스를 구분하지 않고 전체를 가리킨다.,VERIFIED,,loanword,active,
kr.term.longevity,지속력,지속력|지속|지속성|지속 시간,PERFORMANCE,STAGE1_DIRECT,FIELD,longevity,1,core,,"지속력은 향이 얼마나 오래 남는지다. Fragrantica 스키마의 longevity (1~5, 1이 약함)에 대응한다. ⚠ 현재 ERD 에는 이 값을 담을 컬럼이 확인되지 않았다.",VERIFIED,,standard,active,
kr.term.sillage,발향,발향|확산력|실라지|실라주|퍼짐,PERFORMANCE,STAGE1_DIRECT,FIELD,sillage,1,core,,"발향은 향이 주변으로 얼마나 퍼지는지다. Fragrantica 스키마의 sillage (1~4, 1이 밀착)에 대응한다. ⚠ 현재 ERD 에는 이 값을 담을 컬럼이 확인되지 않았다.",VERIFIED,,standard,active,
kr.term.residual,잔향,잔향|잔향이|남는 향|끝향,PERFORMANCE,STAGE1_DIRECT,FIELD,longevity,1,core,"query_contains:오래,길게,긴,남는,좋은,강한",잔향을 '오래 남는다'는 뜻으로 쓸 때는 지속력을 말한다. Fragrantica 스키마의 longevity 에 대응한다.,VERIFIED,,standard,active,
kr.term.residual,잔향,잔향|잔향이|남는 향|끝향,PERFORMANCE,STAGE1_DIRECT,FIELD,notes.tiered.base,2,core,,잔향을 '어떤 향이 남는가'로 쓸 때는 베이스노트를 말한다. 기본 갈래로 둔다.,VERIFIED,,standard,active,
kr.term.concentration,부향률,부향률|오드퍼퓸|오드뚜왈렛|EDP|EDT,PERFORMANCE,NO_MAPPING,,,1,,,부향률은 향료 농도다. SCHEMA.md 를 확인한 결과 dump 에 concentration 필드가 없어 검색 조건으로 쓸 수 없다. spec.md §6 의 미확인 항목과 같은 내용이다.,VERIFIED,,standard,active,
kr.term.linear,리니어,리니어|리니어한|선형,PERFORMANCE,NO_MAPPING,,,1,,,리니어는 시간이 지나도 향이 거의 바뀌지 않는 전개 방식을 뜻한다. dump 에 향 전개를 담은 필드가 없어 검색 조건으로 쓸 수 없다.,VERIFIED,,loanword,active,
kr.drift.musk,머스크,머스크|머스키|머스크향|화이트머스크|화이트 머스크,DIRECT_SCENT,STAGE2_BRIDGE,ACCORD,musky,1,core,,"한국어 '머스크'는 대개 화이트머스크, 즉 비누·세탁 느낌을 가리킨다. Fragrantica 의 musky 는 애니멀릭까지 포괄하므로 범위가 다르다. musky 를 단독으로 쓰면 코퍼스의 31.2% 가 걸리고 순위가 나오지 않으므로 반드시 soapy 와 함께 쓴다.",VERIFIED,41154,loanword,candidate,UQ0167
kr.drift.musk,머스크,머스크|머스키|머스크향|화이트머스크|화이트 머스크,DIRECT_SCENT,STAGE2_BRIDGE,ACCORD,soapy,2,core,,팀 문서의 청결감 축이 '비누 같은 / 세탁한 듯한 / 스킨 같은' 을 한 묶음으로 정리하고 있다. 한국어 화자가 머스크로 뜻하는 쪽이 이 묶음이다.,TEAM,1720,loanword,candidate,UQ0167
kr.drift.musk,머스크,머스크|머스키|머스크향|화이트머스크|화이트 머스크,DIRECT_SCENT,STAGE2_BRIDGE,ACCORD,fresh,3,optional,,비누·세탁 인상을 더 좁히기 위한 보조 후보다. 출처 없이 고른 것이므로 사람 검토가 필요하다.,LLM,33478,loanword,candidate,UQ0167
