query_id,resolution_type,query_text,bridge_phrase,v1_raw_status,v1_raw_candidates_json,v1_validated_status,v1_validation_error,v2_validation_status,v2_status,v2_accords_json,v2_accord_count,v2_validation_error,v2_attempt_count
SQ0061,PURE,비 온 뒤의 숲의 냄새,비 온 뒤의 숲의 냄새,INVALID_OUTPUT,"[""foresty"", ""wet plaster"", ""earthy""]",ABSTAIN,target_type 오류: 'ACCORD|CANONICAL_NOTE',VALID,MAPPED,"[""foresty"", ""earthy""]",2,,1
SQ0032,PURE,여름에 어울리는 숲 속에 온 듯한 향을 추천해줘,숲 속에 온 듯한 향,INVALID_OUTPUT,"[""foresty"", ""woody""]",ABSTAIN,target_type 오류: 'ACCORD|CANONICAL_NOTE',VALID,MAPPED,"[""foresty""]",1,,1
SQ0136,PURE,내가 원하는 향수는 향이 너무 강하지 않았으면 좋겠어. 향이 강해서 머리가 아픈적이 있었거든. 그리고 빨래향 같이 자연스러운 향이 좋아서 그런 계열의 향이었으면 좋겠어.,빨래향 같이 자연스러운 향,INVALID_OUTPUT,"[""soapy"", ""fresh""]",ABSTAIN,target_type 오류: 'ACCORD|CANONICAL_NOTE',VALID,MAPPED,"[""fresh"", ""soapy""]",2,,1
SQ0105,PURE,주말 오후에 따뜻한 햇살을 받으며 침대 위에 누워있는 듯한 느낌의 향수 추천해줘,따뜻한 햇살을 받으며 침대 위에 누워있는 듯한 느낌의 향수,ABSTAIN,[],ABSTAIN,,VALID,ABSTAIN,[],0,,1
SQ0012,PURE,샤워하고 나온듯한 따뜻하고 포근한 느낌의 향기를 추천해줘,샤워하고 나온듯한 따뜻하고 포근한 느낌의 향기,MAPPED,"[""soapy"", ""warm spicy"", ""sweet""]",MAPPED,,VALID,MAPPED,"[""soapy"", ""warm spicy""]",2,,1
SQ0058,PURE,"여름 바다가 생각나는 시원한 향으로 향수 추천해줘. 가격이 10만원 미만이고 지속력이 은은하게 긴 향수면 좋겠어. 여자고 너무 진한향이나 우드, 머스크는 좋아하지않으니까 제외하고 추천해줘.",바다가 생각나는 시원한 향,INVALID_OUTPUT,"[""aquatic"", ""Marine"", ""fresh""]",ABSTAIN,target_type 오류: 'ACCORD|CANONICAL_NOTE',VALID,MAPPED,"[""aquatic"", ""fresh""]",2,,1
SQ0002,MIXED,시트러스 향처럼 시원하고 깔끔한 향,시원하고 깔끔한 향,INVALID_OUTPUT,"[""fresh"", ""soapy""]",ABSTAIN,target_type 오류: 'ACCORD|CANONICAL_NOTE',VALID,MAPPED,"[""fresh""]",1,,1
SQ0047,MIXED,"여름에 쓰기 좋은 가벼우면서 시원한 느낌의 비누향, 머스크향, 약간의 우드향이 들어간 향수를 추천해줘.",가벼우면서 시원한 느낌,MAPPED,"[""fresh"", ""aquatic""]",MAPPED,,VALID,MAPPED,"[""fresh"", ""citrus""]",2,,1
SQ0051,MIXED,"너는 최고급 니치 향수 전문 컨설턴트야. 내가 좋아하는 향을 설명해 줄테니까, 이 향의 핵심 포인트를 정확히 이해하고 나와 어울리는 향수를 추천해줘. [내가 좋아하는 향수 포인트] - 톡 쏘는 듯한 청량함과 방금 막 세탁된 코튼 향처럼 깨끗한 공기향 - 과하지 않은 은은한 복숭아 향 - 단순한 비누향이 아닌, 니치 향수 특유의 깊고 크리미한 잔향 위의 포인트와 결이 비슷한 향수 3가지를 추천해 줘. 각 향수마다 왜 이 향수를 골랐는지, 그리고 어떤 매력이 있는지 자세히 설명해 줬으면 좋겠어.",톡 쏘는 듯한 청량함과 방금 막 세탁된 코튼 향처럼 깨끗한 공기향,INVALID_OUTPUT,"[""Citrus"", ""Fresh"", ""Powdery""]",ABSTAIN,target_type 오류: 'ACCORD|CANONICAL_NOTE',VALID,MAPPED,"[""fresh"", ""soapy""]",2,,1
SQ0071,MIXED,겨울 아침에 딱~ 일어나서 창문을 열었는데 느껴지는 차갑고 상쾌한 향(탑노트). 점심에 느껴지는 밸런스가 느껴지는 머스크 계열의 향(미들노트) .저녁에 느껴지는 해가지는 느낌의 우디한 무거운 향(베이스노트),겨울 아침에 딱~ 일어나서 창문을 열었는데 느껴지는 차갑고 상쾌한 향,MAPPED,"[""fresh"", ""citrus"", ""ozonic""]",MAPPED,,VALID,MAPPED,"[""fresh"", ""citrus""]",2,,1
SQ0073,MIXED,"나는 깨끗하고 시원한 향을 좋아하고, 편백나무, 산내음처럼 자연스러운 향을 좋아해. 그래서 주로 우디나 플로럴한 계열을 좋아하는데, 대신 스파이시한 계열은 좋아하지 않아. 이런 나한테 향수를 추천해줄래?","깨끗하고 시원한 향을 좋아하고, 편백나무, 산내음처럼 자연스러운 향",INVALID_OUTPUT,"[""fresh"", ""woody"", ""foresty""]",ABSTAIN,target_type 오류: 'ACCORD|CANONICAL_NOTE',VALID,MAPPED,"[""fresh"", ""foresty""]",2,,1
SQ0132,MIXED,나는 머스크 계열 향을 좋아하고 무겁지 않고 가벼운데 잔향은 오래 남는 포근한 느낌이 좋아. 상큼한 향도 괜찮아. 내 취향에 맞춰서 향수 추천해줘,포근한 느낌,ABSTAIN,[],ABSTAIN,,VALID,ABSTAIN,[],0,,1
