"perfume_id","sentence_no","sentence"
17140,1,"여름 낮에 가볍게 뿌릴 건데 시원하고 깨끗한 코코넛 향이 나면서 너무 진하지 않았으면 좋겠어."
17140,2,"휴양지 느낌의 산뜻한 코코넛 향을 찾고 있어. 달콤하더라도 끈적하거나 무겁지 않은 향이면 좋겠어."
17140,3,"복잡하게 변하는 향보다 처음부터 끝까지 깔끔한 향이 좋아. 상쾌한 코코넛 향이 중심이면 좋겠어."
103715,1,"여름에 학교나 회사에서 편하게 쓸 향을 찾고 있어. 밝고 호불호 적으면서 너무 개성 강하지 않았으면 해."
103715,2,"운동하고 나서도 부담 없이 뿌릴 수 있는 산뜻한 향이면 좋겠어. 더운 날 잘 어울리고 누구나 좋아할 느낌으로."
103715,3,"향수 처음 쓰는 사람도 쉽게 쓸 만한 걸 찾고 있어. 깔끔하고 현대적인 느낌에 열대 분위기가 살짝 있었으면 해."
5581,1,"가을이나 겨울에 쓸 독특한 향을 찾고 있어. 새콤하고 과즙감이 있으면서 흔하지 않고 존재감도 강했으면 좋겠어."
5581,2,"남녀 구분 없이 쓸 수 있고 평범하지 않은 향이면 좋겠어. 톡 쏘는 과일 느낌과 묵직한 분위기가 같이 났으면 해."
5581,3,"단순히 달거나 깨끗한 향 말고 여러 느낌이 겹치는 향을 원해. 차갑고 새콤한 과즙감에 깊이도 있었으면 좋겠어."
30544,1,"산뜻하고 깔끔한데 너무 흔하지 않은 향을 찾고 있어. 무화과 같은 풋풋한 느낌이 은근하게 들어가면 좋겠어."
30544,2,"남자가 데일리로 쓰기 좋은 깨끗한 향이면 좋겠어. 신선한 느낌 속에 약간 독특한 무화과 향도 있었으면 해."
30544,3,"가볍게 쓰기 좋으면서 향 조합은 평범하지 않았으면 해. 푸릇하고 부드러운 과일 느낌이 섞인 향을 찾고 있어."
87922,1,"어둡고 강렬해서 한 번 맡으면 기억에 남는 향을 찾고 있어. 장미와 흙내음 같은 깊은 향이 같이 났으면 좋겠어."
87922,2,"밝고 무난한 향보다 밤에 어울리는 묵직한 향이 좋아. 짙은 꽃향과 축축한 흙 같은 분위기가 있었으면 해."
87922,3,"호불호가 갈려도 괜찮으니 존재감 강한 향을 원해. 붉은 장미에 어둡고 거친 흙내음이 겹치는 느낌이면 좋겠어."
15130,1,"고풍스럽고 화려한 분위기의 향을 찾고 있어. 따뜻하고 달콤한데 연기와 촛농 같은 묘한 느낌도 있었으면 좋겠어."
15130,2,"오래된 궁전처럼 웅장하고 신비로운 향이면 좋겠어. 부드러운 단향에 먹물이나 연기 같은 어두운 느낌을 원해."
15130,3,"깔끔하고 현대적인 향보다 진하고 몽환적인 향이 좋아. 달콤하고 포근하면서 살짝 먼지 낀 듯한 분위기도 괜찮아."
41188,1,"갓 세탁한 흰 셔츠처럼 깨끗한 향을 찾고 있어. 오렌지꽃 느낌에 고소하고 부드러운 아몬드 향이 남으면 좋겠어."
41188,2,"회사에서 부담 없이 쓸 수 있는 단정한 향이면 좋겠어. 비누처럼 깨끗하면서 크림 같은 아몬드 향이 났으면 해."
